,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X601628.CH.EQUITY,0.0445116232119173,0,0,0.311132076753879,0,0,0,0,0.0610773625217769,0,0,0,0,0,0,0,0,0,0,0,0.0383463040949781,0,0,0,0,0,0,0.105785333349518,0,0,0,0,0.0888949516790018,0,0.105346135567824,0,-0.0307380923383163,0,0,0,0,0,0,0,0,0,0.249081124353353,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.0940043021783714,0,0,0,0,0,0,0,0,0.0879324765675454,0,0,0,0,0,0,0.0112371387042537,0,0,0,0,0,0,0,0.0253883496984908,0,0,0,0,0,0,0,0,0.186129448486064,0,0.0642963731874229,0,0,0,0,0,0.101229515014196,0.0487194638392307,0.0569112719517884,0.250939913820139,0,0,0,0,0
X2881.TT.EQUITY,0.0172195756023353,-0.0711262735907678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119300793726844,0,0,0.348667392674026,0,0,0,0,0,0,-0.0630797954458035,0,0,0,0,0,0,0.00651131893292808,0,0.175657104475647,0,0.467203475962386,0,0.169518014913686,0,0,0,0,0,0,0,0,0.00658874138693277,0,0.0135527068441903
X2882.TT.EQUITY,-0.0650613896429039,0,0,0,0,0,0,0,0,0,0,0.041049266436686,0,0,0,0,0.100461418262056,0,0,0.0293451882154945,0.229382466441789,0,0,0,0,0,0,0,0,0,0,0,0.0585833652978634,0,0,0,0,0.545535128480381,0,0.039042286259615,0,0,-0.099829623583292,0,0,0,0,0,0,0,0,-0.0648565361431898
X000002.CH.EQUITY,0,0.0424886981855188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915857046935252,0,0,0.383262871252731,0.106024093434913,0.084117255095361,0.162605195374575,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,-0.00816572581193694,-0.0384531317809246,0,0,0,0,0,-0.0382426504572346,0,0,0,0,0,0,0,0.0300473238591003,0,0.256502080644919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110047749230845,0,0,0,0.109777330778178,0,0.120116981289221,0,0,0,0,0,0,0,0.13095882877592,0,0
X600048.CH.EQUITY,0.128320061643105,0,0,0,0,0.277975108261028,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0294435264964619,0,0,0,-0.0388581379149432,0,-0.0174365412547919,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.390648267249334,0.22227810235734,0,0,0,-0.098991591663166,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11439780840476,0,0,0,0,0,0,0.141710041323942,0.107814517586543,0,0,0,0.355200688226709,0,0,0.266809416787564,0.0067712899365049,0,0,0
X1113.HK.EQUITY,0,0,0,0.149952066563293,0,0,0,0,0,0,0.216027881745798,0,-0.0529552465591854,0,0,0,0,0,0.0371317351591862,0,0,0,0,0,0,0,0.0586514812481704,0.00809272254122963,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175273002946596,0,0,0,0.0517588777195586,1.73472347597681e-18,0.533329654884532,-0.0593617629613428,0,0,0,0
X12.HK.EQUITY,0,0,0,-6.93889390390723e-18,0,-0.0802636980879443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232078246507766,-0.0800401775523571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.462907080178822,0,0,0,-0.0175098699230528,0,0.556863023981881,0,0,0,0.0183235509959591,0.0858979363668034,0
X16.HK.EQUITY,0,0,0.20189094201334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623983208414983,0,0,0,0,0,0,0,0,0,0,0,0.103456907165511,0,0,-0.099779377586935,0,0,0.0962898032599084,0,0,0,0,0,0,0.219071212133085,0.0653396389400519,0,0,0,0,0.240507604422244,0.00914489879423153,0.110158167991335
X2007.HK.EQUITY,0,0.064631446683816,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025834633396192,0,0,0,0.19416428008969,0,0,0.0580583919427312,0,0,0,0,0,0,0,0,0,0,0,0.00515853528908223,0,0,0,0,0,0,0.688809581290105,-6.93889390390723e-18,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,-0.133025379114864,0,0,0,-0.108985773153153,0,0,0,0,0,-6.93889390390723e-18,0.116161961075685,0,0.202331304860322,0,0,0,0,0,0,0,0,0.152119654892555,0,0,0,0,0,0,0,0,0,0,0,0.00849224904332689,0,0.467165087540719,0,0.10494314654513,0,0,0,0.0297672511306769,0.0141688407384845,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819482469192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287516068809416,0,0,0,0,0.034568246932183,0.0516504618836776,0,0,0.735615106310765,0,0,0.0677263287685404,0,0,0.118866907651104,0
X823.HK.EQUITY,-0.0504016089195349,0,0,0.346645255920423,0,0,0,0,0,0,-0.16189914249234,0,0,0,0,0,0,0,0.0677860612617311,0,0,0,0,0,0,0,0,0,0,0.0561481754995521,0,0,0,0,0.137475766896577,0,0,0.26753676205843,0.0413490658216561,0,0,-0.150940255351594,-0.00516640791282539,0,0.165665406893108,0.181916944662861,0,0,0,0,0,0
TED,0.046794304639391,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604053578137915,0,0.247296176680448,0,0,0,0,0,0,0.145102225291837,0,0,0,-0.0869600857055348,0,0,-0.0044750076100452,0,0,0,0,0,-0.126974792219916,-0.0943445591969705,0.107219948762045,0.293299411055518,0,0,0,0,0,0,0,0,0.180955692414378,-0.354752948611665,0,0.0348874223418633
RealEstateDiff,0,0,0.218381264089661,0,0,0,0,-0.0270124166968352,0,-0.0589368958463202,0,0,0,0,0,0,0,0,0.0162436326865182,0,0.0641689490840455,0,0,0,0,0.157831342629469,0,0,0,0,0,0,0,0,-0.070783464165692,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-0.0282335041134215,0,0,0,0.0345804723003293,0
