,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,VXFXI.INDEX,CN2YR
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917018961900287,0,0,0.123883217614821,0,0,0,0,0.0999406427951355,0,0,0,0,0.129254958051502,-0.0989451613965546,0,0,0,0,0,0.205769620247551,0,0.385365879103338,0,0,0,0,-0.0760476985517382,0.0655828881911385,0,0.143061722670849,0,0,0.00895899520053679,0.136444668410942,0,0,-0.08756344576374,0,0
X823.HK.EQUITY,0,0,0.31767736947501,0,-0.118177699067087,0,0.178312140546534,0,0,0,0,0,0,0,0,0,0,0.607511239582707,-0.162025907357109,0,0,0,0,0,0.240389701596834,0,0,0,0,0,0,0,0,0,0,0,0.00297245944604475,0.0204311936775384,0,-0.336439600843603,0,0.0510103647748757,0,0,0,0,0,0,0,0,-0.120159137344403,-0.00271963199442123
X2881.TT.EQUITY,0,0,0,0,0,0,0.0301636773056425,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0255686257550548,0,0,0,-0.207514271970862,0,0,0,0,0,-0.022174392163384,0.0249276081646219,0,0,0.0430472352894317,0,0.585193418957903,0,0,0,0,0,0,0,0,0,0.269999295825758,0,0.0654040786684182,-0.0312024323289902,0.0117065477860784
X600999.CH.EQUITY,0,0,0,0,0.0770521208155075,0.021022480369184,0,0,0,0,0,0,0,0,0.0695941263706924,0.0041678338503594,0,0,0,0,0,0,0,0,0.0637782188028909,0,0,0,0,0,0,0,0.43679686424881,0.0476650367468264,0.164412418880482,0,0,0,0,0,0,0,0,0,0,0,0,0.156281581120867,0,0,0,0
X601169.CH.EQUITY,0,0.0666015166896465,0,0,0,0,0,0,0,0.134018320796462,0,0,0,0,0,0,0,0,0,0.0855810914849003,0,0,0.0814837478483582,0,0,0,0,0,0,0,0,0.157403347174708,0.197373036034801,0,0,0.0378302981312465,0,0,-0.0154333190812142,0,0,0,0,0,0,0,0,0,0.369403601185779,-0.0335816203610243,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.108750563988994,0,0,0.521248769140543,0,0,0,0,0,0,0,0,0.153860516518874,0,0,0,0,-0.279399956435731,0,0,0,0,0.0791037027726959,0,0,0,0.0716273446267143,0,0,0,0.0142518420585383,0,0.128967608368785,0,0,0,0,0,0,-0.0330197633151502
X2886.TT.EQUITY,0,0,0,-0.116663920431176,-0.104083838730553,0,0,0,0,0.0645775321995917,0,3.46944695195361e-18,0,0.134435475366806,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0284865701767846,0,0,0,0,0,0.0459953583396363,0,0,0.189400468491848,0,0,0,0,0,0,0,0,0,0,0,0.212597514202826,0,0.02269543543918,0,0,0.186268535852937,0.269020520219477,-0.168527526890219,0
X600015.CH.EQUITY,0,0.21794442679395,0,0,0,0,0,-0.11564762057582,0,0,0,0.347973167365811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984074398939643,0,0.113465461814281,0,0,0,0,0.266722487767469,-0.0633398058633715,0,0,0,0,0,0,0,0.10772491657869,0,0,0,0,0,0
X2891.TT.EQUITY,0.2273848728562,0,0,0,0,0,0,0,0,-0.0706801634555998,0,0,0,-0.0925420424343239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668774929044768,0,0,0.0752541662201143,0,-0.053198410259952,0,0,0,0.0596042013189941,0,0,0,0,0.516647350664497,0.186129200157654,0,-0.0579559106217773,0
VXFXI.INDEX,0,0,0,0,-0.168728706163867,0,0,0,-0.262055495184383,0,0.121282624400801,0,0,0,0,0,-0.17805852654949,0,0,0,0,0,0,0,0,0.108125263325719,0,0,0,0.316227106999663,0,0,0,0,0,0.296012604915331,-0.041077708984998,0,0,0,0,0,0,0,0,0,0.121799778147515,-0.456117240520678,0,0,0,0.19837055340449
CN2YR,0,0,0,0,0.204563310879007,0,0,0,0,0,-0.119333556477293,0,0,0,0,-0.206939637170771,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0245456490968805,0,0,0,0,0,-0.0231987141728585,0,0,0,3.46944695195361e-18,1.73472347597681e-18,0,-0.0137701809608592,0,0,0,0,-0.0482548266456407,0,0,0,0,0,0,0,0.207960326057482,0
