,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X12.HK.EQUITY,0,0,0.318798101218648,0,0,0,0,0.129724143634904,0,0,0,0,0,0,0,0.074322844888852,0.385108487249075,0,0,0,0,0,0,0,0.0625037454381638,0,0,0,0,0,0,0,0.081967004197078,0,0,0,0,0.0369898832036712,0.252279551211133,0,0.00955843116530491,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0.259723246753302,0,0,0,0,0,0,0,0,0,0,-0.00379884746499578,0,0.381396290400946,0,0,0,0,0,0,0,-0.0424624411809801,0,0,-0.0334916884257521,0,0,0,0,0,0.155163264009716,0,0,0,-0.11393380142664,0,0,0.0415696358258413,0.171189376821627,0,0,0,0,0,0,-0.143841422874901,0,0,0,-0.0187876668113917,0.0910739436198514
X001979.CH.EQUITY,0,0,0,0,0,0,-0.0120358355357748,0,-0.0702497237806929,0,0,0,0,0.195092373201336,0.119692715625235,0,0,0.0379314320740417,0,0,0,0,0.345735842351565,0,0.0600963499103601,0,0,0,0,0,0,0,0,0,0,0,0,0.0872597048429809,0,0,0,0,0,0,0,0,0.0630932510288815,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.091658228349829,0,0.052270346361409,0,0,0,0,0,0,0,0,0,0,0.0560026048325028,0,0,0,0,0,0,0,0,0,0,0,0.248575564928051,0.0714241167571972,0,0,0,0.262409785972053,0,0,0,0,0,0,0,0.0240331274917459,0.388857595958546,0,0.064146489112897,0,0,0
X600837.CH.EQUITY,0,-0.10200890637954,0,0,-0.0800318505179528,0,0,0,0,0,0,0.0577303893367246,0,-0.0661690052487987,0,0,0,0,-0.187571533733246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132179988577294,-0.0477795850241544,0.071287389755459,0.418298331251004,0,0,0,0,0.0450278710157283,0,0,0,0,0,0,0.133800737776738,0.525151246875173,0,0
X823.HK.EQUITY,0.0125135570489486,0,0,0,0,0,0,0,-0.0687659675930146,-0.00913782753350471,0,0,0,0,0,0,0,0,0,-0.187404200087189,0,0.493761653434046,-0.271108334038746,0.021377702219386,0,0,0,0,0,0,0,0.0131594551116439,0,0.134408700330871,0,0,0,0,0,0.119978572147108,0,0,0.157606330213055,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0,0,-0.134123689236104,-0.169248261528491,0,0,0,-0.0603090441186287,0,0,0,0,0.0442296585089041,0,0,0,0.371299624329802,0,0,0,0,0,0,0,0,0,0,0.058997318980313,0,0.0427401979754186,0,0,0,0,0,0,0,0,0,0,0,-0.00829772423706709,0,0,0.467912034387114,0,0.166186767697008,0.115353657076084,0,0,0.0856546365251592
X601229.CH.EQUITY,0.17057566647604,0,0.334783180115696,0.0804798971127832,0.0409032391332924,0,0,-0.0170368691250176,0,0,0,0,0,0.00541363139813653,0,0.0810997783894406,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0298706737066787,0,1.38777878078145e-17,0,-0.143187324930362,0,0,0,0,0,0,0,0,0,-0.0632807864288105,0.0731419880373759,0,0,0,0,0,0.566504461474981,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,-0.0525582719913991,0,0,0,0,0.0109264335917672,0,0,0,0,0.0733950153255602,0,0,0,0.0504956001539624,0,0,0,0,0,0,0,0,0,0.0591647030449869,0,0.136175107661541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377701460434827,0,0,0.0103228834044718,0
X1997.HK.EQUITY,0.144242834561098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015029863424174,0.0619467048399738,0,0.0894167692531508,0,0,4.33680868994202e-19,0,0,0.0695695813268071,0,0,0,0,0,0,0.123212691150853,0,0.374433486060544,0,-0.240971984343177,0,0,0.0513168468555401,0,0,0,0,-0.0123319437177259,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0.0461027151162097,0,0,0,0,0.00212191364765226,0,0,0,0,0,0,0.0582383045323364,0,0,0,0,0,0,0,0,0,0,0,0.0667748805116448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408032825182091,0,0.115317250274539,0,0,0.585022148411404,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.286376674455259,0.236830612533785,0,0,0.192267876109421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008104313237258,0,0,0,0,0,0,0,0,0,0,0,0.393255413333959,0,0,0,0,-0.0218304571617701,0
X600015.CH.EQUITY,0,0,0.0685541013251007,0,0.00415423186135108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101849855531379,0,0,0,-0.0113950952752108,0,0.249106232120158,0,0,0,0,0,0,0,0,0.130767993422819,0,0.195829126021418,0.0395884661465643,0,0,0,0.14796667617095,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.162106244542184,0,0,0,0,0,0,0,0,-0.0712184401027212,0,0,0,0.264102592705604,0,0,0,0.117075592422748,-0.101800408968185,0,0,0,0,0,-0.0382633143183245,0,0.7120096548824,0,0,0,0,0,0,0.124792570097191,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0.369671549300749,0,0,0,0,0,0,0,0,-0.0122713996886613,0,0,0,-0.0396909282878539,0,0,0,0,-0.078899114556139,0,0,0,0,0,0,0,0,0,0.0631437380137592,-0.00878655876542359,0,0,0,-0.0136568162194384,0,0,0,0,0.335134449605576,0.204655740983206,0,0.433323437587383,0,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550427769331857,0,0,0,0,0,0,0,0.609984553072128,-0.0117638832195249,0.136170507428073,0.183299314602507,-0.167494474446157,0,0,0,0,0,-0.0814585354563388,0,0.0362863110048381,0,0.0801078638443252
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0737574322523842,0,0,0,0.325889250421717,0,0,0,-0.0429523978928779,0,0,0,0,0,0.0294404470211475,0,0,0,0,0,0,0.124679416878333,-0.0210761139847437,0.0286129081583925,0,0,0,0.244442010497062,0.194823485266374,0,0,-0.0997879862311596,0,0,-0.0367015898827913,0
FXI.US.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0.0935275997558503,0.143908310477292,0,0,0,0,0,0.104330292696007,0,0,0,0.263708457812238,0,0,0,0,0,0.178925486803229,0,0.499891782636294,0,0,-0.81291434801143,-0.364875746961633,0,0,0,0,0,0,0,0,0.0750774235219171,0,0,0,0,0,0,0,0,0,0,0,0
CN210SLOPE,0,-0.220135416557871,0.147210367835321,0,0,0,0,0,0.102263565448794,-0.150676065860272,0,0,0,0,0,0.0745345381187203,0,0,0,0,0,-0.14853018239871,0,0,0,0,0,0,0,0,-0.185601099273171,0,0,-0.296035524772455,0,-0.242028480393492,0,0,0,0.13329980375505,0,0,0,0,0,0,0,0,0.664302762731831,0,0,0
