,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.047642091279801,0,0.0725088069752177,0.065988998125416,0,0,0,0.0175889945844865,0,0.109435781533427,0.215659979857302,0.269356389289876,0.08904989772971,0,0,0.0495067744267121,0,0,0,0,0,0,0,0,0.000799838542580658,0.0113914151205359,0,0,0,0,0.0475379076831483,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398913281276901,-0.189081895853836,0,0,0.319642040804059,-0.0200865499228466,0,0.11047340363257,0,0,0,0,-0.0519713312423849,0,0,0,0,0,0,0,0,0,0,-0.0750557477754268,0,0,0,0,0.431906727967785,0,-0.014052077161144,0,0,0,0.0153950122942073
X601288.CH.EQUITY,0,0,0,0,0,0,0.0649536721400673,0,0,0,0.180677016753902,0,0,0,0.162603112128967,0,0,0,0.0569145507738496,0.0755226268449456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154766597184641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00897883866291325
X601328.CH.EQUITY,0,0,0.223153886516916,0,0,0,0,0,0,0,0,0,0,0,0.0411491035674917,0,0.144994225642779,0,0,0.245556632075157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836588896686985,0,0,0,0,0,0,0,0.099924984585919,0,0,0,0,-0.0288385262783204,0,0
X601398.CH.EQUITY,0,0,0,0,0,-0.0595535273874594,0,0,0,0.0334626614764796,0,0.218679567228732,0.239882568157044,0.0747688463687632,0,0,0,0.0905699660386347,0.299333829154331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685019486702559,0,0,0,0,0,0,0,0.122568561375772,0.0501561808779992
X601577.CH.EQUITY,0,0,0,0.0796124632201939,0,0,0,0,0,0,0,0.167497509061833,0,0,0,0,0.0760145147309651,0,0,0.00757637517381096,0.514197567494627,0.0064268950357998,0,0,0.0812394108326293,0,0,0,0,0.0209072564834767,0,0,0.0126731797748002,0,0,0,0,-0.0426052122328451,0,0,0.0143735813230943,0,0.0274442842115686,0,0,0,0.0478543199378274,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.368491858316348,0.0341045716667795,0,0,0,0,0,0,0,0.182108419175027,0,0,0,0,0,0,0,0,0.0303092391496534,0,0.050399547727597,0.267675563762585,0,0,0,0,0,0,0.151139467597434,0,0,0,0,0,0,0,0,0,0,0.0083346256098211,0,0.124866503839109,0,0,0,0,-0.102490132478931,0.0264276892497979
X601838.CH.EQUITY,0,1.73472347597681e-18,0,0,0,0.0299664493699091,0.438342262616329,0,-0.0425587930235812,0.385776232800717,0,0,0,0,0,0,0,0,-0.0037486608853584,0,0,0,0,0,0,0,0.0838462848330899,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115852109101862,0,0,0,0,0.0210845374251165,0,0,0,0,0.0211541127895756
X601939.CH.EQUITY,0,0,0,0,0.295387779952479,0.0594126736467356,0,0,0,0.14472211240234,0.0348941255487763,0,0,0.0828273439169608,0,0,0.122002078998128,0,0,0.0672821411745759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00494951651055332,0,0.054690759499616,0.0723927693460214,0,0,0,0,0.102234644049339,0.41778168580782,0.0810067811736862,0.0520373995655177,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0237688207646692,0,0,0.0884229136329824,0,0,0,0.0252954798275524,0,0,0,0,0,0,0,0,0,0,0.0780450525852828,0,0,0,0,0
X601997.CH.EQUITY,0.0771241457681707,0.0332460241043889,0,0,0,0,0,0,0,0,0,0.0424778921405299,0.0895159777148005,0,0.0106648856443965,0.39726721468803,0,0,0,0,0,0,0.0624094978524393,0.114250883927598,0,0,0,0,0,0,0,0,0,0.130411243230374,0,0,0,0,0,0,0,0,0.12448813216126,0,0,0,0,0,0,0,-0.0388170164297999
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318693057788872,0,0,0.372678622686822,0.20692892396796,0,0,0,0.144009671708019,0,0,0,0,-0.330094579860737,0,0,0,0,0,0.0503884309943471,0.0494937087700182,0,0,0,0,0,0,0,0,0,0,0.0256477996926138,0,0,0.128362205852311,-0.131698839403373
X601658.CH.Equity,0,0.339594696523957,0,0,0.0361230050867987,0.419867803558094,0,0,0.0038401811350761,0,0,0,0.0756241082188911,0,0,0,0,0.0331225813666497,0,0.0183188138053809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106760119436403,0,-8.59030562123263e-05,0,0
