,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601658.CH.Equity,0,0,-3.46944695195361e-18,0.22034379075267,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-4.33680868994202e-19,0,0.29042500970204,0,0.00714776325379284,-0.0681547297360599,0,0,0,0,-0.042890573214198,0,0,0,0,0.0529475589542854,0,0,0,0,0,0,0,0,0,0,0,0.289863548831132,0,0,0,0,0,0,0,-0.00626017660794445
X600030.CH.EQUITY,0,0,0,0,0,0,0.159298397037908,0,0,0.0140693227265037,0,0,0,0.0296388339682867,0,0,0.0764799692538998,0,0,0,0,0,0,0,0,0,0,0,0.107897296790188,0,0,0,0,0.661627353191223,0,0,0,0,0,-0.0298934608196745,0,0,0,0.0128859209338985,0.0118466185998912,-0.0210914143198526,0.00472045272645279,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.549453712349823,0,0,0,0,0.00139903223567066,0.0737506025307041,0,0,0,0.0513860083248044,0.0885817982029474,0,0,0.0157722745282444,0,0,0,0.04124616097131,0.0351438857814792,0,0.0980144193935698,0,0,0,0,0,0.0611716235878349,0.029639316882386,0,0,0,0,0,0,0,0,0,0,0,-0.029955967177081,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.212811518708049,0.0105608416188025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327567588020417,0,0,0,0.00467789335575024,0,0,0,0,0,0,0,0,0,0,0.0259380559368281,0,0,0,0,0,0.248323387160066,0,0,0.0473538244002163,0,0,0,0
X000002.CH.EQUITY,0,0,0.106658993326981,0.0939175436789541,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0.135243529028739,0,0,0,0.0461535855129534,0,-6.7762635780344e-21,-0.0296600989603706,0,0,0.0318068341145041,0,0.040805967276297,0.0398440337227126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165214475682467,0,0,0,0
X600000.CH.EQUITY,0,0,0.14054276090447,0.201094310405516,0.00688958889214776,0.145347017665397,0,0,0,-0.0266852889580783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857097502158161,0,0,-0.0548171665402511,0,0,0,0,0,0,0,0,0.697007623666791,0,0.264527555255525,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0944195377548605,0
X601066.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.321392665625283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256125037830075,0,0,0,0,0,0.0471144003808801,0,0,0,-0.012846459265587,0.287681467056819,0.0367989588301579,0,0.052795438936413,0,0,0.0459175616559434,0,0,0,0.0195936338568577,0,0
X601319.CH.EQUITY,0,0,0,0.199098581320023,0,0,0,0,0,0,0,0,0,0,0.0822554940900639,0,0,0,0,0.131436481009767,0,0,-0.0217525424528697,0.112756836795691,-0.0108209470358879,-0.020527404249477,0,0,0,0,0,0,0,0.149120575250658,0,0,0,0,0,0,0.191010462302742,0,0,0,0,0,0,0,0.085825478119278,0,-0.131652521294266
X000001.CH.EQUITY,0,0.127558236382258,0,0,0.0640854195769915,0.169714458217739,0,0,0.0737543492123274,0,0,0,0.0382319027745553,0,0,0.111054401005523,0,0,0,0.039765591713028,0.0986923187137069,0,0,0,0,0,0,0,0,0,0,0,0.131435327071603,0,0,0,0.0698499397305355,0.043370699011135,0,0,0,0.00274664060266722,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.674580075444401,0,0,0,0,0,0,0.114247645962421,0.06908691721586,0,0,0,0,0,0,0,0,0,0,0,0.00204842501342156,0,0,0.132729830658291,0,0,0,0,0,0,0,0,0,0,0,0.120714870044995,0,0,0,0,0.105151033079207,0,0,-0.121561485916346,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.069299477044988,0.301489045263775,0,0,0,0,0,0,0,0.049479743926243,0,0,0,0,0.0904397325811911,0,0,0.157312335198374,0,0.124926140633799,0,0,0,0.0709211859940711,0,0,0,0,0.0692866423200895,0,0,0,0,0,0,0.00233201432502046,0,-0.0689508279558924,0.132438265166824,0,-0.0494281612783803,0,0,-0.0726599076344795
X688.HK.EQUITY,0.149210000984106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137755043203851,0,0,0.617372945287655,0.0876829701748504,0,0,0,0,0,0,0,0,0,0,0,0.0530334734145184,0,-0.0102565232715345,0,0,0.240624371485292,0,0.180099176429526,-0.0125854471728057
X600016.CH.EQUITY,0,0,0,0.00288068532004843,0,0,0,0,0,0,0,0,0.192984901084077,0.128428752791545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779800141715326,6.93889390390723e-18,0.272382156458957,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.304221694191104,-0.00323060667238868,0.302743363815343,0,0.0877278119851178
X601998.CH.EQUITY,0.122670292352789,0,0,0,0,-0.00983492018365494,-0.0578210991777873,0,0,0,0,0,0.64256419885579,0,0.0547107745201027,0,0,0,0,0,0,0.124510444029377,-0.152618780086295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465810603044926,0,0,0,0,0,0,0,0,0,0,0.255328505722384,-0.0442257373373594,-0.096321495959365
