,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601229.CH.EQUITY,3.46944695195361e-18,0.0907517836676,0,0,0,0,0,0.110983757350808,0,0,0,0,0,0,0,0,0,0,0,0.130944374995008,0,0.110600548608185,0,0,0,0,0,0,0.220020788476198,0,0.0882478257340203,0,0,0,0,0,0,0.0555834163954762,0,0,0,0,0,0,0,0.0425873946931675,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0805837916191065,0,0,0.489833035035833,0,0,0.235116161439834,0,0,0.102852089838521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492171450362381,0,0.0293295452081241,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.388182880433495,0,0.126570056832409,0.219883422097612,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0952460082135465,0,0.00112608030326673,0,0,0,0,0,0,0,0.167801879454768,0,0,0,0,0.0552372056335959,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.360849940212316,0,0,0,0.382385080148928,0,0,0,0,-0.0416889226842061,0,0,0.0713138894067038,0,0.027996382069106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381493915611743,0,0,0.111453040438218
X601818.CH.EQUITY,0.0102701873487764,0,0,0,0,0,0,0,0.387751925818699,0,0,0.173676074907354,0.0697284019049376,0.196572748813555,0,0.0530516481715294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375931470276675,0,0,0,-0.0222485021871613,0,0,0,0,0,0,0,0,0,-0.0922382863288547
X601939.CH.EQUITY,0,0,0.319898013068986,0.12934199633833,0,0,0,0,0,0,0,0.0257092309877913,0,0.461630263787571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624853963332449,0,0,0,0,0,0,0,0,0,-0.00548638484123515,0,-0.0803952759829766,0,0,1.73472347597681e-18,-0.13208013770009
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.365061920639312,0,0,0,0.0881373044926593,0,0,0.339182315538277,0,0,0,0,0,0,0,0,0,0,0,0.129354973301019,0.119514511243198,0,0,0,0,0.0582911481091257,0,0,0.0676470507019129,0,0,0,0,-0.0625683112898159,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0493685064014026,0.0998116658936222,0,0,0,0,0,0,0.413865432425406,0.0702775313067384,0,0.179979514192924,0,0.162853110673173,0.0576467034415442,0.0971465321763201,0,0,0.0336282383455904,0,0,0.00455506070855146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116944803424395,-0.0328748940309866,0,0,0,0
X601658.CH.Equity,0,0,0,0.280168720503702,0,0,0.41058953765643,0,0,0,0,0,0,0,0,0,0,0,0,0.265487782557608,0.00184977196071188,0,0,0,0.0995000310870449,0,0,0,0,0,0,0,0,0,0.192953638295596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,0.144512024964301,0.205517158620965,0,0,0,0.184261925488829,0,0,0,0,0,0.274832970342441,0,0,0,0,0,0,-0.0399648126473867,0,0,0,0,0,-0.0853610577203299,0,0.0151221718927742,0,0,0,0,0,0,0.100309275054774,0,0,0.137254050354547,0.0537907379703031,0,0,0,0,0,0,0
