,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601229.CH.EQUITY,0,0,0.339171800349501,-6.93889390390723e-18,0,0,0,0,0,0,0.198925937462332,0,0,0.105417126935326,0,0.0171293920682745,0,0,0,0,0,0,0,0,0.108600708722637,0,0.0635231698615573,0,0,0,0,0,0,0,0,0.0251569706186053,0,0.184810777417306,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0501164197000348,0,0,0.418094489362507,0,0,0,0,0.182790781546984,0.148234697905549,0,0,0,0.136259859944335,0,0,-0.0932083317189013,0,0,0.0841239115970888,0.00289849635288552,0,0,0.0642343439827564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,-0.0300168555183176,0,0,0,0,0,0,0,0.43943679405496,0.227506351554143,0,0,0,0.139108466240184,0,0,0,0,0,0,0.131409541429623,0,0,0,0,0,0,0,0,0.0645804712527972,0.0329003418174039,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.157011143676453,0,0,-0.0144795926192443,0,0
X601398.CH.EQUITY,0,0,0,0,0.186070753538326,0,0,0,0,0,0,0,0,0,0,0.036945924313207,0,0,0.284806681884931,0.0837111026062755,0,0.235029635480154,0.0173989102941932,0,0.265183446692696,0,0.0267876093153639,0,0,0,0,0,0,0,0,0,-0.248296099808177,0,0.169388320565348,0,0,0,0,0,0,0,0,0,0,0,-0.0978402904635729
X601577.CH.EQUITY,0,0.294069571576317,0,0,0,0,0,0,0,0,0,0.0399901286489424,0,0,-1.73472347597681e-18,0,0,0,0,0.103181793992504,0,0,0.0864119341947258,0,0.249437466687064,0,0,0,0,-0.0257124549572568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13676521072443,0,0
X601818.CH.EQUITY,0,0,0.166544090694955,0,0.454612736938066,0,0,0,0,0,0,0,0,0.0667515612655018,0,0,0,0,0,0,0,0,0,0,0.223620302502233,0,-0.0401881630877793,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0117871509685652,0,0
X601838.CH.EQUITY,0.0915661281914616,0.289110463374699,0,0.108296790184889,0.0038282294290769,0,0,0.0924188760926721,0,0,0,0,0,0,0,0,0,0,0.0262309416500931,0,0,0,0,0,0,0,0,-0.0202547537654807,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.147939034259833,0,0,-0.0361997175810669,-0.0408143936814465,0,0
X601939.CH.EQUITY,0,0,0,0.0382222595888024,0.0262110581262833,0,0,0,0,0,0,0,0.399359193361799,0,0.214478918490721,0.0327388626209431,0.119288531448402,0.17084627110612,0,0.086085929173608,0,0,0,0,0,0,-0.0640080983716562,-0.0324175191188497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360247666495015,-0.0295865912897527
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.154278202654372,0,0,0,0.239637475948321,0,2.77555756156289e-17,0,0,0,0.14981394992236,0,0.204142493452429,0,0,0,0,0,0,0,0,0,0,-0.0524745139064467,0,-0.186227373216556,0,0,0,0,0,0,0,0,0.304578125595635,0,0,0,-0.0918230788731798,0,0,0.157899559008288,0
X601997.CH.EQUITY,0,0,0,0,0.121384914275281,0,0,0,0,0,0.130802862659119,0,0,0,0,0.0604735799918284,0,0,0,0.320391519114797,0,0,0,0,0,0,0,0,0.0372228240681175,0,0,0,0.0457654462011196,0,0,0,0.116763666371596,0,0,0,0,0,0.120097173151673,2.16840434497101e-19,-3.46944695195361e-18,0,0,0,0,0.0353592711081832,0
X601998.CH.EQUITY,0,0.0689298020079396,0,0,0,0.0511355110128854,0,0.0517574318174288,0,0.166406288243591,0,0,0,0,0.00354894488794487,0,0,0,0,0,0,0,0,0.342469364149401,0,0.159551275370559,0,0,0,0,0,0,0,0,0,0,-0.0968216180073874,0,0,0,0,0,0.252775402405992,0,0,0,-6.93889390390723e-18,0,0,0,0
X601658.CH.Equity,0.268612608552633,0.104142321374786,0,0,0,0,0,0,0,0,0,0,0.00920166089388251,0.184732508247909,0,0,0,0.0144455508226337,0.0826870897580092,0,0,0,0,0.0401652399921943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976543067010191,0,0,0,0.0677129223218504,0,0,0
X601916.CH.Equity,0,0,-3.46944695195361e-18,0,0,0,0,0.254389305923621,0,0,0,0.204501258642327,0,0.0398392158731866,0.133958029034964,0,0,0,0,-0.172846883287491,0,0.393744482234934,0,0,0,0,0.0209142386158243,-0.230593007980461,0,-0.105088542996794,0,0,0,0,0,0,0,0,0,0.281691692874349,-0.0976600304539243,0,0,0,0,-0.0590374340735943,-0.00351391860550177,0,-3.46944695195361e-18,0,0
X601077.CH.Equity,0,0,0,0,0,-0.0258243812439634,0,0,0,0,0.409400704819649,0.184443242550166,0,0,0,0.0898667373876425,0,0,0.107926332585562,0.0826578545590478,0,0,-0.116287971540648,0,0,0,0,0.0822971218354703,0,0,0,-0.00661864052410066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737924560598449,0,0,0,0
X11.HK.EQUITY,0,-0.0355275904620864,0,0,0.115947034295758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181635658305247,0,0,0,0.00141400960289942,0,0,0,0,0,-0.140762463768819,0,0,0.139035084793355,0,0,0,0,0,-0.000729953381660217,0.368455881896239,0,0,0.341739873026991,0
X2388.HK.EQUITY,0,0,0,0,0.849342648347255,0,0,0,0,0,-0.120099618039794,0,0,0,0,0.130919223532512,0,-0.563684313070147,0,0,0,0,0,0.0200327802382008,0,-0.103461941826242,0,0,0.316002701554227,0,0,1.73472347597681e-18,-0.155986956033744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447733221749536,-0.231954365880776
X5.HK.EQUITY,0,0,0.0660915553192171,0,0,0,0,0,0,0,0,0,0,0,0,0.0588323238788242,0,0,0,0,0,0,0.513381535268952,0,0,0.032017609413944,0,0,0,0,-0.230860218746809,0,0,0,-0.174511428754059,0,0,0,0,-0.175450865806774,0,0.234501354918301,0,0,0,0,0,0.442752745578838,0,0,0.0660200463692194
