,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601229.CH.EQUITY,0.454085938653232,0,0,0,0,0,0,0,0,0,0,0,0,0.162685290204431,0,0,0,0,0,0,0,0,0.136504399392095,0,0,-0.216521675510149,0,-0.0922685840454435,0,0,0,-0.0136366623297769,0,0.063482416474453,0,0,0,0,0.198248631551409,0,0,0,0,0,0,0.110351287625196,0,0,0.16907056590069,0
X1997.HK.EQUITY,0.221234037052431,0,0,0,0,0.0246451867018646,0,0,0,0,0,0,0,-0.0860701468833843,0,0,0,0,0,0.184880198859014,0,0,0,0.080843498016725,0.14101917690225,0,0,0,0.0448060811442939,0.0146762822169487,0.510449592096337,0,0,0,-0.243685362588514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0.0102542823662407,0,0,0,0,0,0,0,0,0,0,0.302102050728339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062275925931076,0,0.0515369195186001,0,0,0,0.0676712186723096,0,0.00829177794733887,0,0,0,0,-0.0959836543743775,0,0,0.339123075769381,0,0.208415537845734,0,-0.0540077975141841
X2882.TT.EQUITY,0.030024407538575,0,0,0,0.197536301275982,0,0.135993990031054,0,-0.0304296720463156,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.0313712836506868,0,0,0,0,0,-0.118422475346751,0,0,-0.052602522379187,0,0,0,0,0.198008634269222,0,1.73472347597681e-18,0,0,0,0,0,0,0.0580687715680377,0,0,0,0.460609743363118,-0.0323338368503549
X600015.CH.EQUITY,0,0,0.00904094719932205,0,0,0.055841811391984,0,0,0,0,0,0,0.125871666337193,0,0.0286617059820342,0,0,0.108746146665534,0.103538365576072,0,0,0.118971377737698,0,0,0.0536755200544941,0,0,0,0,0,0,0.048872537128898,0,0,0,0,0,0,0,0,0,0,0,0,0.474961873727266,0,0,0,0,-0.0207388828724714
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0635423232056501,0,0,0,0,-0.211426803449798,-0.0407900296784489,0,0,0,0,0,6.93889390390723e-18,0,0.171954207184889,-0.123977771398169,0,0,0,0,0,0,0.17155278456998,-0.198258810907317,0,0.0552696107346535,0.526890201254829,0,0,0.0832845336854185,0,0,0,0,0,0.824817988597123,0,0,-0.252172783174812,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0.0869422607883055,0,0,0,0.119977890995264,0,0,0,0,0,0,0,0,0,0,0.126616112123935,0,0,-0.100289411815016,0,0,-0.0312447525739004,0,0,0,0,0,0,0,0.438454355187512,0,0,0.108841689847642,0,0,0,0,0,0,0,0.0788219350298786,0,-0.095114996196415
X002736.CH.EQUITY,0,0,0.0765626834324321,0,0,0,0,0,0,0,0.129463454609922,0,0,0,0,0,0,0,0,-0.112160709172917,0,0,0.0548561634385452,0,0,0.193549534326665,0,0,0,0,0,0,0,0,0.152088276402482,0,0.0673629046442245,0,0,0,0,0.279464161422119,0,0,0,0,0,0.214604444333407,0,0
X600999.CH.EQUITY,0,0,0,0,0,-0.0186338113940719,0,0,0,0,0,0,0,0.0396530280858823,0,-0.02852100257981,0,0.353238945256673,0,0,0,0,0,-0.0379765509848561,0,0.0537182032715958,0,0.0384551000614048,-0.225075776199842,0,0,0,0,0.0932135842752243,0,0.380968062156779,0,0,0,0,0,0,0.0388259879369209,0.018978389980886,0,0.121791212426548,0.213542894650721,0,-0.0229266711450183,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.215379174415841,0,0,0,-0.821680912087971,-0.185358431013561,0,0,0,0,0,0,0,0.122413992837057,0,-0.274594535942311,0,0,0,-0.0402648843924871,0,0,0,0,-0.305913876530683,0,0.0171598238195309,0,0,0.50029901966707,0.571056326079552,0.266963996053259,0.586086418972758,0,0,0,0,0,0,0,0,0,0.122798204084436
macro_return_add,0,0,0,0,0.0146116231549121,-0.0431877359651938,0,0,0,0,0,0,0,0,0.116288527816636,0,0,0,0,0.0432976776896731,0,0.730271700169322,0,0,0,0,0,0.0420507964635427,0,0,-0.0477869419127097,0,0,0,0,0,0,-0.244277076825499,-0.0115963255279075,0,0,0,0.150414696658797,0,0,0,0,0,0.0808678675579828,0
