,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,macro_return_add
X601229.CH.EQUITY,0,0.0900928425358213,0,0,0,0,0.0445855192746162,0,0,0.0547504826541081,0,0,0,0.407779549298479,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.114941287551353,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.00732503367077898,0,0.393385894008804,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.257086678186497,0,0,0.20616119114435,0.0251514117935841,0.0548044805300519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364386847721879,0,-0.0774327438829249,0.176009515560441,0,0.0382623134941212,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.138351646643654,0,0,0,0,0,0,0,0,0.00941887304568535,0,0,0,0.103376041071279,0,0,0,0,-0.0102347821105579,0,0,0,0,0,0.104414001605274,0,0.238783662907856,0,0,0,0,0,0,0,0,0,0,0.123607434996492,0
X600015.CH.EQUITY,0,0,0.223906369699733,0,-0.170876803726276,0,0.233966295553934,0,-0.0412008971197999,0,0,0,0,-0.305030313921342,0,0,0,0,0,0,0,0,0.597793979855183,0,0,0,0,0.258786329060148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337986831826707,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.170825436046841,0.0540058957119982,0,0,0,0,0,0,0,0,0,0.0205004004187573,0.0840523384947206,0,0,0,0,0,0,0,0,0,0,0.113660678956491,0.570445327866252,0,0,0,0,0,0,0,0,0,0,0.0954927195135573,0,0.0405559976103681,0
X2882.TT.EQUITY,0.284729413729953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0948024499280995,0,-0.0260841602933504,-0.0133551183636499,0,0,0,0,0,0,0,0,-0.155762824208186,0,-0.142831451737226,0,0,0,0,0,0,0,0,0.0589709683331932,0,0,0,0,0,0,0.92246273718382,0,0.113082793389337
X17.HK.EQUITY,0,0,0,0,0.118063957138622,-0.153960871989546,0,0.0511478356560718,0,0,0.208517538640572,0,0.183264006940274,0,0.128490034060161,-0.0582012604309452,0,0,0,0,0.231571388717044,0,0,0,0,0,0,0,0.00560562421375112,0.00522638916625177,0,0,0,0,0.181865328524984,0,0,0,0,0.0359087305676881,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,-0.0365619858245134,0,0.0984381468535668,0.0481403825548197,0,0,0,0,0,0,0.218180484301692,0,0,0,0,0,0,0,0,0,0,0,0.0242212869363434,0,0,0,0,0,0,0,0,0,0.0358353393868837,0,0,0.165040509851175,0,0.365437297186868,0,0,0,0,0,0,0,0,-0.0200560767361543,0,0
X2881.TT.EQUITY,0,0,0,0,0,3.46944695195361e-18,0,-0.10909125410584,0,0,0,0,0,0.0250954518003548,0,0,0,0,0,-0.0442837567431458,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.02925788138588,-0.103340144408155,0,0,-0.0596924237361431,0,0,0,0,0,0,0,0,0,0,0.935001995124244,-0.0317220370354979,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0.00159960332107665,0,0.0395029231410373,0,-0.0247387613835867,0,0,0,0,-8.67361737988404e-19,0.0292968832834269,0,0,0,0,0.209977960856577,0,0,0,0,0,0.0231417290533534,0,0,0,-0.0303807153485817,-0.0333754502431686,-1.73472347597681e-18,0.33611502822011,0,0,0,0,0.0648929604546442,0,0.330445445454656,0,0,0,0,0,0
macro_return_add,0.546533265841065,0,0,0,0,0,0,-0.051083422777038,0,0,0,0,-0.0840701332136168,0,0,0.589578396432616,0,-0.384139209448671,0,0,0,0,0,0,0,-0.110960234214671,0,0,0,0,0,0.13957454856884,0.293172110523506,0,-0.276891328712751,0,0,0,0,-0.478501807824962,0,0,0,0,0,0,0,0,0,0
