,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X600606.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,macro_return_add
X601166.CH.EQUITY,0.439918860347138,0,0,0,0,0,0.196263186880622,0,0.258910022408627,0,0,0,-0.157415835438687,0,0,0,0,0,0.124364049331202,0,0,0.0572594577434991,0,0,0,0,0,0,0.09860686179263,0,0,-0.10071897059915,0,0,0,0,0,-0.0261148540826426,0,0,0,0,0,0.0547806473334727,0,0,0,0,0.078784852287939,0,-0.132780777071997
X601169.CH.EQUITY,0,0,0,0,0,0.681393484540123,0.0175892986992905,0,0,0,0,0,0,0,0,0,0,0.00774367564848947,0,0.0880486466599888,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0232649290598826,-0.0980034051649769,0,0,0,0,0.237644251219089,0,0,0,0,0,0,0.00313265702579769,0,0,-0.188528084872931,0
X601229.CH.EQUITY,0.03829725802869,0,0,0,0.29081717257168,0,0.150019520320847,0,-3.46944695195361e-18,0.262068961430779,0,0,0,0,0,0,0.0938622561853825,0,0,0,0,0,0,0,0,0,0.0312728483764425,0,0,0,0,0,0,0,0,0,0,0.0493760638497376,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0530677783591643,0,0,0.0122596867831244,0,0.0439451106423995,0,0,0,0,0,0,0,0,0,0.147921005473555,0,0,0,0.155131724311146,0.472843767540342,0.0353007785854881,0,0,0,0,0,0,0,0,0,0,0,-0.0108992280309313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0675339601981061,0,0,0.169825486595648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166763809498877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607162789915757,0,0.0183014105708115,0,0,0,0.209376546145306,0.0309485109194539,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.0169551389985254,0,0,0,0,0,0,0.118967805575743,0,0,0,0,0,0.317029807620494,0.206279427704818,3.46944695195361e-18,0.113163678104347,0,0,0,0,0,0,0,0,0,0,0.0149231244385447,0,0,0,0,0,0,0.0330415031046294,0,0,0,0,0,0,0,0,0.0738006670151067,0
X601577.CH.EQUITY,0.00529124473429529,0.30612760536075,0,0.0851686468006457,0,0,0,0,0.0839970144908962,0,0,0,0.172865693552277,0,0,0,0,0,0.0670605374496763,0,0,0.105246137901336,0,0.137287447150414,0.0382389127750171,0,-0.03164924922684,0,-0.0319148196249066,0,0.0813389824845899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490940486815191,0
X601818.CH.EQUITY,0.171927302369045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23028807659247,0.226484090724869,0,0,0,0.0621242111892323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125308265398368,0,0.0776676674483195,0.0247133487972486,0,0,0,0,0,0.097142771783911,0.0763591760252512
X601838.CH.EQUITY,0,0,0,0,0,0,0.0644477175004362,0,0.239861926429042,-0.3330534832933,0.267077388004295,0,0,0,0,0,0.331152560264612,0,0,0,0,0.0217255066459839,0,0,0,0.195598182832374,0.0172585160643371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802402630318423,0,0.0822526004531241
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0543864852291693,0,0,0,0.743962939156516,0,0,0,0,0,0,0,0,0,0,0,0,0.155138848324019,0,0,0,0.034280024218171,0,-0.0605260836064934,0,0,0,0.0100377017228306,0,0,0,0,0.132188226034599,0,0,0.0608486617323263,0,0,0,0.0807423814057803
X601988.CH.EQUITY,-0.087606361115701,0,0,0,0,0,0,0,0,0,-0.151908042697698,0,0,0.212632499124808,0.489748161675424,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0342987095850224,0,0,-0.0573892017889165,-0.019558984937307,0,0,0,0,0.0368297001990108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0.0916653123198969,0,0.130287065049837,0,0.0760316627728196,0,0.0356702096938066,0.293711360649738,0,-3.46944695195361e-18,0.0439900836179883,0.065666504035641,0,0.0120799529077478,0,0,0.151724950820059,0,0,0,0,0,-8.67361737988404e-19,0.101612372125261,0.0231970963454162,0.040988648444153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063026530222807,0,0,0,0,0,0,0.173042563139983,0,0
X601998.CH.EQUITY,0,0,0,0.14848042633442,0,0,0.173433569966384,0,0,0,-0.0697654951586436,0,0,0.296651943754564,0.124919033358194,0,0,0.251145017192179,0,-0.177299060598347,0.27405449873672,0,0,0,0,0,0,-0.0175441753611585,0,0,0,0,0,0,0,0,0,0,-0.0569877677708471,0,0,0,-8.67361737988404e-19,0.115764657491023,0,0,0,0,0.0875428988069784,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.0451359924434684,0,0,0,0,0,0,0,0,0,0,-0.0403296514545103,0,0.18934143439233,0,0,0.220257543536399,0,0,0.0907242876351418,0.133170046094977,0,-0.132050426548609,0,0,0,0,0,0,-0.0660495702280824,0,0,0,0,0.0436861918577882,0.146339288046993,-0.00266906780276256,-0.0200470776937814,-0.0937034388320892,0,0,0,0.151000327110085
X601916.CH.Equity,8.67361737988404e-19,-0.0164265049236494,0,0,0.393209082853646,0,0,0,0,0,-0.0366854615698432,0,0,0,0.0717804883448432,0,0.133778065465534,0,0,0,0,0,0.0415766141726315,0.12088961224429,0,0,0,0,-0.00538580242257323,0,0,0,0,0.0211233155014085,0,0.0899145656391488,0,0,0.0344041687631335,0,0,0,-0.00757248785757267,0,0,0,-0.161329259290317,0,0,0,0
X601077.CH.Equity,0,0,0.12749883879042,0,0,0,0,0,0,0,-0.1344539391657,0,0,0,0,0,0,0,0.12388235932879,0,0,0,0,0,0.399532178099962,0,-0.0283802854994439,0,0,0,0,0,0,0,-0.0738698884471422,0,0,0,0,0.375675122867756,0.12961889940537,0,0,0,0,0,0,0,0.229367138928725,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,-0.144978302618349,0,-0.0474263144560663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00845520128063394,0,0,0.606259352308717,0,0,0,0,0,0,0,0,0,0,0,0,0.116494308492595,0,0.186188080557111,0,0,0,0,0.0953837306827866,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0491973323639063,0,0,0.0943533392188865,0,0,0,0,0,0,0,0,0,0,-0.151110433312628,0,0,0,0.50453311315572,0,0.152848607480042,0,0,0,0,0,-0.0330339404169949,0,0,0,0,0,-0.100866453421425,0,0,0.102353774931578,0,0,0,0.233980183893333,-0.0172840840129322,0,8.67361737988404e-19
