,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601601.CH.EQUITY,0,0,0,0,0,0,0.257781620669656,0,0.145641032085296,0,0,0,0,0.0197179094757611,0,0,-0.00298889827578178,0,0,-0.105777325420568,0,0,0,0,-0.0285730418338782,0,0.298743856626533,0,0,0,0,0,0,0,0.283983237279387,0,0,0,-1.73472347597681e-18,0,0,0.0238094487188671,0,0,0,0,0,0.410719862663251,0,0.0838149078698087,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.11407489132853,0,0,0,0,0.195378385912518,0,0,0,0,0.0194010733722295,-0.0034334723158887,0,0,0,-0.154507849553759,0,0,0,0,0,0,0,0,0.221436123857439,0,0,0,0,0,0.0501582436131306,0.0623701366368786,0,0,-0.0354762776071075,0,0,0,0,0.22140955251858,0.0472175154477718,0,0,-0.327089221856148,0.0177174017449733
X1299.HK.EQUITY,-0.0642795064335408,0,0,0,0,0.0885540974883824,0,0,0,0,0,0,0,0,0,0,0,0.129732483788706,0.0975147719790528,0,0,0,0,0,0,0,-0.0489210076494408,0,0,0.096486770165281,0,0,0,0,0,0,0.216171566049598,0,0,0,0,0,0,0,0,0,0.193117918206442,0.210982569851769,0,0,-0.168184293386695
X2881.TT.EQUITY,-0.208633851899944,0,0,0.0279355191735872,0,0,0,0,0,0,0,0.116276962646923,0.229709579606032,0,0,0,0,0.0185018978006404,0,0,0.0968877075721931,-0.146430619699217,0,0,0,0,0,0,0,0,0,0,0.253315263719911,-0.0239253928214531,0,0,0,0.439467886618576,0,0,0,0,0,0,0,0,0,0,0,0.353692186957652,0
X2882.TT.EQUITY,0,-0.0281352765982895,0,0,0,0,0.0418362431727718,0,0,0,0,0,0,0,-0.0561198595870437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560700489639557,0,0,0.380436804534638,0,0,0,0,0,0.151660359276283,0,0,0,0,0,0.0861220472845148,-0.0151864682637193,0
X000002.CH.EQUITY,0,0.0050065400900632,0,0,0,0,0,0.164028774658142,0,0,0,0,0,0,-0.144436046454916,0,0,0,0,0,0,0.0475146603785272,0,0,0,0,0,0,0,0.0777864955813239,0,0,0,0.142288422764177,0,0,-0.0727141155846645,0.0352831884127588,0,0.257593163665081,0.26170985265937,0,0,0,0,0.0525594244303285,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,-0.100259879587094,0,0,0,0,0,0,0,0,0,0.450723652344585,0,0,0,0,0,0,0,0,0,0.0501692762461909,0.19586635902517,0,0,0,0,0.00352524990011636,0,0,-0.132529107447716,0,0,-0.00366436928269758,0.121883031655864,0,0,0.0908088681571119,0,0,0,0,0.146071530277956,0,0,0,0.115513906262598
X600048.CH.EQUITY,0,0,0.114625732555961,0,0.00280028524984625,0,0,0,0,0,0,0,0.0948652583712473,0,0.0280018107727825,0,0,0,0,0.121001552217224,0,0,0,0,0,0,-0.194504305825216,0,0,0,0,0,0,0,-0.301264358430305,0,0,0,0.422446120491833,0,0,0,-0.154564989383206,0,0.0520246872569108,0,0,0,0,0.0205372964550474,0
X1109.HK.EQUITY,0.0535181414223016,0,0,0,0,0.0427681085580974,0.07487797561227,0,0,0,0,-0.120572330686632,0,0,0,0,-0.173930280995225,0,0,0,0,0,0,0,0,0,0,0,-0.235538831138112,0,0,0,-0.0810466324810432,0,0,0,0,0,0,0,0,0,0,0.151713554458161,0,0,0.574584209601743,0,0.06680134934765,0,0
X1113.HK.EQUITY,0,0,0,0,-0.0430572806162888,0,0,0,-0.172864116544493,0,0,0,0,0,-0.0859752983643475,0,0,0.0360555715061212,0,0,0,0,0,0,0,0,0,0,0,0.188501259078564,0,0,0,0,0,0,0.00644976680728578,0.0440089917585334,0,0,0,0,0,0,0,0.553723675116344,0,0.0796957995730919,0.0208575744338556,0.177739701752082,0
X12.HK.EQUITY,-0.256616205826527,0,0,0,0,0,0,0,0,0,0,0,0,0.202859594369689,0,0,0,0,0,0,-0.0326510599856628,0,0,0,0.33312420496264,0,0,0,0,0,0,0.0383359033296018,0,0,0,0.408213306195178,0,0,0,0,0,0.0495648695508955,0,0,0.304642912533083,0,0,0,0.00939055392909174,0.127069749075121,0
X16.HK.EQUITY,0,-0.0582925650801031,0,0,0,0,0,0,0,0.287470112781838,0,0,0,0,0,0,-0.103563603400273,6.93889390390723e-18,0.351724907701672,0,0,0,0,0,0,0,0,0,0,0.0108356541569083,0,0,0,0,0,0,0,0,0,0,0,0,0.365095129076022,0.000405417610985367,0,0.0637257146273383,0.063057444884276,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.178392016970403,0,0,-0.178584896129495,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0699103599085736,0,0,0,0,0,0.240632718611336,0.0236611475049774,0,0,0,0.0512172658592279,0,0,0,0.0901905195582878,-0.103075195496227,-0.178026172684549,0,0.0461268563342067,0.137275308947394,0.169246358916305,0,0,0.0637292021820328,0,0.138605724497888,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360793896309723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315801647465233,0.0821610678790843,0.0281101440598572,0,0,0,0.232089001997774,0.0754498353808937,0,0.0773391952608779,0,0,0.136470278720687,0,0.0427845553360322,0
X267.HK.EQUITY,0.0648057191326297,0,0,0,0,0,0,0,0,0,0,0.122582570899219,0,0.0442479081720033,0,0,0,0.447835332049609,0,0,0,0,0,0,0,0,0,0,0,0.0338350110773802,0,0,0,0.102362195521841,0.0488811455098969,0,0,0,0,0,0,0,0,0,0,0,0.480948510976547,0,0,1.38777878078145e-17,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.186684852115827,0,0,0,0,-0.16316156668821,0,0,0,0.235848254370225,0,-0.00093441029772311,0,0,0,0,0,0,0,0,0.0694382782702663,0,0,0,0,0.107055659378216,0,0,0.380207359590646,0.15899106554915,0,0,0.0806544827565941,0,0,0.115454484723906,0,0.104513939085423,-0.100299368215181,0,-0.381871198633964,0
X823.HK.EQUITY,0,0,0,0,0.146515889092812,0,0,0,0,0,0,0,0,0,0,-0.241191554452866,0,0.46584520697676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938560632887995,0,-0.0461429895483436,0,0,-0.095419317341038,0,0,0.0291441418022184,0,0.0833167228081876,0,0,0.0500551617354219,0,-0.00518375215502997,0,0,-0.0354658297706383
macro_return_add,0,0,0,0,0,0,0,0,-0.276939278056524,0.0568499823228677,0,0.0686971580813517,0,0,0,0,0,0,0,0,0.152287935650546,0,0,0,0,0,-0.168465037766159,0,0.17529888487345,0,0,0,0,0,0.208641526808258,0,3.46944695195361e-18,0,0,0.229267294706249,0,-0.321809810825806,0,0,0,-0.114187784329519,0,-0.076118930976634,0.0268021509345491,-6.93889390390723e-18,0
