,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601939.CH.EQUITY,0,-0.00795574535003907,0,0,0.35457728378731,0,0.186254157149509,-0.0628042665904527,0,0,0.245596839933132,0,0,0.0594587163113403,0.0444536040303102,-6.93889390390723e-18,0,0,0,0.243358643136917,0,0,0,0,0,0.0128464452195204,-0.105105772520295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632191461021374,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0.0184713714853782,0,0,0.29478297033529,0,0,0.198497147360922,0.100625460074612,0.0242058150275854,0,0,0,0.169125405626753,0,0,0,0.141394300035998,-0.234288343262728,0,0.195506669618173,0.0785122277309224,0,0.0942156677999421,0,0,0,0,0,-0.0306410264787022,0,0,0,0.00717678956877552,0,0,0,0,0,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0139947893115828,0,0.219703187006853,0,0.317584355754346,0,0.112480293188232,0,0,0,0,0,-0.014317926897074,0.012242636318427,0,0,0,0,0,0,0.00632567191917604,0,0,0,0.214536279723952,0,0,0,0,0,0,0,0,0,0,-0.0387088839394342,0,0,0,0,-0.136987393883826
X601998.CH.EQUITY,0,0,0,0.0328166026214467,0,0,0,0,0,0,0,0,0,0.237492749019779,0,0,0,0,0,0,0,0,0,0,-0.060428474556757,0,-0.332223779611044,0,0,0,0,0,0,0,0,0.181341884835066,0.385791224530529,0,0,0,-0.240608667935665,0.00195178666037777,0,0,0.159144472013448,0,0,0,0.0146091770467864,0,-0.111808052703432,0
X601658.CH.Equity,0,0,0,0,0,0.246164761103719,0.0636006207913296,0,0,0,0,0,0,0,0,0.0546804261844952,0,0.0103575660622716,0.00441795735364001,0.0987276537964765,0,0,0,0,0,0,0,0,0,0,0.0560785830572057,0,0.0190028886392725,0,0,0,0,0,0,0,0,0.0645435998546458,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,2.16840434497101e-19,0.0924256597007947,0,0,0.15515808084893,0,0.174171808827771,0,0,-0.114646719741023,-0.21915237698147,0,0,0,0,0,-0.0197753069739333,0,0,0,0,0,-0.00955535284703222,0,0,0,0,0.344603473426445,0,0,0,0,0.245091052877972,0.0736915218895347,0,0,0,0.327315700322746,0,0,0,0,0,0,0,0,0,0,-0.300715115794301
X601077.CH.Equity,0,0,0,0,0,0,0,0,-0.0503405616152229,0,0,0,0,0,-0.0156458263295246,0,0.922764002532117,0.0324532108134447,0,0,0,0,0,-0.00387652357544565,0,0,0,0,0,0,0,0,-0.0539333841314199,0,0,0,0,0,0,0,0,0.0140207685497887,0,0,0,0,0,0,0,0.17468924346024,0,0
X11.HK.EQUITY,-0.227111716880111,-0.165996689536614,0,0,0,0,0,0,0,0,0,0,0,0,0.0269144860808914,0,0,-0.00329431052743179,0,0,0,0,0,-0.100151174896136,0,0,0,0.53569550716206,-0.146188409095671,0,0,0,0,0,0,0.090150671047509,0,0,0,0.133365234422943,0,0.347926130696712,0,3.46944695195361e-18,-0.101375347902572,0,0,0.109804325793577,0,0,0,0.0887041141305292
X2388.HK.EQUITY,0,0,0,0.142925569275887,-0.045376489992591,0,0,0,0,0,0,0,0,-0.134594184758867,0,0,0.068123556178784,0,0,0,0,0,0,0,0.0734649744650328,0,0,0.279677521919678,0,0,0.0487067257470631,0,0.0623275434739115,0,0.00224448522637702,0,0,0,0,0,0,-0.042034122511622,0,-0.159187471683391,0.0868669632422808,0.0163306837687233,-6.93889390390723e-18,0.0641438251109996,0,-0.160551279181306,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0566452736916013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438080465684243,0.0516516317700352,0,0,0,0,0,0,0.118394657359048,0,0,0,0,0,0,0,0,0,0,0.209898766266862,0,0.160059354606041,0,0,0.3180703666899,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0570147952369364,0,0,0,0.092863399657826,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.14813942397032,0,0.0155231795934271,0.291301083916086,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11886034344784,0.112532461275115,0,0,0
