,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0493636647971881,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.088009770765323,0,0.078573918516705,0,0,0,0.119566443179101,-0.177586060269318,0,0.291622268833549,0,0.463111833582448,0,0,0,0,0,0,0,0,0,-0.145410024428383,-0.151703386551145,0,0,0,0,0,0,0,0,0,-0.131249739281852
X601688.CH.EQUITY,0,0,0,-0.110729671082024,0,0,0,-0.0369873329684508,0,0,0,0,0,0.313419980767253,0,0,0,-0.0313567049429243,0,0,0,0,0,0,0.0413807361259022,0.336692091824466,0,0,0,0.017297571199302,0,0,0,0,0.163137432462937,0.322311641010538,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124030442762069,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0.419014614720008,0,0,0,0,-0.108595462114362,0.0120473005142324,0,0,0,0.139663399388401,0,0,0,0.185570509737198,0,0,0.0375596416471665,0,0,0,0,0.0406292987333641,0,0,0,0,0,0,0,0,0,0.0278099621954506,0,0,0,0,0,0,0,0,0,0.163190044664622,0,0,-0.0766999483180699,0.0716952381679309,0
X601211.CH.EQUITY,0,0,0,0.125015164463943,0,0.0238872711499706,0.0509340247171761,0,0,0,0,0,0,0.285151617385344,0,-6.93889390390723e-18,0.0718984466010557,0,0,0,0,0,0,0.00691079126898748,0,0.0250831052944808,0,0,0,0.0620267123271415,0,0,0,0.275768218657063,0,0,0,0,0,0,0,0.103870789671602,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0.163099382351346,0,0,-0.0208067354106091,0,0,0,0,0,0,0,0,0.0160073923893457,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00950251387780459,0,-0.00919562982214964,0,0,0,0,0,0,0,0,0,0,0,0,0.00864752790583101,0.335263392195717,0,0,0.0439849139257956,0,0.164385574794747,0,0,0,0
X267.HK.EQUITY,0.0689268192189084,0,0,0,0,0,0.00574081492677521,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.228080793215848,0.226646139930966,0,0,-0.0919989918562093,0,0.0608934591823136,0,0,0,0,0,0,0.0682988760066728,0.259289939382854,0,0,0,0,0.0373075609108398,0,0,0,0.121868315304166,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963660819213723,0,0,0,0.0963191026557025,0,0,0,0,0,0,0,0,0.0337646998092401,0,0,0.0211027651785021,0,0,0,0,0,0,0,0,-0.142752928806955,0,0.17553580035824,0,0.352067146033642,0,-0.26718283211953,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,-2.16840434497101e-19,0.215074308718665,0,0.109430735713653,0,0,0,0,-0.15870969810127,0,-0.0425186250583567,0,0,0,0,0,0,0,0,0.0954399116343392,0,0,0,0,0,-0.0394679900377898,0,0,0,0,0,0,0,0,0,0,0,0.0893048783875665,0,0,0.152423961207322,0,0,0,0.151333122754885,0,0,0
X12.HK.EQUITY,0,-1.73472347597681e-18,-0.0500700511882504,0,0,0,0.0220251330946253,-0.025342510078826,0,0,0,0,0,0,-0.299774053890414,0.101443929154493,0,0,0,0,0,0,0,0,0.498267798600657,0,0.0218082571411223,0,0,-0.121219753576741,-0.11229379152436,0,0,0,0,0,0,0,0,0.386351166404163,0,0,0,0,0,-6.93889390390723e-18,0,-0.084752314862879,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0.0572253067931089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425138541046004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141479149148109,0.363264664897673,0,0.312681644301946,0,0,0,0,0.160339870321085,0,0,0,0,0.100626220603741,0,0,0.175244909229616,0
X2882.TT.EQUITY,0,0.0273443067636348,0,0,0,0,0.174937216788049,-0.164472323105091,0,0,0,0.0868636600138216,0,0,-0.0243797016488843,0,0.230059633064816,0,-0.0653716281693272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183096323459343,0,0,-0.0403015778569707,0,0,0,0,0,0,0,0,0.709405524492002,0,0.000234646477922818,-0.0522843448212544
X600918.CH.Equity,0,0,0,0,0,0,0,0.00392849627803718,0,0,0,0,0,0.198589382657378,0,0,0,0,0,0,0,0.0777386110256699,0,0,0,0.0491616562087612,0,0.0990380225061374,0,0,0.19889303907963,0,0,3.46944695195361e-18,0,0.224856017074505,0,0,0.043745887292367,0,0,0.0457933376045378,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0104262680283985,0,0,0,0,0,0,0.170589631306271,0,0,0.482671859521712,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0507709098712954,0,0,0.204221693268001,0,0,0,0,0,0,0,0,0,0,0,-0.0639552173728483,0,-0.0269814985686629,0,-0.025901332309109,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0484020579673016,0,0,0,0,0,0,0,0,0,0,0.30215093336663,0,0,0,0,0,0,0,0,0,-0.130026952201868,-0.280347744109343,0,-0.174501862768838,0,0,0.0081647081342679,0.132886679288286,0,0,0.304148119163322,0,0.0995851331258017,0,0,0,0,0.159269276982749,0,0,0,0,-0.319706740994257
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.0422316749223697,0,0,-0.210751841707658,0,0,0,0,0,0,0.103291229020532,0.300538075687237,0,0,0.14010262713082,0,0,0,0,0,0.347868739730212,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0677947534843241,0,0,0,0,0,0.169527174549089,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0.0966014486414271,0,0.215932403361811,0,0,0,0,0,0.231349564139163,0,-3.46944695195361e-18,0,0,0.0213012478391311,0,0,0,0,0,0.0451198241901209,0,0,0.158348674654127,0,0.0487521120627163,0.0178323848016359,0,0,0,0,0,0,0,0,0,0.300920619927806,0.00778419182184108,0,0,0,0,0,0,0,-0.163198391521508,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0543324291707905,0,0,0,0,0,0,0.303815956922306,0,0,0,0,0,0,0.0639709051198819,0,0,0,-1.73472347597681e-18,0.0778511213945278,0,0.0510603338396816,0,0,0,0,0.00473332841484729,0.0106063966347315,0,0,0,0,0.0727556748578996,0,0,0,0,0.2565897503533,0,0,0,0,0.0432220615637917,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0472874907500808,0,0,0,0,0,0,0,0,0,0,-0.0238020295277662,0,0,0.116836930742546,0,0,0.0205510289319525,0,0,0,0,0,0,0,0,0,0,0.165325094277981,0,0,0,0,0.513801628433547,0,0.0571008732511128,0,0,-0.0733459247775614,0,0,0,0,0.074307955624567
FXI.US.EQUITY,0,0,0,0,0,-0.114678602067577,0,0,0.149592114664298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12005311847059,0,0,-0.022370976786931,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0914669089875864,0,0,0,0,0,0,0,0,-0.200784348305154,0,-0.70227903516905,0.0672434718501184
VXFXI.INDEX,0,0,0.294687118705341,0,0,0,-0.0283183586757426,0,0.221685851180176,0,0,0,0,0,-0.488453130455058,0,0,0,-0.297978702608626,0,0.0822328498938531,0,0,0,0,0,0,-0.0671973145266109,0,0,0.0332615740012568,0,0,0,0,0,0,-0.120465222495363,-0.112421067413645,0,0,0.398947618056602,0,0,0,0,0,0,0,-0.0596048074391788,-0.484639635521007,0,0
CN2YR,0,0.517548795899584,0,0,0,0,0,0,0,0,0,-0.187084575420572,0.0782127983557729,0,0,0,-0.656300485913983,0,0,0,-0.0559756762156465,0.0886161967809019,0,0,0.11140506015872,-0.0103704396993338,0,0,0,0,-0.521409177971382,0,0,0,0.0135290147663685,0,0,0,0,0,0.171700895822746,0.443514752691782,0,0,0,0,0,0,0,0,0.0096297694516451,0,0
