,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X600999.CH.EQUITY,0.0702811787932142,0,0,0,0.26096356797406,0,0.0817099874291232,0,0,0,0,0,0,0.256937458390773,0,0,0,-0.141409989503215,0,0,0,0,0,0,0,0,0,0,0,0.0467938443191283,0,0,0.0445063908973922,0,0.0351385352633471,0,0,0.02687782853346,0,0,0,0,-0.0236853155347129,0,0.119768586488978,0.073248780073661,0.278898594746909,0,0,0,0.0691804743781928
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0603294225500402,0,0,0,0,0,0,0,0,0,0,0,0,0.314694236289452,0,0,0,0,0.261910777590811,0,0,0,0,0.146684683996275,0,0.0593058017874678,0,0,0,-0.128008680963843,0,0,-0.187904877722902,0.086839514313722,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00562982647058895,-0.0942554838928387,0,0,0,0,0,0,0,0,0,0,0,0.0691277969509081,-0.331030561291581,0.0322280397204198,0,0,0,0,0.726913234388135,0,0.0837012911651239,0,0,0,0,0,0,0,0,0,0,-0.0463421657867029,0,0,0,0,-0.13075753891796,0,0.127015170372781,0.0509020207309103
X601688.CH.EQUITY,0,0.0296731697916675,0,0,-0.107712645601751,0.00699995690913231,0,0,0,0,0,0,0,0.287285795973517,0,0,0,0,0.0172946672316956,0,0.0889196934049084,0,0,0.366052414101478,0,0,0,0,0,0.0421159555877407,0,0,0,0,0.204668809707049,0.246339755643434,0,0,0,0,0,0,-0.0373956217498297,0,0,0,0,0,-0.149930643065168,0,0.0489199937753923
X601336.CH.EQUITY,0,0,0,0,0,0.540496401496043,0,0,0,0,0,-0.0480219962668811,0,0,0.086617394654252,0,0,0,0,0.179622969842699,0,0,0,0,0,0,0,0,0,0,0,-0.0626393911649804,-0.00982279301788614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171455196799348,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.063991395726431,0,0,-1.73472347597681e-18,0,0,-3.46944695195361e-18,0.316593619551095,0,0,0.00571547726823121,0.130014018180426,0,0,0,0,0,0.0737576647284654,0,0.0560523033408558,1.73472347597681e-18,0,0,0,0,0,0,0.194073379196746,0,0,0,0,0,0,0,0.0889453122887352,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,1.73472347597681e-18,0.139444737708304,-0.124924327795718,0,0,0,0,0,0.00817882471438223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108365912183777,0,0,0,0,0.0565659102091903,0,0,0,0,0,0,0,0,0.0797877153725194,0,0.0718193980467377,0.278765245641521,0,0,0.310394253867376,0
X267.HK.EQUITY,0.163191609170888,0,0,0,0,0,0,0,0,0,0,-0.0328646336709497,0,0,0,0,0,0,0,-0.137113677329661,0,0,0,0,0,0,0.0344004817181489,0,0,0,0,0,0,0,0.0810954519365979,0,0,0,0,0,0.340984936664757,0,0.153029354919275,-0.412515388111101,0,0,0,0.303851805254146,0.209154577445223,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.133457495666062,0,0,0,0,0.167817513034727,0,0,0,0,-0.166168126960738,0,-0.165281876101313,0,0,0,0,0,0.0379849232886011,0,0.16081109373749,0,0,0,0,0.163532013898867,0,0,0,0,0,0.239147811406679,-0.177456459448386,-0.133161079550362,0,0,0,0,0,0,0.215297766125826
X1113.HK.EQUITY,0,0,0,0,0.0178188887995041,-0.0946968753394408,0.283505355065203,0,0.144339765847204,0,0,0,0,-0.0553337762856344,-0.032889166742071,0,0,0,0,0,0,0,0,0.0197539641183526,0,0,0,0,0,0,0,0,0.0174213227979003,0,0,0,0,0.131393981645636,0,0,0,0,0.11558311376062,0.211013603988033,0,0,-0.0631472039459359,0,0,0,0
