,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X001979.CH.EQUITY,0,0,-0.0576309516338093,0,0,0,0,0,-0.0111920274914264,0,0,0,0,0,0,0,0.0303124225353796,0,0.253095458851458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429734848465231,0,0.147439922511823,0,0,-0.0175330180640342,0.300119420084208,0,0.0353389306651763,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0.18994301753089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.161068826953206,0,0,0,0,8.67361737988404e-19,0.364275107969198,0.174574547583333,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19
X1109.HK.EQUITY,0,0,0,0.00243426827154282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120431116374933,0,0,0,0,0,0,0.0716957031205874,0.233448388123676,0,0,0,0.26486236690418,0,0,0.19316067365021,0.141673565018574,0,0
X1113.HK.EQUITY,0,0,0.0364013211016316,0,0,0,0,0,0,0,0.115745177177871,0,0,0,0,0,0,0,0.0593529439115653,0,0,0.0706849398160139,0,0,0,0,0.00139585862637611,0.0321483435250924,0,0,0,0,0,0,0,0,0,0,0,0,-0.086054300807125,0,0.0632940977232339,0,0.195591142915297,0,0.298506006526501,0,0.21855863542496,0,5.42101086242752e-20
X12.HK.EQUITY,0,0,0.0793884947027227,0.0523376133157109,0,-0.112075896179251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108652636908653,0,0,0,0.170600625500953,0,0,0,0,0,0,0,0,0,0,0,0,0.341393778484454,-0.0116879752977805,0,0,0,0,0.421993982148352,0,0,0,0.0585627377468338,0.0430592560824631
X16.HK.EQUITY,0,0,0,0,0.13261573318178,0,0,0,0.120324798407537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12401657632165,0,0,-0.143949083551577,0,0,0.207464936064214,0,0,0,0,-0.0527036052759561,0,0.12588448080844,0.0877264685571546,0,0,0,0,0.32935062762158,0.0521545763395578
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498839925073135,0.0834173095058886,0,0,0.115563936868813,0,0,0.0252861229827098,0,0,0,0,0,0,0,0,0,0,0,0.101538029606389,0,0,0,0,0,0,0.370262840090484,0.0803488398091539,0,0.0671262093084506,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0981811187468697,0,0,0.237221183837902,0,-0.017684485682803,0.0236570556346843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210885112118984,0,0.435194729556769,0,0,0,0,0,0.00745976693027779,0,0
X688.HK.EQUITY,0,0,0.0497376051654104,0,0,0,0,0,0,0,0,0,0,0.219828432032364,0,0,0.00261321538728114,0,0,0,0,0,-0.0771350069872603,0,0,0,0,0,0,0,0,0,0,-0.121106328229786,0,0,0,0,0,0.0160047959230954,0.0468565838725551,0.142230057408643,0.0425801582493684,0,0.486897737895275,0,0,0.159190039970715,0,0,0.0669076452429223
X823.HK.EQUITY,-1.73472347597681e-18,0,-0.0303437569370433,0,0,0,0,0,-0.235617801570952,0,0,0,0,0,0,0,0,0,0,0.116590016739887,0,0,0,0,0,0,0,0,0,0,0,0.249468492716687,0,0,0,0,0.171020744183117,0.0536224919008647,0,0,0.0211624359090488,0,0,0,0.23455627492135,0.568547751039563,0,0,-0.201178783818658,0,0.0718882049848373
macro_return_add,6.93889390390723e-18,-0.167733798718902,0.182970596653849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295784832255445,0,0,0.651254248120351,-0.184055592624281,0,0,-0.290099441153567,0,0,0,0,0,0,0,0,0,0,0,0,0.0709567181865256,0,0,0,0,0,0.0626754278444651,0
