,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601328.CH.EQUITY,0,0,0.352160648659217,0,0.0646728614141229,0,0,0,0,0,0,0,0,0,0.0477073114946865,0,0.0219836303754845,0,0,0,0,0,0,0,0,0,0,0,0.0261184109134833,0,0,0.00432075718876127,0,0,0.0422755864913079,0,0,0,0,0,0,0.200831438647602,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.0265581607993538,0,0.0886353500553866,0,0,0,0.111372679278087,0,0.383033958893838,0.0183394614008206,0,0,0,0.0957974507175786,0,0,0,0,0,0,0,0.0995969465500729,0,0,0,0,0,0,0,0,0,0,0.141393598906958,0,0,0,0.0123340836534517,0,0,0,0,0,0,0,0,0,0,-0.0454140449857642,0,0
X601818.CH.EQUITY,0,0.0816045005484769,0,0,0.0517493968086202,0,0.103782104434102,0.0683401706600315,0.231036704491587,0,0,0.203030976567933,0,0,0,0,0.00437117526534734,0,0.0515402756114125,0,0,0,0,0,0,0,0,0,0,0.0640681296710994,0,0.0454491950588372,0,0,0.0490136834720315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0921481721730422,0,0,0,0,0.219353224748046,0,0,0,0,0,0.697463644433654,0.0700586118361418,-0.16871834105279,0,0,0,0,0,-0.256233677653765,-0.0445065183041569,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0805764263119768,0,0,0,0,0,0,0,0.0241199227547247,0,0,0,0.0766786671306634
X601988.CH.EQUITY,0.18014467519261,0,0,0.348924557728921,0,0.0564704231946129,0,0,0,0.0418181297158859,0,0.265808073651498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00625488614488347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611831451543082,0,0,0.240176487921821,0,0.10034726287191,0,-0.0383785094783869
X601998.CH.EQUITY,0,0,0,0,0.0749125440001125,0,0,0,0.351659863917048,0.0701109713714093,0,0.123307696376012,0,0.167830177081192,0,0,0.0429092814593828,0,0,0,0,0,0,0,0,0,0,0.0819488934229403,0,0,0,0,0,0,0,0.126460597434321,0,0,0,0,0,0,0,0.0754908595757414,0,0,0,0,0,0,0.16438558573527
X601658.CH.Equity,0.00632957311001959,0,0.43241909002404,0,0,0,0.0608492081667567,0,0,0,0,0.124523612906713,0,0.130056191461648,0.0682974458888858,0,0,0,0,0,0,0,0.037159410804176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927386389484301,0,0,-0.0553384725436415,0,0.0166172878413254,-0.133548094280926,0,-3.46944695195361e-18,0,0,0,0.00427410442415785,0
X11.HK.EQUITY,0.230916700528902,-0.116286793208405,0,0,0,0,0,0,0,0.0848770184121067,0,0,0,0,0,0,-0.293580781584726,0,0.332736243051652,0.229880371802128,0.0399510247072199,0.0853462051892112,0,0,0,0,0,0,0,0,0,0,-0.135822260703496,0,0,0,0,0.112804109004507,0,0,0,0,0.0433182465369445,0,0,0,0,0.126136278110602,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.26769527638009,0,0,0,0,0.0119840190422954,0,0.208692358321985,0,0,0,0,-0.293453458654342,0,0,0,0,4.33680868994202e-19,0.0552144645366866,0,0,-0.0873950173521124,0.087065945896578,0,0,0,0.255337939827753,0,0,0,-0.0555139737258919,0,0.173287690232194,0,-0.0932487750817331,0.162569746542571,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458681824783731,0.0710350078218232,0,0,0,0,0.0401660428010054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904537424140404,0.269080369292147,0,0,0.128906871829369,0,0.195302360917318,0,4.33680868994202e-19,-0.0219743217973496,0,0.0192726299993889,0.203419822767033,-0.153684858494633
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.0702961424013518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147527110542891,0.0966002363231901,0.106053747466574,0,0.194287713820606,0.21853441190519,0,0.352328805390092,0,0,0,0,0,0,0,0.122034744650382,0,0,0,0,-0.0941676538594022,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0.169738574854601,0,0,0,0,0.115937215825257,0,0,0,0,0,0,0,0,0.0510156702716287,0,0,-0.00321050496166229,0.32225863537368,0,0,0,0,0.32427138140168,0.047178570212827,0,0.0499764172939976,0,0,0,0,0,0,0,0,0,0,0,0.0156431625120177,0,0.0205735128428011,-0.030846277692897,0,0,0,0,0,0,-0.0311979285284186
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0467940125095975,0,0,0,0,0,-0.0246560557640006,0,-0.0349749863705583,0.438209316012155,0,0,0,0,0,0.0826052427051781,0.0964692246547172,0,0,0,0,0,0,0,0.201734213728464,0,0,0,0,0,0,0,0,0,-0.0370512351496918,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0234534153061035,0,0,0,0,0,0,0,-0.0365441113841568,0,0,0.120178848294592,0.0929629106838701,0,0,0,0.0966096501114502,0,0,0.542878341365034,0.0750459556866641,0,0,0,0,0,0,0,0,0,0,-0.0422695838114189,0,0,0,0,0,-0.047647647751426,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137096510453965,0,0.100976328513378,0,0.5524077800258,0.0857646306949091,0,0,0,0.148000389527741,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0268055283335497,-0.135943015919929,-0.0162130899332569,0,0,-0.00982661800367445,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0.0348164833481323,0.00699339457570483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180476231799431,0.242940933738478,0,0.0352778878386799,0,0,0.242155099347483,0,0,0,0,0.125828654512327,0,0,-0.016504939685797,0,0.0168628950057402,0,0,-0.0736099940565275,0,0,0,0,0,0,0,-0.0285978998200595
X600999.CH.EQUITY,0,0,0,0,0,0,0.223754783821635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124246823372444,0,0.0238187596329552,0.290489623464599,0,0,0,0.0248114630925621,0,0.11379702562206,0,0,0,0,0.124970338689129,0,-0.0262293121648479,-0.0305195765930121,-0.0457398903785891,0,0,0.0701540951225877,0,0,0,0,0,0,0,-0.0179495239688258
X601066.CH.EQUITY,0,0,0,0,0.0245165085730352,0.0310672424029515,0.0241767137208378,0,0,0,-0.0494030455137099,0,0,0.016613884682525,0,0,0,0,0,0,0,0,0.131361549341502,0,0.688056861834353,0,0,0,0,0,0,0,-0.128907746245935,0,0,0,0,-0.0294615183630867,0,0.0942136948796098,0,0,0.0568803121916087,0,0,0,0,0,0,0,0
