,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601601.CH.EQUITY,0.0478150731548002,0,0,0,0,0,0,0,0,-0.0395133300233616,0.132934310854043,0,0.0974999331150832,0,0,0.015973476746167,0,0,0,0,0,0,0,0,0,0,0.170438463225058,0,0,0,0,0,0,0,0,0,0.249894247369896,0,-0.109067684723947,0.12208965790187,0.029659598847062,0,0,0.222212992913611,-2.16840434497101e-19,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.204182086657922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463349953738094,0.0743479237096736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10450124085103,0,0.232517829872192,0.116804617884077,0,0,0,0.201722703103415,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0.249650642064201,0,0,0,0.232068938601925,0,0,0,2.16840434497101e-19,0,0,0.150912096815418,0,0,0,0.236072224235082,0,0,0,0,0,-0.158330633091822,0,0,0.185644152438256,0,0.179503471703578,0,0,0.147551241067933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853125778402661,0,0,0.152935338274562,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.02922507142592,0,-0.00812850522505302,0,0,0,0,0,0,0,0,0,0,0,0,-0.0656887407013551,0,0,0.0217406697002324,0,0,0.0215685704146596,0,0.0388581996581228,0,0,0,0,-0.0637544652438869,0,0,0.219066525424067,0,0,0,-0.00333515852100518,0,0.691553565078387,0.0898462863022803,0,-0.021423165402802,0,0
X2882.TT.EQUITY,0,0,0,0,0.02502718245035,0,0.0622387266192146,0,0,0,0,0,-0.047151661648048,0,0,0,0,0,-0.100408430173942,0,0,0,0.0716842864603716,0,0,0,0.156581071672138,0.0962699419709797,0,-0.0331663149513791,0,0,6.93889390390723e-18,0,0.0830479047347449,0,0,0,0.0293474434566189,0,0,0,0,0,0,0.717559495543216,0,0,0.128018134664349,0,0.032027918949066,0.0135803525481166
X2883.TT.EQUITY,0,0,0,0,0,0,-0.100857866168743,0,0,0,0.0224491185688324,0,0,0,0,-0.0785080685524501,0,0,0,0.149493632227038,0,0,0,0,0.0995889337478256,0,0,0,0,0,0.298958459103028,0,0,0,0,0,0,0,0.126131806068447,0,0,0,0,0,0.0240424658756475,0.331416344307786,0.0855153530827606,0,1.73472347597681e-18,0,0,0
X2888.TT.EQUITY,0,-0.206890136272478,0.0658789462301544,0,0,0,0,-0.200962693066159,0,0,0,0,0,0,0,0,0,0,0,0,0.27733824884661,0.33956774406612,0,0,0,0.14165013164092,0,0,0,0,0,0,0.108672948775899,0,0,0,0,0,0,0,0,0,0,0,-0.0421540626089334,0.299208059260618,0.127302275177507,0.0589900709253317,0,0,-0.00154358775229679,0
X267.HK.EQUITY,0,0,0,0,0,0,-0.296392426398756,0,0,0.250991829173492,0,0,0,0,0,0.0812905318782369,0,0,0,0.0474605087508937,0,0,0,0,0,0.26504422480675,0,0.0487094693853561,0,0,0,-0.165459447052296,0,0,0,0,-0.032973680156225,0,0,0,0,0,0,0,0,0,0,0.109595371634265,0.335491211333855,0,0,-0.188215843664688
MKRturn,0.259316140322963,0,0,0.0863432939540747,0,0,0,0,0,0,0,0,0,0,0,-0.172133509276402,0,-0.12096429003288,0,0,0,0,-0.090820555935126,0,0.287368954503013,-0.264108669909745,0,0,0,-0.0532101069106843,0,0,0,0,0,0,0,0.0818742812249288,0.0712848906873752,0,0,0,0,0,0,0,0.244092292382737,0,0,0,0,0.224839164720236
RealEstateDiff,0,0,0,0,0,0,0.0689765504436716,0.0829748891827235,-0.0632734125789307,0,0.0946972712316558,-0.0647897184480879,-0.183702005034517,0,-0.010881307120504,0,0,0,-0.112149926226549,0.132712763474035,0.171312598132548,0,0,0,-0.0968651190334449,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0784302960838102,0,0.231629661474174,-0.232953522033091,0.363544705196206,0
