,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963691893961395,0,0.0924055774573347,0,-0.139569949386389,0,0,0,0,0,0.0730399173122444,0,0,0,0.235253432862775,0,0,0,0,0,0.250274221658921,0,0.244614550546847,0.0508103011703092,0,0,0,0,0,0,0.00354042384974625,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0.0398431726345464,0,0,0.0930542361634788,0,0,0,0,0,0,0.151356738911722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698843762097866,0,0,0,0,0.0246415976632068,0,0,0.411312364189639,0,0.0867324970354937,-3.46944695195361e-18,0.0600750293150382,0.0309264239067485,0,0,0,0,0,0,0.00963441911486587,0,0.0253667385645009,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.283170042642761,-0.0289927850420093,-0.0674660711262902,0,0,0,0,0,0,0,0,0,0,0,-0.0585786541363776,0,0,0,-0.0138609722667481,-0.109463152465956,0,0,0,0,0,0.358127510431166,0,0,0,0.41223909919386,0,0,0,0,0,0,0,0,0,0.0140119235168849,0,0.1094352791943,-0.00589350397376859,0,0,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.286486108917271,0,0,0,0,0,-0.077820528500674,0,0,0,0,0,0,0,0,0,0,0,0,0.480765874033738,0.00916954658107062,0.0128622169765766,0.295881035821553,0,0,0,0,0,0,0.124173041942891,0,0,0,0,-0.0364061923283902,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0.0443337611951789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38652690114603,0,0,0,0,0,0,0,0.0997938758714622,0.139891879267392,0.00107191415683844,0,0.177107412455535,0.250959039006806,0,0,0,0,0.0687961707785357,0,0,0,0,0,0,0.0223660867504343,0,0
X601901.CH.EQUITY,-0.0319150489578959,0,0,0,0,-0.170834706295345,0,0,0,0,0,0,0,0,0,0,0,0.112103967965113,0.0260701185855446,0,-0.0124814343340195,0,0,0,0,0.228645100567277,0,0.130655175495495,0,0,0,0,-8.67361737988404e-19,0.138945854194019,0,0.114683397429086,0.000816533170837636,0,0,0,0,0,0,0,0,0.0669401536644127,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245980551094855,0,0,0,0,0,0,0,0.235290106425742,0,0.0643326118995051,0,0.121083574784646,-6.93889390390723e-18,0,0.0103615471378105,0,0,0.356418304897744,0,0,0,0,0,0,0,0,0,0.0122443051457955,0,0,-0.130314883783599
X601696.CH.Equity,0,0,0,0,0,0,0.0352967062064316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35973614437831,0,0,0.120325729404388,0,0,0,0,0,0,0.0117346594302272,0,0,0.489327689269711,0,0,0,0,0,0,0,0,0,-0.13085189208668,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-0.266690897636389,0,-0.0473148990037896,0.0578142987572835,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.142445194774306,0,0.10156680680373,0.226065110922261,0.309851680017307,0,0,0,0,0,0,0,0.177140305882666,0,0,0,0,0,0,0,-0.11159269790223,0,0.301625442959075,0.035881297514035,0,0,0.0266729678938702,0,0
X601318.CH.EQUITY,0.0624386502581057,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.028092475358334,0.324949051809854,0,0,0,0,0,0.02540241318187,0,0,0,0,0,0,0,0,0,0,0,0.0397288226163711,0,0,0,0,0.131612459455506,0,0,0,0,0,0.214174919227243,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.148377536658512,0,0,0,0,0,0.0216324521862355,0,0,0,0,0,0.0916512060919449,0,0.0101173227060373,0,0,0,0,0,0,0,0.0272246456522736,0.106862256294975,0,0,0.130210399932166,0,0,0,0,0.108028998277384,0,0,0,0,0,0,0.241073233007872,0,0.0804225753845961,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.0512321297024586,0.0437717891062737,0,0.115989979614823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142017916905004,0,0,0,0,0,0,0,0,-0.0770583235664184,0,0.0800651566521568,0,0,0,0,0,0,0,0,0,0.202649928297149,0.158775827001501,0,0,0,0.0289882739801208,0.52837055851713,0.0237078584635118,0,-0.0966830788578929,0,0,0,0
X601601.CH.EQUITY,0.129997215898352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136577019434565,0.0827814806210666,0,0,0.0116675950327267,0.0870008359146696,0,0,0,0,0,0,-0.0605193916635347,0,0,-0.117407758976198,0.0745356402925133,0,0,0,0,0,-0.120588017923862,0,0.214518926552081,0,0.538474018431868,0.041470394355045,0.0765588739991375,0,0,0,0,0,0,0,0,0
