,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601211.CH.EQUITY,0,0,0,0.0736604630484983,0,0,0,0,0,0.0348361613863052,0,0,0,0,0,0,0,0,-0.0517102154423413,0,0,0,0,0,0,0,0.1659922125143,0.0805386805024486,0,0,0.0610636754918847,0.0797067942995844,0.308554721191416,0,0,0,0.141228713595386,0,0,0,0.142625134974866,0,0,0,0,0,0,0,0,0,-0.0305181306160228
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.012549279688338,0,0,0,0,0,0.0158495624582637,0,0.21505830644955,0.0454778226313523,0,0.340270352033475,0,0.130711602852732,0.0239833052633532,0,0,0,0.0409467382535784,0.140755159997145,0,0,0,0.0642068145638143,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,-0.0182886723667168,0,0,0,0,0,0,0,0,0,0,-0.0199061995023306,0,0,0,0,0,0,0,0,0.00128525716760912,0.210165462093864,0.115941043383048,0.31717311632991,0.0401426650825433,0,0,0,0,0,0.251715833641255,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206013453751335
X601901.CH.EQUITY,0,-0.0796684388971241,0,0,0,0,0,0.158574473644584,0,0,0.110576439405254,0,0,0,0,0,0,0,0,-0.0583065807783254,-0.0549668884917941,0,0,-0.116128164717552,-0.0101538850784196,0,0.39146118100114,0,0.17249900951303,0,0,0,0,0,0,0,0.293985657667955,0,0,0,0,0,-0.109345019712097,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.176012882432207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748484595266529,0.22118530121377,0,0,0.0111786549654108,0.0594996201069596,0,0,0,0,0,0,0,0,0.0739993836735895,0,0,0,0,0,0,0,0,0,0,0.155451164351727,0.424727251725725,0,0,0,0,-0.0539191064512997,0
X601318.CH.EQUITY,0,0.123668280428738,0,0,0,0.0584852209228847,0,0,0,0,0.265355008533229,0,0,0,0,0,0,0,0,0.0566918661856274,0,0,0,0,0,0,0.0877854372232442,0,0,0,-6.93889390390723e-18,0,0.0211515858481372,0,0,0,0,-0.118651783152338,0,0,0.055435960693169,0,0.170104089409619,0.200572502704694,0.0676548198828008,0.0421321507329892,0,0.0102667992352366,0,0,0
X601319.CH.EQUITY,0,0.281706572060869,0,-0.358559778221191,0,0.0224354446792663,0,0,0,0,0,0,-0.112054739196928,0,0,0,0,0,0,0,0,0.0226159372677942,0,0,0,0,0,0,0,0,0,0,-0.110081578155881,0.511218260981391,0.164213463073125,0,0.117367778741237,0,0,0,0,0.4485310455086,0,0,-0.0963706071128017,0,0,0,0,-0.436436130090977,0
X601336.CH.EQUITY,0.116850502130627,0.182912370978522,0.0189071101611472,0,0,0.143554567849478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23082140483954,0,0,0,0,0,0,0,0,0,0.0843414622335307,0,0.0853825977899203,0,0,0.136423754969137,0.107998443330934,0,0,0,-0.0265552382538988,0,0.0795159205271606
X601601.CH.EQUITY,0.103649808932607,0,0,0,0,0.016604575061758,0,0,0,0,0,0,0,0.116008854883412,0,0,0,0,0.0860859346264428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131541004488248,0,0.377071954148983,0,0.0170749829675525,0,0,0,0,0.0354701038119862,0,0
X601628.CH.EQUITY,0.0763519875260251,0,0,0.038593428433844,0,0,0,0,0,0.150959190522513,0,0.0189070589468246,0,0,0,0,0,0,0,0,-0.0512218013502157,0,0,0,0,0,0.0626460477837872,0,0,0,0,0,0,0,0,0,0,0,0,0.150646460147069,0,0.267308250903964,0.243357004097376,0,0,0,0.0713909003328859,0,0,0,0
X1299.HK.EQUITY,0,0.233883258799093,0,0,0,0,0,-0.417840934485484,0,0,0,0,0.0972416726172571,0,0,0,0,0,0.241026611113098,0,0.261274282910042,-0.206616659943894,0.222365481714179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362233378398259,0.18781036663196,0,-0.0785061791708022,-0.043999667263844,0,0,0,-0.185725837895061,0,0,0,0.130562677013473
X2881.TT.EQUITY,0,0,0,0,0,0,0.114079500337403,0,0,0,0,0,0,0,0,0,-0.109075675069862,0,0,0,0,0.0561819592237526,0,0,0,0,0,0,0,0,0,0,0.0133169014649096,0.0124210921203443,0,0,0,0,0,0,0.00841423473803167,0,0,0,-0.00956680807202314,0,0.930892155230051,-0.0431272088709217,0,0.150451427535098,0.0734895519172887
X2882.TT.EQUITY,-0.0916219709212377,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.128756483821074,0,0,0,0,0,0,0,0,0.0116599719010632,0,0,0.231332498177304,0,0,0.132697613775757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108724883359499,0.845774338490366,0,-0.329230682288131,0.0641993359917578,0.185123867600484,0
X267.HK.EQUITY,0,-0.210792464750595,-0.143777261844417,0,0,-0.139790350763485,0,0.0495516156820769,0,0,0,0.371900181985674,0,0,0.315145727375078,0,-0.166659393940749,0,-0.0336849641130662,0,0.419348645075638,0.201153737796268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114101073004678,0,0,0,0,0,-0.0532186265787457,0,-0.0916969714536858,0,0,0.42059569493428,0
MKRturn,0,0,0,0,0,0,0,0.145479551803229,0,0,-0.257273981828349,0,0,0.237987304011928,0,0,0.129507887401095,0,-0.132099604927783,0,0,-0.0902565744908362,0.313892367353066,0,0,0,0,0,0,0,0.193048581688697,0,0,-0.156771939101532,0,0,0,0,-0.144807373412426,0,0,0,0.250934790431797,0,-0.112147637943183,0,0,0,0,0,0
TED,0,0.24927760705253,0,0,0,0.0401881198126946,0,0,0,0,0,0,0,0,0,-0.293780424882878,0,0,0,0,-0.0337014279304512,0.209145513419624,-0.114408260562094,0.0823660446038725,-0.0345802299610898,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808077435072731,0.0861109334195176,0,0,0,0,0,0,0,0,0,0,0
RealEstateDiff,0,-0.0327741895427944,0,0,0,0,-0.0792544725579398,0,0,0,0.241500350599386,0,0.0281811942091412,0,0,0,0,0,0,0,-0.222927493815287,0,-0.357804304455889,0,-0.116653996770956,0,0,-0.089603074643579,0,0,0,-0.24883719812777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122314183605306,0,-0.0552754786114678,-0.0291010357900764,-0.0973823037912353,0
