,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2882.TT.EQUITY,0,0,0.128996994589396,0,-3.46944695195361e-18,0,0.0712395554506122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933338786732706,0,0.00855177855604543,0,0,0,0,0,0.0221709651641665,0,0,0,0,0,0,0,0.278760521407573,0,0,0,0,0.0136777157095887,0.229986168790676,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219641923656234,0,0,0,0,0,0,0,0,-0.0509742063374767,0,0,0,0,0,0,0,0.0929810108221613,0,0,0,0,0,0.228586347038143,0.493391602416203,0,0.0263334019270834,0,0,0,0,0,0.0290973309138118,0,0,-0.103029799905883,0
X001979.CH.EQUITY,0.0332624348854688,0,0,0.18836550683148,0,0,0,0,0,0,0,0,0,0,0,0.0233654981503257,0,0,0,0,0,0,0,0,0.157969851249371,0.174962998350626,0.00136304636296953,0,0,0,0,0.03208690966767,0,0,0,0,0,0,0.368785378417492,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208604984777202,0
X600048.CH.EQUITY,0,0,0.268809786722438,0,0,0,0,0,0,0,0,0,0.270914383334433,0,0,0,0,0,0,0.242793853175042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229533266049989,0,0,0.132956226674032,-3.46944695195361e-18,0,0,0,0,0.0716414597700051,0,0,0,0.000397020870458815,0,0,0.00157134250630511,0
X1109.HK.EQUITY,0,0,0,0,0,0.0477172120492595,0,0,0,0,0,-0.0568070309456922,0,0,0,0,-0.257761625702307,0,0,0,0,0.041945213020871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720570027038671,0,0.146275135655932,0,0,-0.0777202997670579,-0.0750939362564269
X1113.HK.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0108037387843063,0.0110477012580598,0,0,0,0,0,0,0,0,0,0,0,0,0.164880986563707,0,0,0,0,0,0,0,0.141257098640815,0,0,0,0,0,0,0.205197832255497,0,0,0,0.394996389476243,0,0,0.0282015968761265
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0.0426607751665386,0,0,0,0,0.0961208691872424,0,0,0,0.193808133249697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147725076554856,0,0,0,0,0,0,0,0,0.40270214037827,8.67361737988404e-19,0,0,0,0.158343488748948,0,0,0
X16.HK.EQUITY,0,-0.0238759983332958,0,0,0,0,0,0,0,0.0942008867155187,0,0,0,0,0,0,-0.122047302800791,0,0.38535723913719,0,0,0.0134728256927079,0,0,0,0,0,0,0,0.0899777575679009,0,0,0,0,0,0,0,0,0,0,0,0,0.262242372356515,0.0162444325338363,0,0.137316802790944,0,0,0,0,0,0.0221931616322342,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149065282705695,0,0,0,0,0,0,0,0.051877673841122,0,0,0,0,-0.00848423871873106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791892338880748,0.447944761253294,-3.46944695195361e-18,0,0,0.104947825239483,0,0.0975751886447813,0,-0.00994892361267192,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0.144456196717725,0,0.0641574620477436,0,0,0,0.153749976810599,0,0,0,0.0736919835586126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289087423803491,0,0,0,0,0,0.177084920126971,0.0682887868675102,0,0.0238285266065354,0,0
X267.HK.EQUITY,0,0,0.0557744951300004,0,0.0215095618019664,0.028920460956171,0,0,0,0,0,0,0,0,0,0,0,0,0.16314764636889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114493124888506,3.46944695195361e-18,0,0,0.275119999596332,0,0.109515308996156,0.215681849812924,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480774253074314,0,0,0,0,0.103006778667481,0,0,0,0.334301958534781,0,0,0,0,0,0.189215822409085,0,0.174518164938286,0,0,0,0,0.057533575372086,0.0236974256384846
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0146213865806045,0,0,0,0,0.12892509005925,0,0,0.0699074793841117,6.93889390390723e-18,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-1.38777878078145e-17,0.620982125048078,0,0,0,0,0,0,-0.0175283773696786
MKRturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248271148484023,0,0,0,0,0,-0.707802041845531,0,0,0,0,0,0,0,0,0.766391979475555,0,0,0,0,-0.0916554106850267,0,-3.46944695195361e-18,0,0,0,0,0.144725400870215,0,0,0,0,0
TED,-0.0894386935525292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249683380189143,0,0,0,0,0,-0.123702299064964,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0405616714475331,0,0,0,-0.150750170575394,0,-0.00417373362177469,0,0,0,0,0,-0.0746935597704145,0,0.00586028094171103,0,0,0,0,0,0,0,0.264756098281589
RealEstateDiff,-0.0433789099225014,-0.182142549294582,0,0,0,-0.0231147602292401,0,0,-0.0943121114408653,0.312222927221748,0,0,0,0,0,0,0.482385014586239,-0.241062086322602,0,0,0,0,0,0,0,0,-0.190746488763074,-0.0643995875037734,-0.281029807995817,0,0,-0.0578442480582327,0,0,0,0,0.0428724931279157,0,0,0,0,0,0,0,0,0,0.366660752720379,0,0.0743958697340354,0,0,0.319445196393017,0
