,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601336.CH.EQUITY,0,0,0,0,0,0,0,-0.00963087061598223,0,0,0,0,0,0,0,-0.128979527023569,0,0,0,0,0,0,0,0.0117348355708066,0,0,0,0,0,0,0.0334956614940841,0,0.203156798412311,0,0.0297292701238226,0.511907439671208,0,0,0,0,0.190022927387142,0.0653493539085832,0,0,0,0,-0.0679275589640484,0.0924495230899417,0,0,-0.130523438104726,-0.0158370914931818,0
X601601.CH.EQUITY,0.30054665066937,0,0.0123354145851803,0,0,0,0,0.0173773678133609,0,0,0,0,0,0,0,0,0,0,0.0957860091058433,0,0,0,0,0,-0.00635180099259266,0,0,0,0,0,-0.0700940277874285,0.0688373478759012,0.299193642387508,0,0,0.0869857850662288,0,0,0,0,0.172740003347567,0,0,0,0.132779545490172,0,-0.0563699896864899,0,0,0,0,0,0
X601628.CH.EQUITY,-1.73472347597681e-18,-0.149857284309896,0,0.00554205738333877,0,0,0,0.0515602546714772,0,0,0.181437724573126,0,0,0,0,0,0,0,0,0,0,0,0.156453568654993,0,0,0,0,-0.024033324232422,0,-0.0160606385313423,0.0646451580417792,0,-0.132369195970136,0.618053899984225,0,0,0,0,0.0404254888212227,-0.194397929282609,0,0,0,0,0,0,0,0,0,0,0,0,-0.00979306697213723
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.207143625182436,0,0,0,0.112594515217669,0,0,0,0.2986094954826,0,0,0,0,0,0,0,0,0,0.106524144908856,0,0,0,0,0,0,0,0.157448676816606,0,0,0,0,0.0932240407943223,0.0651924111254908,0.0197888422331836,0,0,0.17158803535276,0.296062424286015,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,-0.0399461041006563,0,0,0,0,0,0,0,0,0.132918720687967,0,0,0,0,0,0,0,0,0,0,0,0.041726408130922,0,0,0,0,0.0112175608117817,0,0,0,0,0,0,0.490223316443906,0,-0.0808456250129911,0,0,0,0,-0.0618553129829685,0,0.222359289187922,0,0,0,0,-0.0159850608673928
X2882.TT.EQUITY,0,0.132455469174542,0,0,0.0240186701919198,0,-8.67361737988404e-19,0,0,0.0158432317749223,0,0,0,0,0,0,0.192818396726105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302419192421969,0,0,0,0,0,0.150033437372896,0.70368891820477,0,0,0,0,0,0,0,0.0151949565124949,0,0.0292003971120642,-0.0256012806585091,0.052204409923441,0,0,0
X000002.CH.EQUITY,0,0,0,-0.181681477853167,0.121827518075993,0,0,0,0,0,0,0,0,0,0.284687367130109,0.111792919269924,0.0288311181208788,0,0,0.039575539971329,0,0,0,0,0,0,0,0,0,0,-0.0172808793372714,-0.15772878158702,0,0,0,0,0,0,0,0,0,0.59192628438856,0,0,0,0,0.0442350889439922,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122834747043013,0,0,0,0.0301663175301934,0,0,0,0,0,0.234451426754595,0,0,0.0658444541502919,0,0,6.93889390390723e-18,0,0,0.00472326796387562,0,0,0,0,-0.0913813427938287,0,0,0,0.167030435671864,0.0269012329466115,0,0.321105796034245,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0.0586589535165513,0.0801576277230711,0.0571299812952724,0,0,0,0,0,0,0,-0.095401341274658,0,0,0,0,0,0,0,0,0,-0.111743384125939,0,0,0,0,-0.127566287904231,0,0,0,0.0425157392867083,0,0,0.156230541237481,0,0,0,0,0,0.614811816425239,0.314216275277851,0,0,0,0,-0.045191079968997,0,0.152469396111674,0,0,0,-0.0579746890417855,-0.051634725177764
X1109.HK.EQUITY,0.0628163348323637,0.0147379661980894,0,0,0,0,0.133713071504992,0,0,0,3.46944695195361e-18,0,0,0.0619613556862742,0,0,0,0.00848778764085638,0,0,0,0,0,0,0,0,0,0,0,-0.040383511612127,0,-0.149451453224907,0,0,0,0,0,0,0,0,0,0,0,0.20336760778002,0,0,0,0.0997810110529951,0.240883758328958,0,0,0.103487719892805,0
