,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434743148922748,0,0,0.0188993977730168,0,0.0831552745070406,0,0,0,0,0,0,0,0.0839258319620518,0,0,0,0,0,0.212559726867825,0,0,0,0,0,0,0,0.167786049859555,6.93889390390723e-18,0,0,0,0.0576844310405447,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663873107209214,0,0.607362393513462,-0.422718405107522,0,0.355538675184049,0,0,0,0,0,0,0,0,0,0,0,0,-0.093342377844535,0,0,0,0,0,-0.109509664595925,0,0,0,0,0,0,0,0.639433057422396,0,6.93889390390723e-18,0,0,0.10132353268684
X2886.TT.EQUITY,0,0.121930046558149,0,0,0,0,0.229981597616102,0.165101703756838,0,-0.0121212992940833,0,0,0,0,0,0,0,0,0,0.0122976792906041,0,0,-0.0769743934730538,-0.0488715255832979,-0.0586752199353701,0,0,0,0,0,0.0741109675944238,0,0,0,0,0,0,0.518107696581574,0,-0.0879620556792276,0,0,0,0,0,0,0.0824746235601061,0,0,0,0.215313063361513,0,0
X2891.TT.EQUITY,0,0,0,0.0957730801224698,0,0,0,0,0,0,1.73472347597681e-18,0.110113481012217,0,0,0,0,-0.0823756167056142,0,0.0164956811478545,0,0.529730650052566,0,0,-0.0329818231968602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468121937718733,0.0528391116460135,0.0917423742013223,0,0,0,0,0.0766434466000118,0.178765016393195,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.152655011129049,0,0,0,0,0,0.0807027752145539,0,0.0100957320405087,0,0,0,0,0.778048411546103,0,0,0,0,0.20184557816926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.0290526264314645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11219387240254,0,0.0151560144726946,-0.351324031923142,0,0,0,0,0,0.182974640313306,0,0,0,0,0,-0.298433152662694,-0.091923378498374,0,0,0,0,0,0.161408811324998,0,0,0,0,0,0.025668403575848
X600030.CH.EQUITY,0.0367055308640485,0.00359749432366722,0,0,0,0,0,0,0.0100011728472673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806823978824966,0,0,0,0.257163757786756,0.267860990839417,0.213524036713933,0,0,0,0,0,0,0,0,0,0,0.0569001171387246,0,0,0,0,0,0,0,0,0.0693129406473103,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988785894226548,0.0741052305564837,0,0,-0.118998565849879,0.0144645308056365,0,0,0,0,0.313461709098393,0.0875102964561017,0.417512876148221,-0.108778387415168,0,0,0.0883411838911891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254005143683206,0,0,0.0159088189619538
X600999.CH.EQUITY,0,0,0.0728871749901914,0,0,0,0,0,0.0199085284577075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109348947801985,0,0,0,0,0,0,0.290906100548669,0.00334294993333127,0,0,0,0,0,0,0,0,0,-0.0887279910512023,0,0,0,0,0,0.10399341996232,0,0.0825561340964596,0,0,0.110146031218662,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707884230187666,0,0,0.648399653648785,2.77555756156289e-17,0.0162564566015739,0,0.220610768517102,0,0,0,0,0,-0.03192866306428,-0.0151010636795488,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0440674903726266,0.0746857579778155,0,0.0650349944646902
