,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0138740748596479,-0.00469347843755172,0,0,0.14210630161717,0,-0.274004495342238,0,0,0,0,0,0.0164205278713143,0,0,0,0.0605975078807505,0,0,0,0,0,0,0,0,0,0,0.497752246590886,0,0.0792520790549125,0,0,0.019293924761261,0,0.000776711601384643,0,0,0,0,0,0,0,0.121826257907346
X601336.CH.EQUITY,0,0,0,0,0.279483447969927,0,0,0,0.0270677535826891,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146965296454344,0,0,0,0,0,0,0,0,0,0,0.122777006613668,0,0,0.0787000813597537,0,0,0.267718297407629,0.0370185650126632,0.04001678115501,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0.0158213763935838,0,0,0,0,0,-0.00193347178580593,0,0.300866557709698,0,0,0,0,0,0,0.0634742028304221,0,0.0224940360878079,0,0,0,0.0177239339414367,0,0,0,0,0,0,0,0.431712235099374,0,0,0,0,0,-0.0317718653916366,0,0,0,0,0,0,0.0164814291417409,0,0.112294473030621,0,0,-0.00791799155483292
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218211226561194,0.268634255469266,0,0.179849031354597,0,0,0.182111588020254,0,0,0,0,0,0,0,0.123557608725614,0,0,0,0,0,0,0.166683399268178,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.0224079524993073,0.0737878565788035,0,0,0,0,0,0,0,0,0,0,0,0.09588453607446,-0.016803159816217,0,0,0,0.0640110313991685,0,0,0,-0.114239985713683,0,0,0,0.262607007728726,0.118283612472772,0,0,0,0,0.091256465769177,0.0626553060957314,0,0,0,0,0,0,0.0570594821731326,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0.0752050655966136,0,0,0.00817065520057025,0,0.0391797819048721,0,0.0818238352695572,0.0255417162488252,0,0,0,0.031210110187363,0,0,0,-0.0847263088876945,0,0.0288012159766295,0,0,0.131438034710568,0,0,0,0,0,0,0,0.134430250106196,0,0,0,0,0,0.338325764541456,0,0,0,0,0,0,0.178308804566298,0,0.0757638772192089,0,-0.0818364586305923
X000166.CH.EQUITY,0,0,0.072508584870716,0,0,0,0,0.050558073724959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531662456956566,0.0121556186191754,0.0962118177657551,0,0.149304510943718,0,0.338361420791155,0.0579527439866668,0,0,0,0,0,0,0,0.0874220651911661,0.118225810374786,0,0,0.0416461873198581
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.399910138301979,0,0,0,-0.0318324238882781,0,0,0,0,0,0,0,0,0,0.081716466326018,0,0,0,0,-6.93889390390723e-18,0,0.161511537785218,0,0,0.301766101747943,0,0,0,0,0,-0.432980777053536,0,0,0,0,0.0655380986787361,0,0,0,0,0,0.016478216374114,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0821345739640595,0,0,0,0,0.130345693438312,0,0.0531644943831932,0.67901211342917,0,-0.0194284999543201,0.00784309526510078,0,-0.0634654213314668,0,0,0,0,-0.0652820101553199,0.0601665294464495,0,0,0,0,-0.0310177280443889,0,0,-0.115867736429718,0,0,0,0,0,0,-0.0111540923060573,0.00715340234285096,0,0,0,0.137881563029066,0,-0.0712187203600504
X12.HK.EQUITY,0,0,0,0,0,0,0.0921266003403929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469831881064158,0,-0.0784851108619811,0,0,0,0,0,0.0497896318738198,0.130800880856696,0.154721300369219,0,0,0,0,0,0.187688721954872,0,0,0,0,0,0,0,0,-0.0427687981961213,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0417014526651715,0,0,0.297849188522708,0,-0.0834851398533003,0,0,0,-0.0869914025277186,0,-0.0599512074769129,0,0,0,0,0,0,0,0,0,0.0154522028323705,-0.159162123088782,0,0,0,0,-0.0208650964530835,0,0,0,0.0479201981602851,0,0,0,0,0.070753022811321,0,0.0948489351518003,0,0.763304231955483,-0.101219289531276
X601229.CH.EQUITY,0.224976015586262,0,0,0,0,0.305865375794166,0,0,0.4502155065901,-0.0504937232441461,0,0,0,0,0.136032315504369,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194419986525812,0.122198343626121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491933944875163,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0.0245413665507009,0,0.0764986876222739,0,0.0307492440628635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262765653931531,0,0,0.114506289952375,0,0,0.0311036659412318,0,0.0530100886352652,0,0,-0.139280773476137,0,0.263890938307637,0,0.152661367908124,0.0516583294776782,0,0,0,0.140339802128696,0,0,0
X000776.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49833393111142,0,0.134599182843222,0,0.0116053877397918,0,0,0,0,0,0,0,0,0.222499583519904,0,0,0,0,0,0,0.113592473005262,0,0,0.00521963826604185,0,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,-0.155182828541298,0,0,0,0.0349205644039432,0,0,0,0,0,0,0,0,0,0,0,0,0.0751554700085028,0,0,0,0.0491296440644816,-0.174059954085444,0,0,0,0,0,0,0.184366248988512,0,0,0.250288955033076,0,0,0,0.296659269414932,0,0,0,0,0,0,0.382986506226511,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.752117898655651,0.0206439618435578,0,0,0,0,0,0.0302630771781828,0.0997434480074633,0,0,0,0,0,0.0156285378014958,0,0,0.0655385753084058,0,-0.0154751707815759,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0333998381105525,0,0,0,0,0,0,3.46944695195361e-18,0.00321393484850897,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.0313027845137406,0,0,0,0,0.0360468258313698,0,0,0.0912204120473189,0,0,0,-0.507495395135819,0,0,-0.0466038756488249,0,0,0,0,0,0,0,0,0,0,0.0900086945458298,0,0,0.234722714606075,0,-8.67361737988404e-19,0.324224784024183,-0.0974967497479095,0,0,0.568218971989263,0,-0.0916429304486969,0,0,0,0,-0.130681299072661
macro_return_add,0,0,0,0.0639402621037284,-0.061725754255212,0,0,0.0375512104658389,0,0,0,0,0,0,0,0,0,0,0,0,0.035190183923504,0,-0.148004023020777,0,0.0934141624673954,0,-0.466132259454416,0,0.0367936585543273,0,0,0,0,0.129041177989995,0,0.136994392924569,0,0,0,0,0,0,0,0,0.0910017828014878,0,0,0,0,-0.617287446540309,0
