,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601229.CH.EQUITY,0.442270206989312,0.0650973733417785,0,0,-0.0141523032931854,0,0,0,0,0,0,0,0,0,0.0248155935390528,0,-0.113537865407781,0,0,0,0,0,0.0751041743779184,0,0,0,0,0,0,-0.0530006477290803,0,-0.00201680312193499,0,0,0,0,0,0,0.140641610190194,0,0,0,0,0,0,0,0.367021441736576,0.146398754068517,0,0
X600837.CH.EQUITY,0.030495016117009,0,0,0,0,0,0,0,0.216775727231522,0,0,0,0,0,0,0,0,-0.0307317437813263,0,0,0,0,0,0,0.151464090937432,0,0,0,0,0,0,0,0.0336468748882502,0,0,0,0,0,0,0,0.174155010545847,0,0,0,0.0872377145866895,0.0780591479210519,0,0,0.184049907866934,0
X002142.CH.EQUITY,0,0.460295897454938,0.230071562669182,0,0,0.0413713927966662,0.017288758475087,0,0,0,0,0,0,0,0.0375372369760406,0,0,0,0.13299248456706,0,0,-0.0379732510321857,0,0,0,-0.226818677470618,0,0,0,0,0,0,0,0,0,0.0638620302531515,0.0420918909960865,0,0,0,0,0,0,-0.118710542575895,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0.015014374344381,0.0176244699941428,0,0,0,-0.031794832447306,0,0,-0.0287039317254515,0,0,0.112828699603858,0.0947009366613146,0.0934631877215491,0,0,0,0,0,0,0,0.123634463564486,0,0,0.163355978113932,0.440281957979486,-0.0155820343371896,0.289927724967702,0,-0.0123951202745383,0,0,0,0,0,0,0,0,0,-0.0805278958860707,0,0,0,0,0,-0.0251591243716948
X601066.CH.EQUITY,0,0,0,0,-0.430360527780325,0,-0.150138066471295,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387240088611109,0,0,0,0,0,0.389156802899144,0,0,0.0110954898070178,0,0,0.085453552049362,0,0,0,0,0.0714016456224397,-0.277086778970121,0.182469804071351,0,0,0,0,0,0.0978167275862057,0.157426641890453,-0.0399584262672701,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0986253885641328,0,0,0,0,0,0,0,0,0,0,0.0996530257794645,0.0693209435871712,0.186969197121121,0,0.0765625954529489,0,0,0,0.0917728642202246,0,0,0,0,0,0.0287081151574666,0,0,0,0,0,0.431548992016694,0,-6.93889390390723e-18,0,0.0495616502248268,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,-0.1194914414283,0,-0.0152816830227391,0,0,0,0,-0.0716086936399151,1.0842021724855e-19,0,0.0426586967200957,0,-0.0652586893330051,0,0,0,0.0257392614637477,0,0,0,0,0,0,0.0462379963885194,0,0,0,0.593641347279467,0,0,0,0,0,0,0,0.791117096880004,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0.144399942065598,0.0226230191891458,0,0,0,0,-0.233560363827797,0,0,0,0.254391061294466,0,0.0110117707902175,0,0,0,0,-0.161507560788677,0,0,0,0,0,0,0,0,0,0,0.0699486725632027,0,0,0,0.118484603219487,0,0,0,0,0,0,0,0,0,0,0.0596706232650087,0,0.706954647224199,0,-0.0461429829408071
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.13981929529583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112233921738189,0,0,0,0.151626158256198,0,0,0,0,0,0,0.0273304180189711,0,0,0,0,0.271916220608652,0,0.392190463512415,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0510745302380541,0,0,0,0,0.249569132566308,0,0,0,0,0,0.0143570277925319,0,0,0,0,0,0,0,0.0796901568608471,0,0.20959132580453,0,0,0,0,0,0.155602447023515,0,0,0,0,0.0604502425181081,0,0,0,0,0.28228316922125,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10895199885032,0,0,0,0,0.0332442691615866,0.102997193484896,0.0795567431511417,0,0,0,0,0,0,0,0.41464068791012,0,0.0900639389365918,0,0,0,0.0940579804798002,0,0,0,0.0743385915935725,0,0,0,0.323523247308777,0
X2881.TT.EQUITY,0,0,0,0,0,-0.170649701072165,0,0.0673197912501042,0,0,0,0,-0.0343591867668671,0.0687036225741516,0,0,-0.139275420406371,0,0,0,-0.00503915985666574,0,0,0,0,0,0,-0.0115323203202277,0,0,-0.463093995111876,0,0,0,0,0,0.36422528448178,0,0.39918967963817,0,0,0,0,0.583086580641951,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0728733165085658,0,0,0,0,0,0,0.0434055438284869,0,0,0.130775785977456,0,0,-0.0930362548298289,0,0,-0.0159567874063926,0,0,0,0,0.0572168733977401,6.93889390390723e-18,0,0,0.386863264944294,0,0.0341855341471161,0,0,0,0,0.152518845110006,0.038821329096186,0.116258048603288,0,0,0.070793020116229
macro_return_add,0,0,0,0.0557031335935466,0,0,0,0,0,0,0,0,0,0,0,-0.170824033968141,0,0,-0.00924342115286953,0,0,0.155752233132626,0,0,0,0.594655514629867,0.298480766765024,0,-0.171325719545894,0,0,0,0,0,0,-0.12603959558472,0,0,-0.053039171250232,0,-0.317435995385122,0,0,0,0,0,0,0,0.483127727516925,0
