,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601336.CH.EQUITY,0,0.128932617126913,0,0,0.350008577411677,0,0.0224487952621916,0,0,0,0,0,0,0,0,0,0,0,0.226273833810911,0,0,0,0,0,0,0,0,0.0233400752617032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109988865867546,0,0,0,0,0.0614483999266471,0,0.0635309217091723,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0.175570009240678,0,0,0,0,0,0,-0.0342877663839227,0,0.176129641658665,0,0,0,0,0,-0.0695776623270217,0,0,0,0,0,0,0.144341068443992,0,0,0.308161565857762,0,0.00725065308182259,-0.0414996010683084,-0.0357681842214908,0,0,0.0320696752632067,0,0,0,0,0,0,0.115986629477989,0,0.0793519762932911,0,0,0,-0.0675188367548,0,0.0535469143603923
X000166.CH.EQUITY,0,0.00200660770152416,0.0708905345723646,0,0,0.0822912563972935,0,0,0,0,0,0,0,0,0,0,0,0.136902118368805,0,0,0,0,0,0,0,0,0,0.0171760248142349,0,0,0,0,0.123464137562592,0,0,0,0,0,0.0780161925165919,0,0,0,0,0,0,0,0.086670948686661,0,0,0.18785936829178,0,0,-0.160870340681442
X12.HK.EQUITY,-0.156759312942109,0,0,0,0.0489369693932887,0,0,0.0693232062397213,0,-0.0443890710239909,0.503972004591787,0,0,0,0,0,0,0,0,0,0.560302065504145,0.0485404130749633,0.0198059875426782,0,0,0.0696209272096996,0,0,0,0,0.0253861877720461,0,-0.0099856701821712,0,0,0,0,0,0,0,0.0230595879567255,-0.0953099340118241,0,-0.0459142306565942,-0.173398208644635,0,0,0,0,0,0.0377466705398409,-0.162080006511118,0
X2882.TT.EQUITY,0,0,0,0,0,0.125475105754242,0,0.180064057628426,0.354946514017948,0,0,0,0,0,0,0,0,0,-0.118587616617649,0.330062220879779,0,0.27074244087064,0,0,0,-0.035093349306615,0,0,0,0,-0.524725467768045,-0.2080511081537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125978070758304,0,-0.278521184132572
X601229.CH.EQUITY,0,0,-6.93889390390723e-18,0.303599337511714,-0.445357182612061,0,0,0,0.18079994697514,-0.102068023813816,0,0,0,0,0.118234357961623,0,0.239218547447251,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-0.0958987771564973,0.0332712307040341,-0.0108401264795523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0855742005929071,0,0,0,0,0.0537980821606302,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0687997490950303,0,0,0.0470328939417403,0,1.0842021724855e-19,0.0813295294262504,0,0,0,0,0,0,0,0,0.0332205338457782,0,0,0,0,0,0,0.0527432531444422,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.127533332632176,0.260459199425005,0,0.0124079585648851,0
X002736.CH.EQUITY,0,0,0,0,0,0.141470304885981,0,0,0,0,0,0,0.092310839011457,0,0.17796166642641,0,0,0,-0.000577955059479256,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.437513976825012,0,0,0,0,-0.0577792054010143,0,0,0,0,0,-0.037550326468055,0,0,0,0,0,0,0,-0.0200438337671279,0.107280348393129
X823.HK.EQUITY,-0.0524342039738716,0,0,0,0,0,0,0.0210100827532949,0,0,0,0,0,0,0,0,0,0,0,0,0.160817255291986,0,0,0,0,0,0,0.301189032076439,0,0,0,0,0,0,0,0,0.382551425356816,0,0,0.119098590332726,0,0,0,0.0624282354167972,0,-0.0390496458716183,0,0,0,0,0.109795190566363,0,-0.174315053391552
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0205039859440715,0,0,0,0,0.0285341315326671,0,0,0.226223297455049,0,0,0,0,0.302838050149528,0,0.0467573486632052,0,0,0,0,0,0,0,0.164326528978391,-0.0322775555413403,0.00182218983578423,0,0,0,0.294583684059194,0,0,0,0,0,0,0,0,0,0,0,-0.111225296295141,-0.0730360491458167,0
X601881.CH.EQUITY,0,0,0,0.0707610571162033,0,0.180745809727021,0,0,0,-0.0147400498645858,0,0,0,0,0,0,0,0.0134556443212365,0,0.0428044158908384,0,0,0,0,0,0,0,0,0,0,0,0,0.16378098180536,0,0,0,0,-0.0311844222482059,0.0261998747246775,0,-0.00404802113980527,0.391258219946319,0,0,0,0,0,0.031390303275451,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,-3.46944695195361e-18,0.0494228716100656,0,-0.058880331371038,0,0,-0.0820025637311624,0,0,0,0,0,0,0,0,0,0,0,0.0347794250782781,0,0,0.00401819923980934,0,0,0,0,0,0.0626186387023,0,-0.0709224565507814,0,0,0,0,0,0,0,0,0.211246455370463,0,-0.0933088282327421,0.0752068087670613,0,0,0,-0.483791432305937,0
VXFXI.INDEX,0.0321845886099561,0,0,0,0,0,0,0,0,-0.0778297686892491,0,0,0,0,0,0,0,0,0,0,0.106555846470026,0,0,0,0,0,0,0,-0.250803918539174,0,0,0,0,0.106133662196984,0,0,0,0.0885448118026672,0,0,0,-0.0392436828567455,-0.0890456522478927,0,0.227435287714093,0,-0.104231836149207,0,0,0,-0.744177190364914,0,0
CN2YR,0,0.138047060419839,0,0,0,0.0031647417160739,0,0.220602499413783,0,0.0345178939353654,0,0,-0.00761791604622326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231553725243909,-0.116293968594861,0,0,0,0,0,0,0.296339117062001,0,0,-1.73472347597681e-18,0,0,-0.038245625627107,0,0.0719414988544918,0,0,0,0,0,0,0
