,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601818.CH.EQUITY,0,0.0226188766374331,0,0.288195343939237,0,0.0688084523346029,0,0,0,0,0,0,0,0,0.0226606813726938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167932436676953,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.725073375705726,0,0,0.080945337156115,0,0,0,0,0,0,0,0,0,0,0,0,0.209376140146183,0,0,0.115295347374822,0,0,0,0,0,0,0,0,0,0.0357820079876529,0,0,0,0,-0.0198585827562226,-0.104643417638766,0,0,-0.139904071753284,-0.00904954725490623,0,0,0,0,0,0
X601688.CH.EQUITY,0.0232711747659394,0,0,0,0.0834763158404013,0,0,0,0,0,0,0,0,0,0,0.0171071340237306,0,0,-0.0198459856378431,0,0,0.0572002340121385,-0.0985792070179015,0,0,0,0,0,0,0,0,0,0,0,0.289877265969466,0,0,0,0.505898038684579,-0.018043715613413,0,0,0,0,0.101947937198753,0,0,0.107511493057197,0,0,-0.0128165792327737,0.0159154348562755
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.156890892076043,0,0,0,0,0.0663025822797021,0,0,0,0,0.0421550006282167,0,0.123559088279941,0,0,0,0,0,0,0,0,0,0.418970378291451,0,0,0,0.0590528862335419,0,0,0.0348938011153746,0,0,0.0165885917880655,0,0,0.0232033555465102,1.73472347597681e-18,0,0,-0.00805437895534222,0.0623759799466722
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348327410564963,0,0.390558991505729,0,0,0,0,0.029133697489813,0.0249901454610719,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352702001470977,0,0.120274279644676,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0.211125691270917,0,0,0,0,0,0,0,0,0.162116794404061,-0.000196923643550466,0,0,0,0,-0.13143305500073,0,0,0,0,0,0.0248674720926636,0,0.10856698790962,0,0.396661707821682,0,-0.0400901889166515,0,0,0,0,0,0,-0.0552119325236908,0,0,-0.0430866470825738,0,0.0401929914836454,0,0,6.93889390390723e-18,0,0,-0.116148564787158,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0584165973069661,0,0,0,0,0,0,0,0,0,0,0.513268223292862,0,0,0,0,0.0349523876711121,0.064218710039796,0,0.298726524643271,0,0,-0.139495647115532,0,0,0,0,0,0,0,0,0,0,0,0.109530679545055,0,0.133546239523815,0.0942437148807602,0,0,0,0.129834209420872,-0.0617572616178806
X600837.CH.EQUITY,0,0,0,0,0.0830995327863198,0,0,0,0,-0.0134459112940347,0,0.0367536455558792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378091527825738,0,0,0,0,0,0,0,0.514777599861092,0,0.0323611120407495,0,0.0859285358705001,0,0.00400830188742313,0,0,0,1.73472347597681e-18,0,0,0,0,0.191162688259034,0,0,0
X600999.CH.EQUITY,0,0,0,0,-0.119622157059768,0,0,0,0,-0.0236395635522936,0,0,0,0,0.089141899165353,0.263024749451301,0,0,0,0,0,0,0,0.12270330199603,0,-0.032094009357889,0,0,0,0.143736508373281,0.08648416383408,0,0,0,0,0,-0.71283390758044,0,0,0,0,0,0,0,0,0,0.207494154557261,0,0.0895522499647533,0,0.0324479305729989,-0.114400989157763
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804748836931963,0,0,0,0,0,0,0.233925994843342,0.206610114005933,0,0,0.244350005756289,0,0,0,0,0.067896095569584,0,0,0,0.0229126835173331,0.130672413725831,0,0,-0.0579702518315301
