,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601169.CH.EQUITY,0,0,0,0,0.105066841712429,0,0,0,0,0,0,0.146720276725453,0,0,0,0,0.161183660689097,0,0,0,0.133009362749988,0,0,0,0.366185728641547,0,0,0,0,0,-0.07932820995018,0,0.0123931481230587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574745245179549
X601229.CH.EQUITY,0,0,0.354271751768846,0.0212512187217793,0,0,0,0,0,0,0.263406727534642,0,0.0149452656944911,0,0,0,0.0180279402003121,0,0,0,0,0,0,0,0,0,0.0714290740314029,0.0629077666616717,0,0,0,0,0,0,0,0,0.116089541280148,0,0.0804625181003327,0,0,0,0.0528292403706273,0,0.0254344578584201,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0254597103780925,-0.0472367537933031,0,0,0,0,-0.00833617938333149,0,0,0.0338732298107652,0,0,0,0,0.673370361017431,0.264570832739456,0,0,0,0,0,0,0.138176076423826,0,0,0,0,0,0,0,0,0,0,0,0,0.07530662364773,0,0,0,0,0,-0.203124830329962,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0133310506282791,0,0,0,0.0113728775532576,0.231995606684292,0,0,0,0.264296480498606,0.322061029749369,0,0,0,0.0904522284903712,0,0,0,0,0,0,0.105399768007928,0,0,0,0,0,0,-0.151278357205989,0,0,0,0,0,0,0,0,0.073999188551082,0,4.33680868994202e-19,0,0,-0.0843625789481241,0,0,0,0,0,0,0.0839486048358366
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.428598141808229,0,0,0,0,0,0.548504168285836,6.93889390390723e-18,0,0.108283677818257,0,0,0,0.0346975938489813,0.0501886700894856,0,0,-0.0153630394256605,0,0,0,0,0,0,0,0.0198467424827222,0,0,0,0,0,-0.158689988571786,0,0,0.00201755006251919,0,0,0.155498777817148,0,-0.0784904560890843
X601577.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.187678053998274,0,0,0,0,0,0,0,0,0.118468088606733,0,0.0585648311586448,0.00950541799481913,0.275975036749703,0,0,0,0,0,0,0,0,0,0,0,0.132629679194981,0,0,0,0,0,0,0.159003553983762,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,-6.93889390390723e-18,0,0.381927938706233,0,0,0,0,0,0.0572636601156541,0.214000274393181,0,0.0307677887167492,0,0,0,0,0.110762743639255,0,0,0,0,0,0.103319170526624,0,0,0,0,0,0,0,0,0,0,0.0411513824113803,0,0,0,0.10364263896775,0,0,0,0,0,0,0,0,0,0,0.0971508228335889,0
X601838.CH.EQUITY,0,0.309704516594618,0.0226675880947897,0,0,0,0.1071451876991,0.0396885674962834,0.030870860661079,0.00468728391910913,0,0,0,0,0.134481047143584,0,0,0,0.134204823442513,0,0,0,0,0,0,0,-0.110081408665263,0,0.00616863708706145,0,0,0,0,0,0,0,0,0,0.00536970285346561,0,0,0,0,0,0,0,0,0,0.0828961291521702,0,0,0
X601939.CH.EQUITY,0,0,0,0.00327980356550732,0,0,0,0,0,0,0,0,0.313900757175247,0,0.153164167066251,0,0.212255233174283,0.123246589593818,0,0.197560927533808,0,0,0.0823899825837724,0,0,-0.0460874970266034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00488669918938588,0,0,0,0,0,-0.0946027830176913
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.017460350958478,0,0,0,0.502059372134667,0,0.195905690214823,0,0,0,0.101074178539195,0,0.276829239901882,0,0,0,0,0,0,0,0,0.0718645377702278,0,-0.0691808070600035,0,-0.0733046452342697,0,0,0,0,0,0,0,0,0,0,0,-0.183051929697714,-0.0891188366446756,0,0,0.159947605244236,0,0
X601997.CH.EQUITY,0,0,0,0.10205270457141,0,0,0,0,0,0,0.065784281480936,0,0,0,0,0.352266268031278,0,0,0,0,0,0,0,0,0,0.105519450918197,0.0490446728747465,0,0.0844360449332538,-0.0347636844985348,0,0,0.181726730742517,0,0,0,0,0,0,0,0,0.218766305796668,0,0,0,0,0,0,0,0.0711665116550682,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.26744174809923,0,0,0,0,0,0,0,-0.0335136051871487,0.0738228881980918,0,0,0.085518457633027,0,0,0,0,0,0.350285987872498,0,0.105232406316614,0,-0.0369531050542955,0,0,0,-0.124474608252255,0,-0.0273886333666436,0,0,0,0,0.0313151292117459,0,0,0,0,0,0.157446529648579,0,0,0,0,0,0,0.0801501739605213
X601658.CH.Equity,0,0,0,0,0,0,0.169439369122578,0,0,0,0.0657262059525733,0,0.0507650708637085,0.0732006081521865,0,0,0,0.138259979725889,0.1360604400854,0,0,0,0,0.0668862445493774,0,0,0,0,0,0,0,0,0.0947686136543762,0,0.0392185518899748,0,0,0,0,0,0.0157131285580644,0,0.0308681103905375,0.0743949200834915,0.0649610630933297,0,0,0,0,0,0,0
X601916.CH.Equity,0,0.0952450697935955,0,0,0,0,0,0.156968742860721,0,0,0,0,0,0,0,0,0,0,0,-0.056231190604962,0,0.410074470626726,0,0,0,0,0.101246009378361,-0.0668067571385292,-0.0487044701408196,-0.0541949247589892,0,0,0,0,0,0,0,0,0.382069082597708,0,0,0,0,0,0,0,0,-0.0323465117614244,0,-0.0227218713528755,0,0
X601077.CH.Equity,0,0,0,0,0,0,0,0,0.210554144231815,0,0.392350965681682,0.182824428852601,0,0,0,0,0,0,0,0,0,0,-0.0475220075514465,0,0,0,0,0.0166985805865347,0,0,0,0,0,0,0,0.00388433133601237,0,0,0,-0.0411362873555635,0,0.117491666044576,0,0,0,0,0,0,0,0,0,0.0631755599765609
