,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY
X2007.HK.EQUITY,0,0.281140562614506,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.770764973797038,0,0,0,0,-0.143376505543688,0,0,0.146044990784822,0,0,0,0,0,0.315272380686412,0,0.379024044253652,0,0,0,0,0,0.399378383008205,0,0,0,0.0190908311538471,0,0,0,0,-0.101208773247342,0,0,0
X688.HK.EQUITY,0,-0.09405844955388,0,0,0,0,0,0.0115843052523838,0,0.139811542275196,0,-0.199094252930654,0,0,0,0,0,0,0,-0.00892113545401385,0.311128891853979,0,0,0,0,0.0418923413126694,0,0.0141885948134506,0,0,0.307705069302364,0,0,0,0,0,0,0.291824260959987,0,0,0.0386355336307231,0,0,0,0,-1.73472347597681e-18,0,0,1.73472347597681e-18,0
X600999.CH.EQUITY,0,0.25258047463573,0,0.0315849429812503,0,0,0,0,0,0,0.0614009725397325,0,0,0,0,0,0.0565955819114646,0,0,0.0452272432520497,0,0,0,0,0,0,-0.0789751860874733,0,0,0,0.0857901378940925,0,0,0,0,0,0,0,0,0,0,0,0.0599156318239573,0,0,0.243580996747877,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0.079236553076545,0,0,0,0,0,0.0535495552992914,0,0,0.119026699552002,0,0.00423557376513667,0,0,0,0,0,0.274453359714539,0,0,0,0,0,0,0,0,0,0,0,0.0252647138311613,0,0,0,0.244712730326233,0.0893551408917074,0,0,0.0511636478788167,0,0.22213250949443,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.471289355211072,0,0,0,0,0,0,0,0,0,0,0.225473388746112,0,0,0.0379930431808539,0,0.158136150698813,0,0,0,0,0,-0.238218919386747,0,0,0,0,0,0,0.0100534216031887,0,0,0,0,0.116256013051737,0.0129935550291823,0.082125357751361,0,0,0,0.074242028576074,-0.0578694800332229,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.207647437055703,0,0,0,0,0,0,0.114961838306137,0,0,0,0.17826280512163,0,-0.0702050550391901,0,0,0,0,0,0,0.0547716263649263,0.178481510593343,0.041135937132703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043811497108954,0
X601211.CH.EQUITY,0,0,0,0.069186780351236,0,0,0,0,0,0.0829668942139732,0,0,0,0,0,0,0,0,0,0.288456987600262,-0.0900238178497339,0,0,0.104909496504414,0,0,0,-0.108418398849819,0.111145087610867,0,0,0,0.14200195574295,0,0,0,0,0,0,0.161706171808842,0,0,0,0,0,0,-0.0464790460069482,0,0,0
X267.HK.EQUITY,0.190486836500375,0,0,0,0,0.176452730708783,0,0,0,0,0.161070564485832,0,0,0,0,0.0247791452065559,0,0,0,0,0.00334727938395586,0,0,0,0,-0.0609952400963934,0,0,0,0,0.172591246637002,0.115479975000963,0,0,0.024226060077936,0,0,0,0,0,0.219264475411594,0,0,0,0,0,0.0777878340300326,0,-0.209836034601919,0.0937115367556925
X002736.CH.EQUITY,0.0920700323013548,0,0,0.137780981857822,0,0,0,0,0,0.0448280782324806,0,0,8.67361737988404e-19,0,0,-0.0254041336141832,0.0914397344198053,0,0,0,-0.0336568701333819,0,0,0,0.0647342795295219,0,0,-0.0491517652233633,0,0,0,0,0.252828390269701,0,0,0,0,0,0,0.197713081737059,0,0,0,0,0,0,0,0,0.0843658275945742,0.0346180453053254
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.18469356299219,0.100841377951793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160781583096106,0,0,0,0,0,-0.107673012108513,-0.104276403400132,0,0.191147412972444,0.125703292306096,0,0.0350996240383196,0.176214853965032,0,0.15858158164962,0,0,0,0,0,0,0,0,0.0745708146079894,0.257162197355144,0
