,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X2882.TT.EQUITY,0,0,0,0,0.0825863179216671,0,0,0,0,0,0.13006374829923,0,0,0,0,0,0,0,0,-0.00540034369351498,0,0,-0.030860701440582,0,0,-0.0689404543216181,0,0,0,0.492289362448452,0.0505963231041622,-0.0362810631766289,0,0,0,0,0,0.0902203498655549,0,0.131731038124243,0,0,0,0,0,0.105425977390648,0,0,0.0134564812272422,0
X002142.CH.EQUITY,0,0,-0.0929865045127399,0,0,0,0,0,0.685625495548335,0.0669155264661255,0.0776684335390972,0,0,0,0,0,0.0226415623709406,0,-0.122713509075539,0,-0.164687430230035,0,0,0,0,0,0,0,0,0,0,0.204347328299866,0,-0.146666046292292,0.0361952829477861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.101482910352551,0,0.0960038975322643,0.0651436392615712,0,0.0635223587549403,0.036153036861153,-0.446180061133712,0.0154701311405425,0.0192378764174866,0,0,0,0.512896443231116,0,0,0,0.175479233415599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061219892744055,0,0,0,-0.0388798115260185,0,0,0,0,0,0,0,0,0,0,0.234937623702521
X601009.CH.EQUITY,0,0,0,0.0805951973142015,-0.128066141993776,0.0521495294820336,0,0,0,0,0,0,0.285972853967945,0.0346106536159117,0,0,0,0,0,0,0.141631140354518,0.404803848171215,0,0,0,0.225042385365378,0,0,0,0,0,0,-0.0494033783716709,0,0,0,0,0,0,0,0,0,0.0602974282783424,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0.0613096162663007,0,0.646852618127777,0,0,0,0,0,0,0,0.120681914875415,0,0,-0.181560387183007,0,0,0.0231139419350475,0,0.13918856686752,0,0,0,0.0223832965837546,0,0,0,0,0,0,-0.0659862878306512,0,0,0,0,0,0.159942347413452,0,0,0,0,0.0530582851611186,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,-0.0141268731617738,0,0,0,0.0329740883552215,-0.018041313200848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332736861232346,0,0,0,0,0,0,0,0,0,0,0,0.186725693548453,0.0808027992684106,2.16840434497101e-19,0,0.222679162885019,0,0,0,-0.0138843679568355,0,0,0,0,0
X2891.TT.EQUITY,0,0.00169054425871507,0,0,0,0.128851684034117,0,0,0,0,0,0,-0.0398603588961762,-0.0770988536019755,0,0,0,0,0,0,0,0,0,0,0.234198527239919,0,0,0,0,0,0,0.0181861283067646,0,0,0,0,0.288472330670792,0,0,0.310350551192393,0,0,0,0,0,0.199745237270149,0,-0.0877058333359325,0,0
X600926.CH.EQUITY,0,0,0,-0.0809014663210721,0,0,0,0,0,0,0,0,0,0,0,0,0.0301200863959372,0,0,0,0.265466300846256,0,0,0,0,0.087279453170891,0,-0.1302059313652,0,0,0,0,0,0.031726074491057,0,0,0,0,0,0,-0.133052496396413,0,0,0.65975142492788,-0.0482141288901325,-0.221886640824479,-0.0377493585612218,-0.132904808029853,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.0919068585023987,0,0,0,0,0,0.0971594295500874,0,0.0581999242354783,-0.108018078412651,0,0,0.0485330277214683,0.0510159941650781,0,0,0,0,-0.0456939524403233,0,0,0,0,-0.0721654295569149,0.11892231056872,0,0,0.0250887423804952,0.220826729953711,0,0,0,0,0,0,0,0.108236758842718,0.205165392040294,0,0.0897644584850435,0,0,0.178615717618288
X601077.CH.Equity,0,0,0,0,0,0,0,0,0,0.0419142412584254,0,0,0,0,0,0,0,0.172883681199446,0,0,0,0,0.0456597703739674,0,0,0,0,0,0,0,-0.124146015824383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189702001849868,0,0,0
X600030.CH.EQUITY,-0.059518933390513,0,-0.0937856379256635,0,0,0,-0.0055350594337556,0.235369764120222,0,0,0,0,-0.0962036202132281,0,0,0,0,0,0,0,0,0,0,0,0,0.15275097792636,0,0,0,0,0,0,0,0,0,0,-0.0318616552172756,0,0,0,0,0,0,0,0,0,0.182128769527182,0.386327956365911,0,0.190701162312182
X601336.CH.EQUITY,0,0,0,0,0.0702710756356058,0,0,0.0817997015019567,0.0156482433921204,0,0.129681199140933,0,0,0.0239068907303834,0,0.0781965807845854,0.0844641277412707,0,0,-0.0377930156153888,0,0,0,0,0,0,0,0,0,0,0,0,0.185947797617229,0,0,0,0,0,0,0,-0.103796691173103,0,0,0,0,0,0.208048942934193,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0204159585070931,0,0,0,-0.0827085592220207,0,0.030257027010822,0,0,0,0.160760807728002,0,0,0,0,0,0,0,0,0,0,0.0787222015352968,-0.0568902925882194,0,0,0,0,0,0.179276748652587,0.0563622397290133,0,0,0.393116037487653,0,0,0,0.220718763988474,0,0,0,0
