,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY
X002142.CH.EQUITY,0,0,0,0,0,0,0.644949556183434,0,0,0.0256641704594876,0,0,0,0,0,0,0.157216736962442,0,0,0,0,0,0.236405455572095,0,0,0.103409692064723,0,0,-0.0749035192776153,0,0,0,0,0,0,0,0.104633235782877,0,0.0324954320263402,0,-0.0289384357370579,-0.039685048309403,0,0,-0.155277901655482,0,-0.0684358866795484,0,0,0
X601818.CH.EQUITY,0,0.0704359928628324,0.220188562193293,0.0441731543707173,0.0292695913130518,0,0,0,0,0,0,0,0,0.00886459876011909,0,0.0717857627891938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186575830076178,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.0364495375638828,0,0,0,0.0184802278275037,0,0,0,0,0.0461925071688147,0,0.0525496613720955,0,0,0,0,0.0137823420421907,0,0,0,0,0,0,0,0,0,0,0,0,0.130358110097293,0,0,0.562078948844676,-0.0705352700795513,0,0,0,0,0,0.0648571113752697,0,0,0.215654728231426,-0.0427244235017486,0
X601211.CH.EQUITY,0,0,0,0,0,0.0204674286930023,0,0,0,0,0,0,0,0,0,0.0264665759656379,0,0,0,0,0.0665045349542716,0.0831008808459234,0,0.114392177076638,0,0,0,0,0,0,0,0,0,0.445124783914995,0,0,0,0,0,0,0.10522944833735,0,0,0.0303044514924371,0,0.0395473617884743,0,0,0.0324693413144641,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0175634878299986,0,0,0,0,0,0,0,0,0,0,0.406201503210543,0,0,0,0,0.083669287043431,0,0,0.340071787239032,0,0,-0.0132993187642281,-0.138052195768204,0,0,0,0,0,0,0,0,0,0,0.0692269910730277,0,0,0.166559966370246,0,0.104584863049796,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0601891488988858,0,0,0,0,0.145621663699625,0.0994596532580574,0,0.297655142454261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837730964008582,0,0,0.0804803223035822,0,0.158262891476499,0
X600837.CH.EQUITY,0,0,0,0,0,0.00981108667208847,0,0,0,-0.00264534825323907,0,0.168818554930646,0,0,0.0652536816458069,0,0,0,0,0,0,0,0,0,0,0.126713612466386,0,0,0,0,0,0,0,0.498417067263614,0,0.0508199174071948,0.076808838399002,0,0.0368498980180889,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,-0.259309065673712,0,0,0,-0.0793343328239998,0,0,0,0,0.0501530302140948,0.209929516212797,0,0,0,-0.0947850064266782,0,0,0,0,0,0,0,0,0,0.165622746139775,0.157056820598796,0,0,0,0,0,0,0.0904659939201689,0,-0.23285102690225,0,0,0,0,0,0.0200860793721409,0,0.120841626152825,0.101413555984375,-0.0184758709346004
X001979.CH.EQUITY,0,0,0,0,0.0479501012218608,0,0,0,0,0,0,0,0,0.0398048776715302,0,0.61598141067837,0.0738574813161242,0,0.0447375598246255,0,-0.122756342714172,0,0,0,0,0,0,0.142487732198847,0,-0.104418214505208,0.31027325726097,-0.266227159244254,0,0,0,-0.0148825920381394,0,0,0,0,0,0,1.35525271560688e-20,0,0,0.00498460567456499,0,0,0,0
X000166.CH.EQUITY,0,0,0.0072850966918881,0,0.0328904284974465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097190303379107,0,0,0,0,0,0,0,0,0.219829752431287,0,0,0.143416400527644,0.466330426600925,0,0,0,0,0,0.0449065851818104,0,0,0,0,0,0
X12.HK.EQUITY,-0.173009552841135,0,-0.0696807582814696,0,0,0,0,0.34138550940749,0,0,0.508118159876265,0,0,0,0,0,0,0,0,0,0.615269206329166,0.0209571543011077,0.0147235306591979,0,0,0.0367560861999379,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252116088477155,0,-0.122289293601191,0,0,0,-0.094064506506373,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.365940482588061,0.0642711612201843,0,0.532714190385453,0,0,0,0,0.0228175664742441,-0.522658444848074,0,0,0.174792843306628,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.400961983460027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672780159514202,0,0,0.457739363479694
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066327209784915,0,0,0.0558854689945489,0,0,0,0,-0.213075181263639,0.045500940442769,0.145435720088072,0,0,0.248608102093392,0.124617803807059,0,0,0,0,0,0,0,0,0,0.104493277216565,0.0394649667554776,0
X601229.CH.EQUITY,0.81108557232412,-0.225864337861957,0,0,0,0,0,0,0.316486876818397,0,0,0,0,0,0,0,0,-0.0359154507950666,0,0,0,0,0,0,0,-0.0107445118104569,-0.272289126829949,0,0.222552992732512,-0.261274996137832,0,0,0,0.300803438685187,0,0,0,0,-0.0143653140863189,0,0,0,0,0,0,0,0,0,-0.0932958071146024,0
X002736.CH.EQUITY,0,0,-0.0494032328099369,0,0.200533687133652,0,0,0,0,0.0106632111193413,-0.000743299729062274,0,0,0.18750054685212,0.19060190143786,0,0,0,-0.0706309471595298,0,0.0843498720804146,0,0,0,0,0,0.0664201076786549,0,0,0,0,0,0,0.387671524985075,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0323169439568306,-0.0128126091894309,0,0,0,0,0.0284095616476002,-0.0796216475347288
X823.HK.EQUITY,-0.0237885780929701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787726881166965,0,0,0,0,0,0,0.413353367981956,0,0,0,-0.0156409065607492,0,0,0,0.221993992267807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374355553633694
X000776.CH.EQUITY,0,0,0,0,0,0,-0.0535291879890281,0,0,0,0,0,0,0,0,0,0,0.43009579732642,0,0,0,0.0504685735283801,0.240307832611362,0,0.0338530189066555,0,0,0,0.0247192288234953,0,0,-0.10539462402295,0,0.258335138855186,0.0693131956280493,0,0,0,0.0385072112642355,0,0.023669469313676,0.0208759251485352,0,0,0.0931559806386964,0,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006139010307393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310600748347224,0,0,0,0,0,0,0,0,0.232263934151349,0,0,0.0767859776946275,0,0,0,0.569804957406721,0,0
X2886.TT.EQUITY,0,0,0.0332019470119495,0,0,0.0857460828320192,0,0.0302461787201415,0.134683023050592,0,0,0,0,0,-0.321706381750629,0,0,0,-0.188533731330033,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.284309693203626,0.130237700616074,0,0,0,0,0,-0.199459665649007,0.0791681178024933,0,0,0,0,0,0.417713420654881,0.0713937917347129,0,0,0.125407685552218,0,0,0
