,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601997.CH.EQUITY,0,0,0,0,0.119933137258689,0,0,0.106017056872447,0,0,0.436811119662457,0.188098096917626,0,0,0,0.0601141412787616,0,0,0,0,0,0,0.194621722280263,0,0,0,0,0,0,0,0,0,-0.077817751555223,0,0,0.00801061305987828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.139851503179743,0,0,0,0,-0.0728059097761917,0,0,0,0,0.168241500553711,0,0,0,0,0.277412986914484,0,0,0,0,0,0,0,-0.325087129247841,0,0,0.0786557524845875,0,0.240086818973557,0,0,0,0,0,0,-0.105743041762739,0,-0.132374145483037,0.0546754253959673,0,0,0.109282978313363,0,-0.0585870980910566,0,0,0.126044009058071,0,-0.300120619006421
X601658.CH.Equity,0,0.174764851302291,0,0,0,0.336905180631464,0,0,0.0728746776900968,0,0,0,0.0407877726784853,0,0,0,0,0.103274050526032,0,0.135786772237304,0,0,0,0,0,0,0.157920726479916,0,0,0,0.0233417625618619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17216358344903,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0.365932807760435,0,0,0.108125869022683,0,0,0,0,0,-0.0720297960072168,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501331306012743,0,0,0,0,0,0,0,0,0.175146935278145,0,0,0,0.539587710646302,0,0,0,0,0,0,0,0,0,0,0.116248393947276
X601077.CH.Equity,0,0,0.120837862485564,0,0,0,0,0,0,0,0.271033327634421,0.159827829722216,0,0,0,0.184867612433934,0,0,0,0,0,0,0,0.0782869549362488,0,0,0,0,0,0,0,0,0,0,0,0.108426138914558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786692357044118
X11.HK.EQUITY,0,-0.742607919896136,0,0,0,0,0,0.38559110220496,0.0228974117162257,-0.190560014365402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157862307506105,0.480004221895089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213226742768938,0,0,0.381302390825247,0.123373791531922,0.0550792013460794,0,0.257165285898811,-8.67361737988404e-19,0,0
X2388.HK.EQUITY,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.364523529712133,0,0,0,0,0,0,0,0,0.188298404568782,0,0,0,0.119530814312264,0,0,0.132286331878932,0,0.237586584797037,0,0,0,0,-0.0911647520287183,-0.0290619374647869,0,-0.314693189932067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110128698762666,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560920204828917,0,0,0,0,0,-0.12259106582133,0,-0.163454799534626,0.283713458081157,0,0,0,0,0,0,0,0,0,0,0,0,0.246727034718481,0.151843964363359,0.204585506429241,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289785088006995,0.130522647299069,0,0,0,0,0,0,0.0148202699970076,0,0,0,0,0,0,0.016141110635739,0.162916911256717,0,0.428832335142881,0,0,0,0,0,0,0,0,0,0,0,0,0.178180959331103,0,0.0958781253158372,0,0,0,0
X2884.TT.EQUITY,0,0.114374713449834,0,0,0,0,0,0,0,0.00635532442457315,0,0,0,0,0,0,0,0,0,0,0,0,0.049340005017967,-0.125583370287592,0,0,0,0,0,0,0.647183449556541,0,0.128567455328843,0,0,-0.0734066089354574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215888602840788,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931713077863854,0,0,0,0,-0.0551480480082305,0,0,0,0,0,0,0.374679936304583,0,0.226889220663672,0.0656976590164385,0.259517881042549,0,0,0,0,0,0,0,0.0020953206397864,0,0,0,0,0,0,0,0,-0.127980599655456,0.134307960100617
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,-0.17443630611925,0,0,0,0,0,0.0545389685655818,0,0,0,8.67361737988404e-19,0.279737715697342,0,0.0846905105096236,0,0,0,0,0,0,0,0.00398214962567325,0,0,0.440453405637089,0,0,0,0,0,0,0,-0.14972737998479,0,0,0,0.1222106331878,0,0,0,0.244524434608829,-0.00541461720594868,0,0.0186653814429109
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11380247709028,0.176786006766074,0,0.0627530830174979,0,0.565588819263969,0,0,0,0,0.0567452067557855,0,0.0639792622197111,0,0,0.0184973170890517,0,0,0,0,-0.0301823807696994,0,0,0.0320453530318012
X5880.TT.EQUITY,0,0,0,0,0,0,0,0.00878734132202995,0,0,0,0,0,0,0,0,0,0,0.0467035398118109,0,0,0,0,0,0,0,0,0,0.102877128913994,0,0.0344497806172898,0,0.38193554209467,0,0,0,0,0,0,0,-0.00985920930548536,0,0,0,0,0.0445432045929801,0,0.333099822454302,0,0.040328693227928,-0.0889843300975737,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158225617750046,0,0,0,0,0,0,0,0,0,0.102828448150707,0,0,0,0,0,0,0,0.176650060390109,0,0.128968419749562,0,0,0,0.140046311066164,0.166590841405895,0,0,0,0,0.0971576683968736,0.0229756272024205,0,-0.0657312703274248,0
X600837.CH.EQUITY,0,0,0,0,0.0305085814399122,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437022654873698,0,0,0,0,0,0.0166320504649835,0,0,0,0,0,0,0,-0.028725083826251,0,0,0.173473674909654,0,0.312543228218205,0.0182741966188081,0,0,0.319568980217049,0.205430328921711,0,0,0,0,0,0,0,0,0,-0.0832054070957039
X601211.CH.EQUITY,0,0,0,0.11079346402543,0,0,0,0,0.00607710254373802,0,0,0,0,0,0.00342266263362266,0,0,0,0,0,0,0,0,0.000232401915565255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570471318952919,0,-8.67361737988404e-19,0,0,0,0,0.128664757574561,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106842095116986,0.0973501846602839,0,-0.119863958783378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658046138198149,0,0.728769454848997,0,0,0,0.139340539008335,0.0662757436553094,0,0,-0.0403065200199093,0,0.183926107810946,0,0,0,0,0.0302128932820629
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649167792066145,0,0,0,0,0,0,0.00702305996187126,0,0,0,0,0,0,0,0,0.229091262466967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413694349023748,0,0,0.0982566267479211,0
