,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2881.TT.EQUITY,0,0,0,0,1.73472347597681e-18,-0.0488231518649073,0,0,0,0,0,0,0,0,0.12728598193272,0,0,0,0,0,0,0,0,0,0,0,0.0676036623265504,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.52422011428053,0,-0.0858991198024234,0,0,-0.0134070516619329,0,-0.0549186414112219,0,0.239244522221377,0,-0.00118348139005034,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.00568678168506435,0,0,0,0.102231774746606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117872787030529,0,0,0,0.0781756578606501,0.0749941902057985,0,0,0,0,0.152418137282747,0.623591682787479,0,0,0,6.93889390390723e-18,0,0,-0.0726010983000435,0,0,0.179831500184294,0,0.148819940051197,0,-0.0216621915617996,0
X000002.CH.EQUITY,0,0,0,0,0.112439745982445,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.207287401668983,0,0,0,0,0,0,0,-0.0198473855013401,0,0,0,0,0,0,0,0,-0.109442547851978,0.0218325935190049,0,0,0,0,0,0.0349932800503809,0,0,0.586955116398619,0,0,0,0,0,0,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211435681601941,0,0,0,0.0354251149397967,0,0.0359565918066801,0,0,0,0.220905767175027,0,0,0.0415096879580405,0,0,0,0,0,0.011430072000456,0,0,0.0912923460252635,0,-0.1560744178335,0,0,0,0.13469949470567,0.0553223436761294,0,0.315603372633003,0,0,0,0,0,0,0,0.027482230838358
X600048.CH.EQUITY,0,0.070552898276795,0.051915026797638,0,0.136038661970191,0,0,0,0,0,0.0489143436255266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.264421335888237,0,-0.0306255579645044,0.101707777591315,0.050520443171864,0,0,0,0,0,0,0,0,0.415915226500212,0.193611058275097,0,0,0,0,-0.126931108931855,0.113746577973646,0.243244373191273,0,0.0987606779303754,0,-0.0420533243864588,0
X1109.HK.EQUITY,0,0,0,0,0,0.0154648096152859,0,0,0,0,0,0,0,0.228910450761991,0,0,0,0.0797339856324729,0,0,0,0,0.0404042195279668,0,0,0,0.0568042920021103,0.020207725348305,0,0,0,-0.102750886711271,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.194189211938967,0,0.059053492792692,0,0,0.255212696061744,0,0,0.0823047310578847,0.0517027309502487
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951304310035552,0.107679178418604,0,0,0,0,-0.157373629496301,0,-0.0391788742852861,0,0,0,0,0,0,0,0,-0.0419077767139362,0,0.213340635545021,0.150192154632971,0.090148668111048,0,0,0,0,0,0,0,0,0,0,0.153074057635241,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144130698361644,0.140701051214369,0,0,0,0,0,0,0,-0.202196274646664,0,0,0,0,0,0,0,0,0.0881164959878058,0,0.0505401571323566,0,0,-0.136057098643568,0,0,-0.186798232066999,0.213296438016341,0,0,0,0.0230816180747303,0,0,0,-0.0287445133031494,0.101722913798511
X16.HK.EQUITY,0,0,0,0.0202641531384511,0,-0.0467898467259354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.531019920033679,0,0,0,0,0,0,0,0,-0.0881239690252504,0,0,0,0,0,0.123857978139344,0,0,0,0,0.0939656867764829,0,0.245096433226489,0.139194240185136,0.148637648815433,0,0,0,0.0928859440712542,0.0619103584949721,0.0630328604896369,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610713446178476,0,0,0,0,-0.0695757640847253,0,0,0,0,0.327412139083748,0.196020812296316,0.00123131417963048,0,0.0761121624980588,0,0,0,0,0.317327929585845,0,0,-0.193506348307606,0.0176288906142796
X267.HK.EQUITY,0,0.00676774895757764,0,0,0,0,0,0,0,0,0.0541093083094371,0,0,0,0,0,0.222637386312409,0,0,0,0,0,0,0,0,-0.0820936504111308,0,0,0,0,0,0,0,0,0,0,0.10160968363781,0.154718051795246,0,0,0,0.177832902835547,0.0468629662479852,0.0488272687931147,0.187614771876711,0,0,0,0.0261743731688288,0.0853167747004041,0,-0.142605041484749,0
X688.HK.EQUITY,0,0.13513032124195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207455287790514,0,0,-0.112917041440075,0,0,0,0,0,0,0,0,0,0,0,-0.0614474175698933,0,0,0,0,1.73472347597681e-18,0,-0.169781016459461,0,0,-0.111885010600683,0.291802333310304,0,0,0.0433235836805041,0.468764651283673,0,0,0,0,0.0740870134333389,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306179855967446,0,0,0.1806063918013,0,0,0,0.0615431915647474,0,0,0,-0.433593977624462,0,0,0,0,0.0658725315829144,0,0,0,0.164040123623561,0.092777983128382,0,0.212491405726654,0,0,0,0.236313303561109,0.522601542534001,0,0.0575346419683878,0,0,0.0143663510027478,0,-0.0164158525274808
MKRturn,0.359268532487067,0,0,-0.0947394162236969,0,0,0,0,0,0,0,0,0,0,0,0,0.274234768558368,0,0,0,0,0,0.201881707197407,0,0,-0.278670021470246,0,-0.0820572062564622,0,0,0,0,0.00458710038129824,0,0,0,0,-0.0584286686221177,0,0,0.189042964776011,0,0,0,0.20995074836577,0,0,0,-0.226751191012992,0,0,-0.22408432639745,0.110416399408559
TED,0,0,-0.287322501471361,0,0,-0.128349879399577,0,0,0,0,0,0,0,0,0,-0.0213125497445479,0,0,-0.279297799564705,0,0,0,-0.170161675021774,0,0,0.131440183749411,0,0,0,0,-0.158939275682152,0,0,0,0,0,0,0,-0.0428585554790568,0.373821405829534,0,0,0.258319992103629,0,0,0,0,0,0,0,0,0,0.163582862024487
RealEstateDiff,0,0,0,0,-0.166290569755014,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.351961922433201,0,0,-0.272902000169396,0.197701684534116,0,-0.234256823311749,0,0,0,0,0,0.0143371780571744,0,0,0,0.183159017659756,0,0.156886721907601,-0.00750272861957077,0,0,0,0,0,0,0.0980473570043522,0,-0.00404283094030312,0,0,0,0.203047864078964,0,0
