,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601169.CH.EQUITY,0,0,0,0,0.707714005718464,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.00595926176203413,0.0599660010199246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175076241052975,0,0,0,0,-0.0266113497928409,0,0,0.0801935416658891,0,-0.228338794334662,0,0
X601229.CH.EQUITY,0.00676359858183759,0,0,0.326213620697724,0,0.139517349543251,0,0.0169271046108562,0.207813216828654,0,0,0,0,0,0,0.0872428304825129,0.00383358459818341,0,0,0,0.0425335518838885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668811317312469,0,0,0,0,0,0,0,0,0.0809458155680279,0,0,0,0,-0.0113225317466098
X601288.CH.EQUITY,0,0.0261924037786546,0.0456122517944763,0,0,0,0,0,0,0,0,0,0,0,0.250922109563464,0,0,0,0.187869063042456,0.446618226032318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121070880173203,0,0,0,0,-0.00870011730247055,0,0,0,0,0,0,0,-0.06784975610877,-0.0831469472491333
X601328.CH.EQUITY,0,0,0,0.125832656262168,0.190911516441823,0,0,0,0,0,0,0,0,0,0.0658308987900929,0,0,0,0.123894208632841,0.254567582309547,0,0,0,0,0.18815451339271,0,0,0,0,0.0966058997938984,0,0,0,0,0,0.0237545259666912,0.0420888726865268,0,0,0,0,0,0.0232983827125818,0,0,0,0,0,0,0.00613675481876138,0,0
X601398.CH.EQUITY,0,0,0,0,0.0255011158213627,0.0112790046538397,0.0731658192373379,0,0,0,0,0,0,0,0,0,0,0,0.162946054385235,0.38523822027454,0,0.132249873851057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522247243484389,0,0
X601577.CH.EQUITY,0.0634522244888946,0.415555100556672,0.0199486679313288,0,0,0,0,0.025387480526735,0,0,0,0.171094092871196,0,0,0,0,0,0,0,0,0.26426323060504,0,0,0.0351953757178781,0,0,0,0,0,0,0,0,0.0468947092251524,0,0.0246486946450211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786784609374803,-0.120414580984352,0,0
X601818.CH.EQUITY,0.0781101636896378,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0208616640219065,0,0,0,0,0,0,0.00164052640954311,0,0,0.128199800648166,0.321300306881543,0.174821945647052,0.10172208723657,0.0366316952279416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904431189903773,0,0,0,0,0,0,0.0927249077644558,0,0
X601838.CH.EQUITY,0,0,0,0.0508099244742253,0,0.117004317671676,0,0.352266809851647,-0.314961614347411,0.176738518848088,0,0,0,0,0,0.254345946146091,0,0,0,0,0.12719653537216,0,0,-0.0901212304019481,0.0890191660039177,0.0135372287404024,0,0.0458184595783784,0,0,0,0,0,0,0,0,-0.102418378764435,0,0,0.135150882269789,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0784725966243879,0,0,0,0,0,0,0,0,0.0863914661761109,0,0.097610672697279,0,0.464846399468118,0,0,0,0,0,0,0,0,0,0,0,0,0.0753516860221855,0,0,-0.164066533989377,0,0,0,0,0.0280625660054553,0,0,0,0,0,0,0,0.21839890364724,0,0,0,0.139054883903324,0,0.0223216206753853,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,-0.06788160374388,-0.214129229076059,0,-0.0909385805389434,0.182122957061106,0.435253513561764,0.259821963271043,0,0,0,0,0,0,0,0.183991376023855,0.0390713872944651,0,0,-0.0253922169764143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136684398970119,-0.117661440231965,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0,0,0,0.164853142447768,0,0,0,0,0,0.174783628931578,0,0.165473801685563,0.114973831203477,0,0,0.263461813258334,0,0,0,0,0,0.127822250496401,0.0178660929501429,0,0.175289304750603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453850934888952,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.170656100971014,0,0,0.0970870048384105,0,0,0,0.187330562439229,0,0,0.158383164967462,0.141548558149527,0,0.0947233531670919,0,0,0.147219715394784,0,0,0,0,0.128917473448015,0,0,0,0,0,0,0,0,0.0231356718027402,0,0,0,0,0,0,0,0,0.0233807029310171,0,0,0,0,0,-0.0481339222182374,0,0,-0.0410347558672162
X601658.CH.Equity,0,0,0,0,0,0.083743269821871,0,0,0,0,0,0,0.0110876615617127,0,0,0,0,0,0,0.0859578151549799,0.45066452472318,0,0,0.185623770328835,0,0,0,0.0434618169573839,0,0,0,-0.0787596408722372,0,0,0,0,0,-0.0271051277237833,0,0,0,0,0,0.0310990443507725,0,0.232608650925373,0,0,-0.113778069653297,0,0.160383911282506,0
