,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.14727787955225,0,0,0.149630072220197,0.0527301885107896,0,0,0,1.38777878078145e-17,0,0,0,0,0.0800076124670155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891255270666231,0,0,-0.100501459454282,0,0,0,0,0,8.67361737988404e-19,0,-0.063139571759513,0,-0.109267583680868,-0.122741897760734,0.0424096302189887,-0.178279253458104
X000002.CH.EQUITY,0,0,0,0.0132143812965193,0,0,0,0,-0.0603936085466571,0,0,0,0,0,0,0,0,0,0,0,0,0.186427558791386,0,0,0,0.00323652035601636,0,0,0,0,0,0,0,0,0,0.0483284269444583,0,0,0.593251651084566,0,0.057012876640889,0,0,0,0.0667922506708101,0,0,0,0.00771900340597737,0.0837129871455025,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.123199100949244,0,0.0422870285375002,0,0,0,0,0,0,0.21100481388138,0,0.0352572558758799,0.248736588918277,0,0,0,0,0,0,0,0,0,0,-0.0594006800081419,0,0.277662212488454,0,0.0161726638024209,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0122879737814944,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.130284161544568,0,0.245705155751446,0,0,0,0,0,3.46944695195361e-18,0.301202116542871,0,0.000562296062557988,0,0,0,0,0,0,0,0,0,0,0,0.0604391843956668,0,0,0,0,0,0.0814620247257577,0,0,0,0,0.00322247851722357,0,0.141770997413561,0
X1109.HK.EQUITY,0,0,-0.0972113992324381,0,0,0.108879564623307,0,0,0,0,0,0,0,0,0,0,0,0.146790677041998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115223476132535,0,0.572830801128185,0,0,0,0,0,0,0.0279307464658953,0,0,0.252998904662052,0,0,-0.0873723387997768
X1113.HK.EQUITY,0,0,0,0,0,-0.0823654687729276,0,0,0,0,0,-0.272576231964312,0,0,0,-0.0216284138734658,0,0,0,0,0,0,0,0,0,0,0,0,0.109787209047211,0,0,0,-0.0425395656982182,0.164709817004482,0,-0.0278920761696704,0,0.100400062965334,0,0,0,0,0,0.241324558595643,0.0692985593327161,0.118000520254767,0.0399609261221005,0.0649487361190274,0,0,0
X12.HK.EQUITY,0,0.083243296206225,0,0,0,0,0,0,0,0,0,0,0,0,-0.285239551566137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257930295060859,0.188463691140234,0,0.451915152426452,-0.0848882166276258,0,0,0.544559801161248,0,0,0,0,0,0.082580079467603,0,0,-0.190802286723108,0,0.314025100429198,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0733483212507087,0,0,0,0,0,0.0555174253040814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.268076874359357,0,0,-0.120174553393933,0,0,-0.16674919646285,0.103329829097426,0,0,0.133614826448013,0,0.290945818381266,0.52078601877386,0,0,0,0.0869778400462452,0,-0.0470333341023343
X17.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213418128911969,0,0.188046959387242,0,0,0,0,0,0.0432596966874585,0,0,0.106055944699888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135002060777577,0,0.383180057649991,0,0.0972973471964565,0.0237513473927389,0.112671387325642,0,0
X1997.HK.EQUITY,0,0,-0.134773082204789,0.0471421759014234,0,-0.191654996746278,0,0,0,0,0,0,0,0,0.169931761131115,0,0.122054675927682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079408633129713,-0.0782442608599767,0,0,0,-0.0729406780595198,0,0,0.104256842292995,0.468337726442854,0,0,0.143193849510779,0,0.0294799198761107,0.187225462630074,0,-0.202244570665451
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0.0306185366999253,-0.137063954082398,0,0,0,0,0,0,0.0501874400690939,0,0.0989685816957158,0,0,0,0,0,0,0,0,0,0.374138194997628,0,0,0,0,0,0,-0.120736609585,0.197902047182745,0.0402455794766322,0,0.0744686072756735,0.298933170540013,0,0,0,-0.116860700680098,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.280493078584276,0.321936775521931,0,0,0,0,0,-0.224523064200569,0,-0.163601476639069,0,0,0,-0.0278761357770218,0,0,0,0.0722107371775834,0,0,0,0,0,-0.137537726195003,0,0,0,-0.163676613065697,-0.0370154351502166,0,0,0,0,0,0,0,0.342489528655845,0,0,0,0,0.190385744947551,0,0
X688.HK.EQUITY,0,0.233520397290503,0,-0.151503487608931,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0938878481014689,0,0,0,0,0.116808840443586,0,0,0,0,0,0,0,1.38777878078145e-17,0.047610668696852,0,0,0,0,0,-0.250501094058188,0,0,0.171718948783218,0.124307618036654,0.193377182981406,0,0,0,0,0,0.0528986891741766,0,0,0,0
X823.HK.EQUITY,0,0,-0.183831743212801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475035067296336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126960090087009,0.0226476534805523,0,0,0.399834028796842,0,0,0,0,0,0,0
MKRturn,0,0,0,0,0,0,0,0,-0.412809068608556,0,0,0.360151056137006,0,0,0,0,-0.181583997446359,0,0,0,0,0,0.155825154670907,0,-0.33381293103819,0,0,-0.274682012171382,0,0,0,0,0.134931561033508,0,0,0,0.440928321497713,0,0.335524266736656,0,0,-0.15711844868987,0,0,0,6.93889390390723e-18,0,-0.120166352023278,0,0,0
RealEstateDiff,0,-0.19889183575246,0,0.430363621652923,0,0,0,0,0.117079707549514,-0.0345389698124361,0.0785868682532855,0,0,0,-0.241446466594166,0,0,0.0860363997955516,-0.220434253983523,0,0,0,0,0,-0.131008852611695,0,0,0,0,0,0.00476203573308087,0,0,0,0,0,-0.501271510942824,-0.00452563970898793,0,0,0,0,0,-0.0380348936217681,-0.0816126177639714,0,0,0,0,8.67361737988404e-19,0
