,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601211.CH.EQUITY,0,0,0,0,0,0,0.0473123784590234,0,-0.0501727576159544,0,0,0,0,0,0,0,0,0,0.217048043141077,0,0,0,0,0,0.138512933898286,0,0.0418186882424958,0,-0.122790286784049,0,0,0,0.293388112381343,0,0,0,0,0,0,0.015243006403977,0.0484595518894598,0,0,0,0,0,0,0.0344247348924483,0,0,0
X601336.CH.EQUITY,0,0.224148475842847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350317680902603,0,0,-0.109391962744996,0,0.0681708537304785,0,0,0,0,0,0,0,0.234640027920611,0,0,0,0,0,0.090154350171514,0,0,0,0,0,0,0,0.0346875720947395,0.114483722097214,0,0,-0.0328833827788374
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.49561696379716,0,0,0,0,0,0,0,0,0,0,0,0.115783071477291,0,0.0803170961308489,0,0,0,-0.124180982975214,0,0,0,0,0,0.028753456663924,0,0,0,0.306470010327265,0.0280832833762099,0,-0.132953484838801,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0.0946448202460495,0,0,-0.0124667662606173,0.0822819490194668,0.328164963516099,0,0,0,0.0265566031056741,0,0,0.0233015484929785,0,0,0,0,0.0796557958639906,0.0678749891347768,0.0324228668451384,0,0.12159356850895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289242138084667,0,0,0,0,0,0,0.0199937623935651,0,0,0
X000166.CH.EQUITY,0,0,0.0555570659923823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356581485433727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246979701152574,0.253244872422454,0,0.00913289656173373,0,0,0,0,0,0,0.210653000696389,0.0427605647563812,0.0455790914334273,0,0.0444284131984449,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,-0.0068576231413444,0,-0.0602158226976914,0,0,0,0,0.0482705958004869,0,0.692420401127363,0,0,0,0,0,-0.00990861437882972,0.010663793494221,0,0,-0.0958387458825633,0,0,0,0,0,0,0,0,0.053826144335173,0,-0.0571634981524205,0,0,0,0,0,0,0,0,0,0,0.130627934820811,0,0
X12.HK.EQUITY,-0.139997983557176,0,0,-0.0597788900200479,0,0,-0.0166843454755468,0.0525220100450061,0,0,0,0.638564127388269,0,0,0,0,0,0,0,0,0.550350178195293,0,0.00499896188777712,0,-0.0167770115311201,0,0,0,0.285597584092223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215502626609529,0,0,0,0,-0.104595286943178,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0.110079368619998,0.108066161158528,0.20769917212696,0,0.295132981654567,0,0,-0.0822303695549526,0,0,0,0.110266306948388,0,0,0,0,0,0.0670434677989031,0,0.0791514018664864,0.00272144902017837,0.0558913454202167,0.0730723319104883,-0.164948578388468,-0.179982478293634,-0.0977546863761998,0,0,0,0,0.0282916881638987,0,0,0,0,0,-0.138951752956449,0,0,0,0,0.705519329248028,0
X601229.CH.EQUITY,0.748218654138252,0,0,-1.38777878078145e-17,0,0.108203509363685,0,0,0.453038108125404,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204387852195359,0,0,0,0,0,0,0,0.114620111752444,0,0.196472181857535,-0.203923195443367,0,0,0,0,-0.149959190453482,0,0,0,0,-0.173180582644495,0,0,0.123050372373742,0,0,0,-0.0699576644503534
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455027774908982,0,0.0440973961889753,0.147090009463784,0,0,0,0,0,0,0,0,0,0,0.0513504068533248,0,0.0167247737104639,0.127986217694518,0.108513071814962,0,0,0,0.0680709664910255,0,0,0,0.10647533174662,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0.0732836842997706,0,0,0,0,0,0,0,0,0,0,0,0,0.126451990779887,0,0.25453788285912,0,0,0,-0.104149004321975,0,0,0.189295102605575,0,0,0.0908438940173326,0,0,0.242441390512995,0,0,0,0,0.0737136135946728,0,0,0,0,0,0,0,0,0,0,0,-0.0193725629509544
X600918.CH.Equity,-0.0203377712307306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137352403853774,0,0,0,0.0373172652465867,0,-0.108920430431762,0,0,0,0,0,0,0,0,0.158886387723644,0,0.0520780722262267,0,0,0.0268100423425136,0,0,0,0,0.427429570410587,0,0,0,0,0.00611282005803623
X601169.CH.EQUITY,0,0,0,0,0,0,0.7187798484308,0,0,0,0,0,0,0.0107762072267593,0,0.0931869708194259,0,0,0,0,0.0237697678077395,0,0.0302934913175529,0.129530110171128,0,0.0264027863111314,-0.00348322204751058,0,0,0,0,0,0,0,0,0,0,0,0,0.0128622421158714,0,0,0,0,0,0,0,0,0,0,0.0427839399398309
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.0520646258091797,0,0,0,0,0,0,0,0,0,0.110821605677394,-0.454355211293813,0,-0.0128717532952909,0,0.114503016288201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415415436349073,0.058121792370272,0.351513599373594,0,0,0.64423425150499,0,0,0,0.0564335312048882,0,0,0
macro_return_add,0,0,0,0,0,0,0,0.332378916015707,0,-0.0610086106862924,0,0,0,0,0,0,0,0,0,0,0.0609474106948016,0,0,-0.126445668378353,0,0,0,0,0,0,0,0,0,-0.239466611368136,-0.161493633653097,0.197042460273714,0,0,0,0,0,0.0780699614492238,0,-0.0740642340490183,-0.153463553486054,0,0,0.130335833007491,0.127630376221141,0,0
