,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,macro_return_add
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.16091996575606,0,0,0.311423408274351,0,0,0,0,0,0,0.185041380077168,0,0,0,0.0305334182063343,0,0,0,0,0,0,0,0,0,0,0,-0.0661933148480783,0.219402443578682,0,-0.0359524470703183,0,0,0,0,0,-0.0842476451116073,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249115363817414,0,0,0,0.133679173498571,-0.12655232923602,0,0,0,0,0,0,0,0,0,0,0,-0.0159724350123978,0,0,0.339640074315164,0.0978633780260754,0,0,0.075686134948892,0,0,0,0.0171569953974479,0.136409615170519,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,-0.106459704547104,0,0,-0.0133185597446702,0,0,0,0.206128933909864,2.16840434497101e-19,0,0,0,0,0,0,0,0.206139089142277,0.0297177267499307,0,0,0,0.296917938112555,0,0,0,0,0,0,0,0.175842091005156,0.182876246328147,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.016531525283211,-0.0552042629473011
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0415063156817507,0,0,0,-0.169510417409327,0.67467249670211,0,-0.176744236206281,0,0,0,0,0,0,0,0,0,0,0.0417625295803618,0,0,0.150843587018527,0,0,0,0,0,0,0,0,0,0.131353404916026,0.0707282409938284,0.0427291486169827,-1.38777878078145e-17,0,0,0,0,0.0538313538722306,0
X002142.CH.EQUITY,0,0,0,0,0,0.462587368000614,0,0.114297371435252,0,0,0.0478058422100239,-0.28021624251318,0,0,0.30959601241175,0,0,0,0,0,0.15556541967771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395637901192954,0.0295968272143436,0,0,0,0,0,0,0.110933035596773
X601211.CH.EQUITY,0,0,-0.0264721283252158,0,0,0,0,0,0,0,0.0421603704558014,0,0,0,0.138235914754422,0.189226943639923,0.0514144612913584,0,0.057815926250134,0,0,0,0,0,0,0,0,0.18309179176852,0,0,0,0.497749675265451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106016999790092,0,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.178108952837566,0.179382399504006,0,0,0.153081219244158,0,0.134806711282135,0,0,0.105895044729622,0,0.196227713812747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249638410193578,0,0,0.0101317711908493,0,0,0,0.267487278743745,0.121887741429586,0,0,0,-0.155680181158307,0,0.316475101487416,0,0,0,0
X2882.TT.EQUITY,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0504031677568058,0,0,-0.0153723162422198,0,0,0,0,0,0,0,0,0,-0.104795143797612,0.261081905502098,0,0,0,-0.0556543627832875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322210601307721,0,0,0,0,0.686419504671609,0,0,0.0665034260810487,0,-0.155423854709653
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00596797645331236,0,-0.0289596094546967,0,-0.0646356812504842,0.226121833554599,0,0,0,0,0,0,0,0,0.288661967727648,0,0,0,0,0.267203640983739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.06098880076046,0,0,0,0,0,0,0.228337069924336,0,0,0,0,0,0.0225082433266538,0.104255728707252,0,0,0,0,0,0,0,0,0,0,0.220145025199732,0,0,0,0,0.177938040917509,0,0.0011380144497823,0,0.105815999977528,-0.1400182285481,0.0897738657946651,0,0,0,0
