,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X11.HK.EQUITY,0,0,0,0,0.372809693090853,-0.193887033195755,0,0,0,0,0,-0.324020283889085,0,0,0,0,0,0,0,0.291050438185535,0,0,0.236961159818592,-0.119487709851852,0,0,0,0,0.0632688443412007,0,0,0.313104123351656,0,0,0,0,0.022488432871329,0.0166134093789345,0,0,0,0.064654219021156,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0.0845757051292985,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0312046545117965,0,0,0,0,1.38777878078145e-17,0,0.202137823279448,0,0,0.15501385695259,0,0,0,0.235490831359824,0.173960342674178,0,0,0,0,0,0,0,-0.0434190756591689,0,0.110418305864017,0,0,0,0
X601319.CH.EQUITY,0.0849698233297139,0,0,0,0,0.0494701618059489,0,0,0,0,0,0,0,0,0.0498497194205524,0,0,-6.93889390390723e-18,0,0,0,0.0483317064593071,0,0,0.198722284610691,0,0,0,0,0,0,0,0,0,0,0.012069524429423,0,0,0,0,0.25443470387131,0,0,0,0,0.131805333066537,0,0,0,0
X601077.CH.Equity,0,0,0,0,0,0,0.338443285974245,0,0,0,0.180782466286822,0,0.0181074438187316,0,0.0350457228150693,0,0,0,0.135839849647546,0,0,0.221196549957178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0.0259601659085698,0.0981284550599603,0,0,0,0,0,0,0,0,0,0,0,0.245397008002361,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636043462241863,0.126472542887125,0.289643402887266,0
X601336.CH.EQUITY,0,0,0,0,0,0.0605740921855586,0,0.0993204937017451,0,0,0,0,0,0,0,0.266486781139322,0,0,0,0,0,0,0.0128355059750761,0,0,0.538592356027736,0,0,0,0,0,0.0209318517682303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426829676213713,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.139348274631701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.041370957234205,0.0683057067828189,0,0,0,0.0487645486431088,0,0.0793094231243073,0,0.305849465627017,0,0.219356812829586,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,-0.0335697779030476,0,0,0,0,0,0.0458793352513323,0,0,0,0.0488526394836978,0,0,0,0,0,0,0,0,0,0,0,0,0.142634274740684,0,0.0180281310596952,0,0,0,0,0,0.351550203363667,0,0.041764039132641,0,0,0.00388847008441857,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0629644363106385,0,0,0,0,0,0,0,0,0,0.0335809392797126,0.0621437082104523,0,0,0,0,0.00783342770382845,0.121107739183763,0,0,0,0,0,0,0,0.448803481334971,0.114570867661208,0,0,0,-0.064991368410983,0.0746030628817229,0.281610637362323,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,-0.162475727543322,0,0,0,0.334733322651549,0.0643113174805313,0,-0.0170033255477071,0.0994847283980505,0,0,0,0,0,0,-0.0334595730888407,0.192205188493541,0,-0.137802575339202,0,0,0,0,0,0,0.131674627009268,0,0,0,0,0.0918425959685435,0,0,-0.0786344907009013,0,0,0,0,0.125869393803341,0,0,0.0923824511176711,0,0,0,0
