,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY
X600030.CH.EQUITY,-0.0777354204633608,0,-0.0854756202153796,0,0,0,-0.0692371619375369,0,0,0,0,-0.0195660864798,0,0,0,0.02388888078083,0,0,-0.0732311699566077,0,0,0,0,-0.096223851281768,0,0,0,0,0,0,0,0.340502602993322,0.0965299809623915,0,0,0,0,0,0,0,0,0,0,0,0,0.110784822193179,0.0518028877186144,0,0.313138960887312,0
X601336.CH.EQUITY,0,0,-0.0582613737535485,0,0,0,0,0.455364587325062,0,0.0875138091481172,-0.08625528346027,0.157054583624548,0,0,0,0.0280508009036442,0,0,0,0,0,0,0,0,0,0.051608631068882,0.070522352582505,-0.137351263059204,0,0,0,0.338543576154867,0,0,0,0,0,0,0,0,0,0,-0.0463991122573973,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812524796788387,0,0,0.133147345875208,0,0,0,0,0,0,0,0,0,0,0,0.227282821805743,0,-0.101441831147823,0,0,0,0,0.0627015138454269,0,0,0.320098470159859,0.0556901744810524,0,0,0.114759341357926,0,0,0.165889986736351,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0.0461856854825742,0,0,0,0,0,0,0,0,0.00699524947342041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166921985622204,2.77555756156289e-17,0,0.160176953966594,0,0.661741880129054,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0.0821667550240821,0,0,0,0,0,0,0,0,0,0,0.0214725359473351,0,0,0,0,0,0,0,0,0,0,0.000333697131257936,0.0223442626944543,0,0,0.0766366465703005,0,0,0,0.220078772976083,0,0,0,0,0,0.425959756692754,0.298779917416233,0,0,0,0,0,0,0,0,0,0,0,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284894723340014,0,0,0,0.0763696966541374,0,0,0,0,0,0,0,0,0,0,0,0.137905706278542,0.0575276751577704,0,0,0.176456801764916,0,0,0,0.0387736809748748,0
X2880.TT.EQUITY,0,0,0,0,-0.0247404815724251,0,0,0,0,0,0,-0.0197848631647435,0,0,0,-0.0997138074578505,0,0,0,0,0,0,0,0,0,0,0,-0.115879440056211,0,0,0,0,0,0,0,0,0.00815473340098914,0.265045659525998,0.00981718027818687,0.0335027379594993,0,0,0,0,0.398541864637153,0.116529269312743,0,0.179485592522274,0,0
X2883.TT.EQUITY,0,0,0,0,-0.0274869337532567,0,-0.0318447977473195,0,0,0,-0.0232997719212883,0,0,0,0,0,0,0,0,-0.0440762253281694,0,-0.0143454019140469,0,0,0.357302617373141,-0.0938027758775377,0,0,0,0,0,0,0,0,0,0,0.291654938655783,0,0,0.114789849130891,0,0,0.0595587836770083,0,0.0576157155001163,0,0,0.166419602069896,0,0
X601577.CH.EQUITY,0,0.159275095089033,0,0,0,0.0551146058507005,0,0,0,0.276395788610833,0,0.128970757401041,0,0,0,0,0,0,0,0,0.0355850757765991,-0.164289368931056,0.0478650016545626,0.118291788415046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629000020751213,0,0,-0.301431004219171,0
X601838.CH.EQUITY,0.0521658622958874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160214456248433,0.0816760491477806,0,-0.0831959238706741,0.0450796026756576,0,0,0,0,0,0,0.482743655636109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0370182192417671,0,0,0,0,0,0,0,0,0,0,0,-0.0483369888745702,0.0634296047797009,0.124589893440713,0.0943746421919317,0,0,0,0,0,0,0,0.293002099879806,0.120297318168512,0.226171856821593,0,0,0.0329599616058898,0,0,0,0.0317614176565628,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0.0431366575023538,0,0,0,0,0,0,0.35993059698452,0.0513926906041985,0,0,0,0,0.0457416004215396,0,0,0,0,0,-0.13638765912049,-0.0784204452732829,0,0,0,0,0.174255636175361,0,0,0.353458603289198,0,0,0,0,0.038486687511048,3.46944695195361e-18,0,0.232831246505053,-0.108094980745438,0,0,0,0.233789947014967,0.240711299541317,0
X600837.CH.EQUITY,0,0,0.324292540862769,0,0.00763033834244889,0,0,-0.242857081966201,0.204136901970827,0,0,0,0.000317355052127893,0,0,0,-0.124772671027524,0,0,0,-0.212364500992427,0,0,0,0,6.93889390390723e-18,-0.0582692793953565,0,-0.0179092663789845,-0.192210353334357,0,0,0,0.567804881694178,0.485218652749807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,-0.0260518560331549,0.0175433664294611,0,0,0,0,0,0,0,-0.153756472974048,0,0,0,0.0259899905959402,0,0.0378123647185876,0,0,0,0,0,0,0,0.298623420680326,0,0.0928966533862034,0.0433061713454857,0,0,0.0770495233679734,0,0.240118839211665,0,0,0.136323872934683,0,0.151520139541794,0,0.0518023483509355,0,0.0508224811748882,0.014387611717428,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292455076109559,0,0,0,0,0,0.0100398205686115,0,0,0,0,0,0.0461981617117096,0,0,0,0,0,0,0.309570091278995,0,0,0,0,0.0185629639107632,0.123085288415423,0.0240018307982067,0,0,0,0.0701030162977346,0,0,0,0.14805780885413
X601997.CH.EQUITY,0,0.0101694328095254,6.93889390390723e-18,0,-0.0381704490412174,0.21457198130102,0,0,0,0,0.160557320419077,0.0692342741802427,0,0,0,0,0,0,0,0.275695827470006,0,0.231125833184629,0,0,0,0,-0.0162958767398316,0.334520221955226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
