,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY
X2881.TT.EQUITY,0,0,0,0,0,0,-0.0680478180246387,0.135901353534868,0,0,0,0,0.00463155972038621,0,0,0.0210695366799145,0,0,-0.122970303059952,0,0,0,0,0,0,0,0,0,0,0,0,0.157162754308821,0,0.165440712157445,0.150801523011345,0,0,0,0,0,0.0378231975478635,0,0,0.484895971098418,0,0.0364273688059271,-0.115968460335754,0,0,0
X600918.CH.Equity,0,0,0,0,0,-0.0342322833894448,0,0,0,0,0,0,0,0.186549013630183,0,0,0,0,0,0,0,0,0.371939052436122,0,0,-0.0807992313318477,0,0,0,0,0.165952875217051,0,0,0,0.0273494183338847,0,0,0,0,0,0,0,0,0,0,0,0,0.0700691674693298,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.0763134982276055,0.13934720021978,0,0,0,0.121268232065489,0,0,0.0862928656854794,0,0.00966530869995371,0,0,0,0.0622278056105749,0.197373267901747,0,0,0,0,0,0,0.152667281162836,0,0,0,0,0,0,0.0911928335081106,0.0262895918173559,0.0860585023198629,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0
X601881.CH.EQUITY,0,0,0,0,0.000897800537171829,0,0,0,0.0306185090959759,0.0992645459363456,0,0,0,0,0,0,0,0,0,0,0,0,0.18567782594731,0,0,0,0,0,0,0.199942755176934,0,0,0,0.0185953750058387,0.110157623129993,0,0,0,0,0.134293394275675,0,0,0,0,0.147082670028986,0,0.180679887747791,0.102204320539441,0,0
X2886.TT.EQUITY,0,0,0,0,0,0.284600866419519,0,0,0,0.0977871102239142,0,0,0.0121943003807949,0,0,0.397154049278077,0.0684619189541103,0,0,0,0,0.124847804566594,0,0.164970981077894,0,0,0,0,0,-0.416971159031344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251228767772819,-0.208302799793649,0,0,0,0,-0.0858425229422634
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0853694894336434,0,0,0,0,0,0,0,0.0878557913403441,0,0,0,0,0,0.0994603806783679,0,0,0,0.0114486891031091,0,0,0,0.117640327877167,0,0.113703435576679,0,0,0,0,0.170901140991723,0,0,0,0.166064000415052,0,0,0.018139501715227,0,0,0.218983127944639,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.301462555047343,-0.0403358793686972,0,0.0436984681467016,0,0,0,0,0,0,0,0.0456681577375543,0,0,0,0,0,0,0,0.0701878254284347,0,0,0,0,0,0,0,0,0,0,0,0.0533667398764882,0,0,0,0.213686895091504,0,0,0,0,-0.116646785314012,0,0,0
X601009.CH.EQUITY,0.39847706988768,0,0,0,0.11455027771277,0.278047912240094,0,0.0311753200410682,0,-0.141188470542976,0.0997326601997937,-0.0793454802104507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225948374741959,0,0,0,0,0,0,0,0,0,0.0397003359668427,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0
X601901.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0974465495529025,0,0,0,0,0.00630055312280362,0,0,0,0,0,0,0,0,0.160191577129547,-0.00508051472516897,0,0,0.0804801260885198,0,0,0.0458162953531339,0,0,0.0960242033424614,0,0.396838236471379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.215433428309676,0,0,0,-0.0189265658422834,0,0,0,0,0,0,0.115521942282047,0,0,0.0365152891260528,0.373547060885357,0.358392603356601,0,0,0,0,0,-0.30527898631794,0,0.147605412220808,0,0,0,0,0,0,0,0,-0.121743899275556,0,0,0,0,0
X2884.TT.EQUITY,-0.0145348085417886,4.33680868994202e-19,-0.161619402250825,0,0,0.375575820130451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161101447687211,0,0,0,0,0,0,0,0,0,0,0.11136220094446,0.229384333931924,0,-0.033568146330664,0,0,0.0415646700060215,0,-0.103243846572121,0,0,0.42012183224491,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0.237632220460175,0,0,0.0133815591798715,0,0,0,0,0,0,0,0.155160184915252,0,0.240021345284482,0,0,0,0,0,0,-0.126215113074064,0,0,0,0,0,0,0,0,0,0.439662412706753,0,0,-0.0641581244641435,0,0,0,0,0,0,0,0,0,0.146120196271054,0
