,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601229.CH.EQUITY,0.0258041200653358,0.0363143190636187,0.0413883062821814,0,0,0,0,0,0,0,0,0,0,0.48894286846466,-0.015253483515146,0,0,0,0,0,0,0,0.0849589514961077,0,0,0,0,0,0,0,0,0.029325371451842,0,0.0765997645194505,0,0,0,0.104994402819177,0,0,0,0,0,0,0,0.162098025514076,0,0,-0.239575494557246
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.813632176228126,0,-0.179842494521256,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.422379267122877,0,0,0,0,0,0,0,0,0,0,0.0940981041633463,-0.384626686014916,0,0,-0.130117490225099,0.163031608962007,0,0,0.332890667370119,-0.323188045758883,0,0,0,0.339242018918752
X601328.CH.EQUITY,0,0,0,0.2002300526177,0.00470092078711759,0.370319139934363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121904200653785,0,-0.255683229076786,0,0,0,0,0,0,0,0,-0.0324186791378138,0,0,0,-0.041206966892002,0,-0.176133688629767,0,0.207764853849861,0,0,0,0,0,0,0,0.293618751904155,0.180943759311711
X601398.CH.EQUITY,0,-1.73472347597681e-18,0,0,0,0,0,-0.138713274095372,0,0,0.780839873105909,-0.345442300844956,0,0,0,0,0,0,0,0,0,-0.127150362839881,-0.0444632224032172,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.112001348933499,0,0,0,0,0,0,-0.122633624515593,0.422373374032568,0,0,0,0,0,0.0467775683292065,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.525409460978166,-0.253434419277818,0,0,0,0,0.13045229246073,0,0,0,0,0.265485068648378,0,0,0,0,0,-0.0557138952150605,0,0,0,0,0,0,0,0,0,-0.293731022568223,0.239127931646678,0,0,0,0.385111288624616,0,0,0,0,0,-0.0817310508293168,0,0,-0.0435295896102464,0,0
X601939.CH.EQUITY,0,0.465488690313062,0,1.0842021724855e-19,0,0,0,0.313854764322852,0,0,0.0417886940806576,0,0,0.215585714084466,0,0,0,0,0,0,0,0,0,0,-0.000991705671641255,0,0,0,0,0,0,0.184927893380616,-0.136015343258479,0,-0.12908014574106,-0.0511478013196117,0,0,0,0,0,0,-0.134641039738899,0,0,0,0,0,-0.0467203903176165
X601988.CH.EQUITY,0,0.0948998605849393,0,0.321867481819246,0.0357929754539803,0,0,0,0.224554260669948,0.0389577892344768,0,0.19043195467056,0,0.0775111752089447,0,0.0913764699216528,0,0,0.137839796813298,0,0,0,0,0.0428922871257557,0.104688061744001,0,0,0,0,0,0,0,0,-0.0159790732827248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.165619087265932,0.181186313526974,0,0,0,0,0,0,0,0,0,0.148191021600763,-0.00946668034571507,0,0,0,0,0,0,0.216045968769832,0,0,0,0,0,0,-0.00128673059191989,0,0,0.201814782248386,0,0.222169046383069,0,0,0,0,0,-0.291217414077338,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0346633437895576,0,0,0,0,0,0,0.227252001441206,0,0,0.349396166158547,0.205911874280103,0,0,0,-0.111046333828352,0,0,0,0,0,0,0,0,0,-0.140494299044999,0.0141392087186714,0,0,0.0526066355270932,0,0,0,0,0,0.100051954675257,-0.159240356331719,-0.0408485051868231,0,0.04520759205357
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0460494113850729,0,-0.0803153619464098,-0.00434723909698963,0,0,0,0.79422150516961,0,0,0,0.040471053313175,0.0812222323455705,0.144045688627799,-0.0484086435571833,0,0,0,0,0,0,0,0,0,0.0677648681060321,0,0,0,0,0,0.129011253590167,0,0.155528636042643,0,0,0,0,0
X5.HK.EQUITY,0,0,-0.0266978067990301,0,0,0,0,-0.026934393740358,0,0,0,0,0,-0.0764257275597869,0,0,-0.0596724165166735,0.600665127880965,0,0.0730949528236337,0,0.0581961196989156,0.171305733614226,0,0,0,0,0,0,0,0,0,0,0,0,0.133719394754461,0,0,0,0,0,0,0,0,0,-0.141063749526521,0.296700380069606,0,-0.0349051406010371
