,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.299816705023462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180705001792812,0.123290753239501,0,0,0,0,0,0,0.0389744755073217,0,0,0,0.020754377525726,0,0,0,0.091464491290269,0,0.117221221276492,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.033287592552008,0,0,0,0,0,0,0,0,0,0,0,0,0.0134575531699725,0,0,0,0,0,0,0,0,0,0,0,0,0.297265885935963,0,0.108319964964625,0,0,0.0356986830667918,0,0,0,0.0730972647795033,0.112158707712062,0,0,0,0.152665600265868,4.33680868994202e-19,0.167468030937472,0.0143779760997418,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148340932874157,0,0.102694451383805,0,0.220209538670952,0,0,-0.0541508247485422,0,0,0,0,0,0.0238230308256937,0,0,0,0.170834476210866,0,0.558471621565871,0,0,0,-0.162205853960391,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0690205034570252,0,0
X601229.CH.EQUITY,0,0.138061630981578,0,0,0.0363656367001567,0,0,0,0,0.0863630989852053,0.326397740044855,0,0.15674595748885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581334532357676,0,0.0661354232421296,0,0,0,0,0.107725517881925,0,0,0,0,0,0,0,0,0.013449301415112,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0.0611615609624424,0,0,0,0,0,0,0,0,0.150497837557289,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.065323522128211,0,0,0,0,0.374829967530935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153732703690932,0,0.0446666360381704,0,0.088309201696654,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.214766253206145,0,0,0.00226513994365749,0,0.00718756400610464,0,8.67361737988404e-19,0.156967038831987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655417788173312,0,0,0,0,0,0.211992381345192,0,0,0,0,0,0,0.239863368765491,0.225177340707736,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.140536108529685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498578041271284,0,0,0.261531337440233,0,0,0,0,0,0,0,0,0,0.0775081755833374,0,0,0,0,0,0,0,0.0238829604924437,0,0.0439208120406727,0,0,0,0,0.404179552111132,0,0,-0.0103764303894019
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0654881844340623,0,0,0,0,0,0,0.00305242591035117,0.0648655178769481,0,0,0,0.195886217129346,0,0,0,0,0,0,0,0,0,0,0.0557441012145375,0,0,0,0.0712774342489755,0,0.323938299782193,0,0,0.0374518897129328,0,0.16566587071631,0,0,0,0.012970092395014,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.108072147269918,0,0.0933094830977553,0,0.0439016281966733,0,0.047484467280886,0,0.00119348845827887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140140783276307,0,0,0,0,0,0,0.0432058443404914,0.0190176714499957,0,0.0823497005909174,0,0,0,0,0.30487240431145,0,0,0.149142603783784,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15486813739223,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0347076551777445,0,0,0,0,0,0,0,0,0.147033090724882,0,0,0.0409839455497688,0.254620179191972,0,0,0.191704633596295,0,0,0,0,0,0.186836569571576,0,0.0382969355489185,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0727927230849901,0,0,0.00130360280156831,0,0,0,0,0,0,0,0,0,0,0,0.0254946146062247,0,0.059572627349982,0.00969960540503708,0,0,0.20381514268024,0,0,0,0.00635501110536467,0.136896950707309,0,0,0.278967276892171,0,0.0234366259117391,0.0921443204720449,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601967486425237,0,0,0,0,0.0609079779781672,0,0,0,0,0,0,0,0.0384062493944951,0,0,0,0,0,0,0,0,0,0.140480992273923,0.353402128830237,-0.0286978495937198,0,0,0,0,0,0,0.109436050418079,0.267259809914867,0,0,0,-0.0147720996144766,0
X002736.CH.EQUITY,0,0,0,0,0.0824625548915971,0,0,0,0,-0.0518954137566099,0,0,0,0,0,0,0,0.0829480132066769,0,0,0,0,0,0.0204736686248185,0,0,0.0356123152829437,0,0,0,0,0.262329813636617,0,0,0.0918342584921975,0,0,0.0437012143743733,0,-2.77555756156289e-17,0,0,0,0,0,0.0647257814977934,-1.73472347597681e-18,0.344773183867085,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,0,0.155324734782191,0,0,0.105138335887743,0,0,0,0,-0.0607129554474354,0,0.234507501859984,0,0,0,0.227576463871751,0,0,0,0,-0.490883323322819,0,0,-0.238776539918523,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.690235949074115,0,0,0,0,0,0,0,0,0.315190347643029,0
FXI.US.EQUITY,0,0,0,0,0,-0.171235476851986,0,-0.019633102158886,0.255086882246779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14422454339368,0,-0.192662872450062,0,0.18234956097744,0,0,0,0,0.0384468680139535,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,-1.00490581350175
VXFXI.INDEX,0,0,0,0,0,-0.207317410968007,0,0,0.238966127849701,-0.033827771062387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0751766012263414,0,-0.0920607792770895,0,0.0476747123432688,-0.0871732580735396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.941516199022036,0
