,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X600048.CH.EQUITY,0,0,0,0,0.243571804417963,0,0,-0.230621909543791,0,0,0,0,0.267138533250089,0.133585915201843,0,0.0730368559922203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272150211517074,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.00107493257791039,0,0,0
X1113.HK.EQUITY,0,0.051499357550033,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0.0966874742695583,0,0,0,0.048702495147913,0,0,0,0,0,1.73472347597681e-18,0,0.23003442820812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382865861658254,0,0,0.133180963265663,0,0,0,0,0,-0.184387513430682
X12.HK.EQUITY,0,0,0.096127370529862,0,0,0,0,0.147721944649419,0,0,0,0,0,0,0,0.402698936928434,0,0.193807935013512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158347891923473,0,0,0,0,0,0,0.0426549740038871,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0.130800222350023,0,0,0,0,0,0,0,0,0,0,0,0.0524925581971622,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0105129537069523,0,0,0,0,0,0,0.627527985917705,0,0,0,0,0,0.0140264777795906,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0453789750701479,0,0,0,0,0,0,0,0,0,0,0.022338056595412,0,0,0,0,0,0,0,0.220223827391966,0,0,0,0,0.0187742944592467,0.328803835525589,0,0,0,0.0729925721257021,0,0,0.114994276013614,0,0,0.129464316467743,0,0,0,0,0
X002142.CH.EQUITY,0,0.215338372747741,0,0,0,0,0.385413833086116,0,0,0,0,0,0,0,0.130468425004412,0,0,0,0.300165399747712,0,0,-0.112822450219036,0,0,0,0,0,-0.00135074957221849,0,0,-0.0476715541962455,0,0,0,0,0,0,0,-0.0183568213497935,-0.162802872222466,0,0.0520503694559853,0.0708792399306532,0,0,0,0,0,-0.0195842848041899,0,-0.0667694876377506,-0.187223386638891
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0282744759901558,0,0,0,0.0101238408933166,0,0,0.0045096461471424,0,0,0,0,0,0.0742717779352138,0.161484343856581,0,0,0,0,0,0,0,0,0.0869061396929103,0,0.17798596600467,0,0,0.215778296644512,3.46944695195361e-18,0,0,0,0,0,0,0,0.221126243589294,0.0497395821601503,0,0,0,0
X600837.CH.EQUITY,0,0,0.220230410526599,0,0,0.00874786152440885,0.0210935855516081,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.079243778923567,0,0,0,0,0.0442798268048651,0,0.354324265998206,0,0.0066083606461424,0,0,0,0,0,0,0,0,0,0,0.250958011315185,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.030767994228148,0,0,0,0.30725039011359,0,0,0,0,0.0179041610985701,0.0364520928875614,0,0,0,0,0,0,0.0677845295441815,0,0,0,0,0,0,0,0,0,0,0.0411442140645734,0,0,0,0,0,0.0873652906355593,0.216898464994622,0,0.220437468044786,0,-0.0463719864501781,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0712437092594218,0.128965716498887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136729684851395,0,0,0,0,0.22999310769177,0,0,0.0221837540257786,0,0,0,0,0,0,0,0,0,0,0.278759796350182,0,0.00857240687179515,0.093320903605108,0,0,0
