,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X601328.CH.EQUITY,0,0,4.33680868994202e-19,0,0.153413130153109,0,0,0.0974711461196301,0,0,0,0,0,0.0989659384286176,0.34645915476836,0,0,0,0,0.0385702250947057,0,0.0443275661717754,0,0.139826388433492,0,0,0,0,0.0229782484621763,0,0,0,0,0,0,0.0416319323350442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,-0.0475437884550484,0,0,0,0.0712130546803512,0,0,0,0,0,0,0,0,0.513668296212708,0.368207037661682,0,0.0356395205955723,0,0,0,-0.228705807892508,0,0,0,0,0,0.201162864162284,0,0,0,0,-0.031191080797447,0,0,-0.145051032628701,0,0,0,0,0,0,0,-0.0860374717274956,0,0,0,0,0,0,0,-0.0616522658030003
X601818.CH.EQUITY,0,0,0,3.46944695195361e-18,0.1629199480189,0,0,0,0.150753929267669,0,0.000758787020721741,0,0,0,-3.46944695195361e-18,0.187378812306554,-0.027066318561923,0,0,0,-0.0613395396366856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0186250071149921,0.011079210257256,0,0.0996416602253887,0.149433948046262,0.407572711870917,0,0,0,0,0,0,0,0,0,0,0,0.0996047289737857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122316646482528,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.389683760001177,0,0.197570389311605,-6.93889390390723e-18,0,0.159405202321337,0.0831344102985485,0,0,0.0115281993734265,0,0,0,0,0,0,-0.0338469138026393,0,0,0,0,0,0,0,0,0,0.0887613711627945,0,0,0,0,0,-0.0811566936454639,0,-0.0312618366912619,0,0,0,0,0.141527351485362,0,0.12961685477494,0,-0.0514771436518505,0,0.0249018488450419,0
X601998.CH.EQUITY,0,0,0,0,6.7762635780344e-21,0,0,0.296314492364407,0.102109140476674,0,0,0,0,0,0,0,0,0,0.09867122738622,0,0,0,0,0,0,0,0,0.21340555493333,0,0.0352941439920176,0,0,0,0,0,-0.160679037152672,0,-0.0904133036091771,0,0,-0.233397890047817,0,0.117462999915975,0,0,0,0,0.150236936378093,0,-0.0109549412724289,-0.282656682143672
X11.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0196031517200943,0,0,0.235924759587318,-0.114263504601971,0,0,0,0,0.534614180610569,0.129312020147744,0,0,0,0,0,0,0,0.0854189712411733,0,0,-0.0132772896214993,0,0,0,0.232313265099381,0,-0.0967137100048931,0,0,0,-0.0800409923558794,0,0,0,-0.142341689910112,0,0,0,0,0,-0.148839449833622,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242270028530371,0,0,0,0.205426557860596,0,0.512857989953754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194716139065268,0,0,0,0,0,0,0,0,0.102839468329469,0,0,0,-0.0313599680572019,0.314214134959702,0.0563682882384338,0,0.0835206527137359
X5.HK.EQUITY,0,-0.0241557197501056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188103010219675,0.187403194607811,0.404324091954153,0,0,0,0,0,0,-0.0601958862812702,0,0,0,-0.0949031070815157,0,0,0,0,0,0,0,0.176856166249105,0,-0.321014443195137,-0.00671433994486364,0,0,0,-0.141731986690501,0,0,0,0,0,0.217132231935977,0.081311890619078
X000166.CH.EQUITY,0,-0.0349346594611965,0,0,0,0,0,0,0,0,0,0.114862706205679,0,0,0,0,0,0,0,0,0.447718024342507,0,0.0369699765268175,0.278300168805991,0,0,0.128473873572916,0,0,0,0.0661503995955758,0,0,0,0,0,0,0,0,0,0.00570708848856529,0,0,0,0,0,0,6.93889390390723e-18,0,0,0
X002736.CH.EQUITY,0,0,0.0237843818036874,0,0,0,0.22071900029602,0,0,0,0,0,0,0,0,0.117700779809299,0,0,0,0.173696372396683,0,0,0,0.0895560252101468,0.00770381102034475,0,0.10837621638475,0,0,0,0,0,0,0,0,0,-0.218723824055288,0.280484970336782,0,0.08656247497514,0,0,0.0506342185422336,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0707779368501231,0,0,0,0.093032596656738,0,0,0,0,0,0.0210617317618295,0,0,0.109274709293515,0,0,0,0.0469569438774712,0,0.381827002319234,0.179401655479642,0.184343058020748,0,0,0.0722864431424243,0,0,0,0.0353755854158177,0.0413375357230899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,-0.0483375971774145,0,0,0,0,0,0,0,0,0,0,0,0,0.0146195979813865,0,0,0,0,0.262331907947764,0.242020822493529,0,0,0,0.0764397475167675,0.359738142977654,0,0,0,0,0,0,0,0,0,0,0,0,-0.0919773625888059,0,0,0,0,0,0,0,0,-0.0659991707872444,0,0,0
X600999.CH.EQUITY,0,-0.0374539465651195,0.123294722431711,0.00644527375024012,0,0,0,0,0,0,0.204576181214733,0,0,0,0,0,0,0,0,0,0,0,0.273113327236688,0,0,0.434449924852441,0,0.17631053123797,0,0,0,0.0186581629543336,-0.0670996095201176,0,0,0,0,0,0,0.0517367906202276,0,0,0,0,0,-0.161180977544074,-0.0161547076525837,0,0,-0.0636359902053339,0
X601066.CH.EQUITY,-1.73472347597681e-18,0,0,0,0,0,0,0,0.133606035603735,0,0,0,0,0,0,0,0,0,0,0,0.260963835502275,0,0.0339612607765535,0,0,0,0,0,0,0,0,0.0290404229630048,0.0407681928543774,0,0,-0.0437565386714423,0,0,0,-0.0723912468110921,-0.0686956183410435,0,0,-0.0624375252299545,0,0,0.150933218883211,0,-0.100382240805697,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0407500307798248,0,0,0,0,0,0.0191672414067268,0,0,0,0.290443087854564,0.075258658871065,0.43505833856702,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0694773857689712,0,0,0,0,0,0,-0.0440466209865183,0.0242888556673678,0,0,0,0
