,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245976003368688,0,0,0,0,0,0,0,0.235289655152506,0,0.0643319681204022,0,0.12108446829341,0,0,0.0103614816842385,0,0,0.356419274231038,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0122446793290081,0,0,-0.130315187533053
X601696.CH.Equity,0,0,0,0,0,0,0.0352967062064316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35973614437831,0,0,0.120325729404388,0,0,0,0,0,0,0.0117346594302272,0,0,0.489327689269711,0,0,0,0,0,0,0,0,0,-0.13085189208668,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,-0.266691111730629,0,-0.0473148621526777,0.0578142272319196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142445036367559,0,0.101566162412492,0.2260652469069,0.309852354355331,0,0,0,0,0,0,0,0.177140210950176,0,0,0,0,0,0,0,-0.111592864644309,0,0.301625822717284,0.0358811384994306,0,0,0.0266728882064543,0,0
X601318.CH.EQUITY,0.0624386502581057,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.028092475358334,0.324949051809854,0,0,0,0,0,0.02540241318187,0,0,0,0,0,0,0,0,0,0,0,0.0397288226163711,0,0,0,0,0.131612459455506,0,0,0,0,0,0.214174919227243,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.148364164070042,0,0,0,0,0,0.021632420512969,0,0,0,0,0,0.091663843472337,0,0.010119827792293,0,0,0,0,0,0,0,0.0272248202915195,0.106862002603558,0,0,0.130221474220718,0,0,0,0,0.108018425868702,0,0,0,0,0,0,0.241058937106566,0,0.0804276242641154,0,0,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.0512321297024586,0.0437717891062737,0,0.115989979614823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142017916905004,0,0,0,0,0,0,0,0,-0.0770583235664184,0,0.0800651566521568,0,0,0,0,0,0,0,0,0,0.202649928297149,0.158775827001501,0,0,0,0.0289882739801208,0.52837055851713,0.0237078584635118,0,-0.0966830788578929,0,0,0,0
X601601.CH.EQUITY,0.129997215898352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136577019434565,0.0827814806210666,0,0,0.0116675950327267,0.0870008359146696,0,0,0,0,0,0,-0.0605193916635347,0,0,-0.117407758976198,0.0745356402925133,0,0,0,0,0,-0.120588017923862,0,0.214518926552081,0,0.538474018431868,0.041470394355045,0.0765588739991375,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,-0.0772964702309838,0,0,0,-0.0701576598979751,0,0.00033493824274565,0,0,0,0,0,0.113647818548286,0,0,0,0,0,0,0,0,0.0544150577781253,0,0,0,0,0,0.168981752638505,0,0,0,3.46944695195361e-18,-0.126143590151935,0,0,0,0,0,0,0.111536807039738,0,0,0.575607848269167,0,0,0,0,0.0504992730363902,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0804047852048801,-0.00188334721275497,0,-0.14722931901708,0,0,0,0,0,0,-0.0850835994857903,-0.210715636023278,0,-0.0380574409196732,0.186866802901679,0,0,0,0.189412057144489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134548556104809,0,0,0,0,0,0,0,0.0191265723875501,0.301487258486078,0,0,0
X2881.TT.EQUITY,0,-0.0793848026784389,0,0,0,0,0,-0.09157987510173,0.0942018603902324,0,0,0.0203912365275489,0,0,0.170338772172304,0,0,0,0,0,0.0904264161085802,0,0,0.177617985551214,0,-0.0307652555286484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307624113449489,0.0228687834806434,0,0,0,0,0,0,0.334103107447547,0.202132139348634,0,0,-0.256852949623479
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0714641606382976,0,0,0,0,0,0,0.116389263747091,0,0,0.0465023645776602,0.22176275868914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.128163926241481,0.442944265452695,0,0.0157779563226797,0,0,0
X267.HK.EQUITY,0,0.145720061869866,0,0,0,0,0,0,0,0,0,0.153455865286917,0,0.163293146995092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296957300007032,0,0,0,-0.520699559452125,0,0.064025941242888,0.158806078294168,0.133319639342649,0,0,0,0,0,-0.201367266019214
MKRturn,0.30666894469607,-0.0142881414390482,0,0,0,-0.0996756687187647,0,0,0,0,0,0,0,0,0,0,-0.108060482691632,0,0,0.0796519853091094,0,0,0,-0.226304049718446,0,0,0,0,0,0,0,0,0,-0.357490517404899,0,0,0,0,0,0,0.170285092614347,0,0,0,0.00508343851338213,0.0925487651702749,0,0,0.140211521780656,0,0,0,0
TED,-0.055874267639864,0,0,0,0,0,0,0,-0.311046577783995,0,0,-0.0523029786177236,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0451890350185615,0,0,0,0,0,0,0,0,0,0.46453998337546,0,0,0,0,0,0,0,0,-0.019967119705561,0,0,0,0,0,0.0436957619384519,0,0,0,0,0,0
RealEstateDiff,0,-0.241936511913149,0,0,0,0,0,0,0,0,0,0,0,0,0.337382443375945,0,-0.031337801393925,0,0.0438629922062702,0,0.078137729812268,-0.31267665101983,-0.153002366665864,0,-0.0731463073848892,0,0,0,0,0,0,0,0,0,0,0,-0.123736357540336,-0.218288297419164,0,0,0,0,0,-0.0609686118660462,0.010830572157807,0,0.142318010365354,0,0,0,0.0432361433002754,0,0
