,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601336.CH.EQUITY,0,0,0,0.0676364128364719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593098835895845,0,0,0,0.0711551079129001,0,0,0.172629556551572,0,0,0,0,0,0.117218030613598,0,0,0.126417775495955,0.0604600008022127,0,0.178928519018024,0,0,0.182801211359808,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.054278631922842,0.0738860485763086,0,0,0,0,0,0.0265826997655683,0,0.109123481669632,0,0.0341761104609774,0,0,0,0,0,0,0,0.0588022662622297,0,0,0,0,0,0,0,0,0,0.103365280804913,0,0,0.0394188624913395,0,0,0,0,0,0,0,0,0,0.207097504979752,0.172931289430411,0,0.299344473014627,0,0,0,0,-0.0786716205566605,0,0
X601628.CH.EQUITY,0,0,0,0,0.00140100563293784,0,0,0,0,0,0,0,0,0,0.00995645469224495,0,0,0,0,0,0,-0.151180867036121,0,-0.0267760139171056,0,0,0,0,0,0,0.296054301125742,0,0,0,0,0,0,0,0.0632010488370074,0.119493662854734,0.214015721368457,0,0,0.369548276421413,0.190480241500663,0,0,0,0,0,0,4.33680868994202e-19,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327349818307093,0,0,0,0,-0.0629004818573862,0,0.28423253536335,0,0,0.244733280671245,0,-0.11274909859549,0,0,0,0,0,0,0,0,0,0,0,0,0.0499179047361187,0.200010057764742,0.386760010735718,0,0,0,0,0,0,0,0,0.124188950967124,0.0268153893450098,0,-0.0415928350390221
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0.0842218182950127,-0.0182914582967955,0,0,0,0,0,-0.318085953441029,0,0,0,0,0,0,0,0,0,0.401210840830363,0.0245262304239025,0,0.0152446008882145,0,0,0,-6.93889390390723e-18,0.0256837452351544,0,0,0,0,0,0,0,0,-0.0555312021471606,0,0,0,0.0262139108806344,0,0.529789210565355,0.133327763892029,0,-0.129117344479144,-0.00710530610719049
X2882.TT.EQUITY,0,-0.0136994068801539,0,0,0,0,0,-0.0450904385919359,0,0,0,0,0,0,0,-0.213000886384082,0,0,0,0,0,0,0,0,0,0.030549376945682,0,0,0,0,0,0,0,0.260931063006412,0,0,-0.0185587835008779,0,0.0991208506527555,0,0.0844950420589928,0,0,0,-0.0792669513620781,0,0,0.730038198081691,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0.277530457554815,0,0,0,0,0,0,0.0916037108329519,0,0,0,0,0,0.0924512910740009,0.0935380054035611,0,0,0,0,0,0,0,0,0,0,0.0478260140452978,0,0,0,0,0,0,0.196235614854847,1.38777878078145e-17,0,0.095626849018608,0.0877713605285193,0,0,0,0,0,0,0.159118628003305,0
MKRturn,0,0,0,0,0,0,-0.172547024706695,0,0.177257879986956,-1.38777878078145e-17,0,0.125525728723858,0,0,0,0,0,0,0,0,0.195925839941156,0,0,0.128296324040063,0,0.0804914871257788,0,0,0,0,0,0,0.0316755027781885,-0.188299490311035,0,0,0.153379384170786,0,-0.0965124267029803,0,0,0,0,0,0,0,0,0,0,0,0,0.266325603118207,0
TED,0.210773031961183,0,0,0,0,0,0.0677741691474363,0,0,0,0,0,0,0.0427691805929507,0,0,0,0,0,0,-0.0160988020154256,0,0,0,0,0.11736800169722,0,0,0,-0.122494353673359,0,0.000480536204238768,0,0.0960035562661583,0,0,0,0,-0.131728964501127,0,0,0,0,0,0,0,0,0,-0.253294529084611,0.127955511346651,0.247493174616081,0,0
RealEstateDiff,0,0,0,-0.169023045771836,-0.0780758747577734,-0.16099455359254,0,0.226156731929839,0,0,0,0,0,0,0,0,0,0,0,-0.137067525619989,0,0,0,-0.163986382295635,0,0,0,0,0,0,0,0.140301389390068,0,0,0,0,0,0,0.237075571259718,0,-0.0608865621022261,0,0,0,0,0,0,0,0,-0.102413808694277,0,0,0
