,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601998.CH.EQUITY,0,0,0,0,0,0.0471747192708256,0,0.0227349901540446,0.0335510330697896,0,0.467556817232884,0.115639626769941,0.0149159659890694,0,0,0,0,0,0.0439920301183557,0,0,0.0322800615345314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113600536123083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000539735321078064
X601658.CH.Equity,0,0,0,0,0.268337807293098,0,0.08760829442937,0,0.122695017491522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442017853491884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180227562262186,0,0,0,0,0,0,0.0255428780967527
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0.303471705290445,0,0,0,0,0.34531307984278,0,0,0,0,0,0,0,0,0,0,0.00750149441018418,0,0,0,0,0.0487086290112244,0.0597869563978203,0.139071147222362,0.00860084959275693,0,0.0115943095512163,0,0,0.0814263503469339,0,0,0,0,0,0,0,0,0,0,0,-0.221547901690287
X601077.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409496232157525,0,0,0.273819151574125,0.00626689709003511,0,0,0,0,0.113581095732585,0,0,0,0,0,0,0,0,0,0,0,0.147107593127484,-0.110600871062672,0,0,0,0,0,0,0,0.184468770959048,0,0,-0.071752541242205,0,0,0,0,-0.0378285779537449,0
X11.HK.EQUITY,0.0625871647610567,0,0,0,0,0,0,0,0,0,0,0,0.0592029581750568,0,0,0,0,0,0,0,0,0.0428410699130053,-0.132720068261211,0,0,0.374827920978856,0.205037846699136,0,0.0293446205951083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412036784743097,0.0211014640963583,0,0.298208437945859,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309293109514663,0,0,0,0,0,0.214145076246136,0,0,0.0130504013502914,0,0.165953952152264,0,0,0,0,0,-0.0209899817133512,0,0,0,0,0,0,0,0,0,0,0,0.00844759536643425,-0.0699459481139969,0,0,0,0.323146853382096,0,-0.312885685229324,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592937279953194,0.212871916751921,0,0.0585675126853762,0,0,0,0.131589452467335,0.107565182175446,0,0,0,0,-4.33680868994202e-19,0.0886455589622404,0,0,0,0,0,0.0485683987977764,0,0.152445630489227,0,0.010839198677006,0.000113839365884248,0,0,0
X2880.TT.EQUITY,-0.183066700898307,0,0,0,0,0,0,0,0,0,0,0,0,0.164549367476427,0,0,0,0,0.0454089414975547,0,0,0,0.242205477288761,0,0,0,0,0,0,0.10583938327395,0,0.394122111721773,0,0,-0.0722769246946591,0,0,0,0.183787851891076,0,0,0,0,0,0,0.0605383340658067,0,0,0.112521431467528,0,0.0322803951068856,0.0167906515923902,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242789146420279,0,0,0,0,0,0,0,0,0.265904276093899,0,0,0,0,0,0.373022611587781,0.0281211249391152,0,0,0.12220991583873,0.0443336941824561,0,0,0.120352270712551,0,0,0,0,0,-0.0697756575914118,0,0.095116247347393,0,0,0,0,0,0
X2886.TT.EQUITY,0,0.0351971084765523,0,0,0,0,0,0,0.311420767273502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0893781273509119,0,0,0,0.10974259564024,0,0,0,0,0.110067487301445,0.190232914884395,0,0,0,0,0,0,0,0,0,0,0.00721471135052527,0,0,0,0.110465264088823,0,0.0357239085780137,0,0.0851693192728783,-0.176761468079846
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0.180447891352577,0,0,0,0,0.0333368909555083,0,0,0,0,0,0.0019435152968558,0,0,0,0,0,0,0,0,0.0585323025510128,0.0118930992824787,0,0.552788510523525,0,0,-0.134480626137733,0,0,-0.0371415683022326,0,0,0,0,0,0,0,0.0438574222248597,0.139669267920295,0,0.0496022801579551,0,0,-0.0835158863563436,0
X2892.TT.EQUITY,0,0,0,0,0,0.033059449123085,0,0,0,0.0528617605244545,0,0,0,0,0,0,0,0,0,0.0163900467361183,0,0,0,0,0,0,0.01223968945175,0.337845722811291,0.15618187345096,0,0.195286686490439,0,0.0639761772871356,0,0,0,0,0,0.111497518981168,0,0,0,0,0,0,0,0,0.0206414711847103,0,0,0,0,0.0596611051706666
