,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600999.CH.EQUITY,0,-0.0906532852852095,0.278167512474429,0,0.215306139634286,0,-0.0383078737254566,-0.0585139940015871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169326518520271,-0.0230931803688274,0,0,-0.198914332237204,0,0,0,0,0,0,0.211944975609527,0,0,0.226873314797471,-0.0567492588729877,0,0,0,0,0,0.0652928660087297,0,0,0,0,-0.00656169800830773,0,0,0
X601066.CH.EQUITY,0,0,0,0.0572851965083707,0.0245565096962629,0,0,0,0.0332490916497164,0,0.169300499329146,0,0,0,0,0.0139223320163187,0,0,0,0,0,-0.333614727402571,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.371258245709414,0,0.215187012509418,0,0,0,0,0.153469011646444,0,0,0,0,0,0,0,0,0,0.0539093950788864,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375107239107157,0,0,0,0,0,-0.0389146966221293,0,0,0,0,0,0.207901637930483,0.0964514312457513,0.0704005502743728,0.359509846585412,0,0,0.0251691380496232,0.240156895730561,0,0,0,0,0,0,0,0,0.0795674320357737,0,0.0414376614948917,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.0885400123612437,0,0,0,0,0,0,0,0,0,-0.0466940547401752,0,-0.434343500255537,0,0,0,0,0,0.0765555329500795,0,0,0,0,0,0,0.239739820773008,0,0.404460950216346,0,0,0,0.17509893140285,0,0.314847591657628,0,0,0,0,0,-0.388480043391588,0,0,0,0,0,0,0.0316090205311066
X601881.CH.EQUITY,0.0338729564734116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192877568228666,0.104568477343078,0.140353096152026,0.427441666726414,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.151031483505093,0,0.0421523665872145,0.000432944959739344,0,0,0
X388.HK.EQUITY,0,0,0,0.256714854486685,0,0,0,0,0,0,0,0,0,0,0,0.248823323626766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.397325515721735,0,0,0,0,0,0,-0.0744013884448601,0,0,0,0,0.519480768471553,0,0,0,-0.0722577496823723,0.184982964818306,-0.121906986004408
X601318.CH.EQUITY,0,0.0839933822035611,0.339337812687613,0,0,0,0,0,0,0.109548725225204,-0.243994018052295,0,0,0,0,0,0.0772716269095333,0,0,0,0,0,0,0,0,0.091880280449053,0,0,0,0,-0.0161676970007812,0,0,0,0,0,0,0,0,0,0,0,0.0478869247347656,0.0939142556039515,0.262600057190083,0,0,0,1.73472347597681e-18,0,0,0
X601319.CH.EQUITY,0,0,0,0.0326260995208661,0.0449772771560957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14848248742739,0.175231037641868,0,0,0,0,0,0,0,0.0297110465518104,0,0,0,0,0,0,0,0,0,0,0,-0.204072074285759,0
X601336.CH.EQUITY,0,0.166986550365822,0,0.0597258517200182,0,0,0,0,0,0.0124787260655341,0,0,0,0,0,0,0,0,0.0195138844325438,0,0,0,0,0,0,0,0,-0.161723948559398,0,0,0,0.373959345931063,0,0,0,0.109718329092343,0,0,0,0,0.0905553546929336,0,0,0,0,-0.0454432152981389,0.502678005759934,0,0,0,0.260020835933082,0
X601601.CH.EQUITY,0.146449955534997,0,0,0,0,0.0736826157133166,0,0,0.238105996621479,0,0.194979663550118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128332603486542,0,0.0547705416743655,0,-0.206199287041291,0,0,0,0,0,0,0,0,0,0.165110074386323,0.194653030439232,0,0,0,0,0.187686424155168,0,-0.0861072812017734,0,0.0526749363105197,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568977239244285,0,0,0,0,0,0,0,0,0,0.121950497924111,0,-0.0308029313187602,0,0.110439641723325,-0.0501828411373233,0,0,0,0,0,0,0,0,0,0,0,0.241016830052821,0,0,0,0,0,0,0,0,0,-0.00293265953565579,0.0915837334989203
X1299.HK.EQUITY,-0.13779441963151,0,0,0,0,0.147856774471584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176991921253105,0.0949137927451557,0,0.057888883934606,0,0,0,0.0900345003056564,0,0,0,0,0,0,0,0,0,0.010102257376317,0,0.28611279486168,0,0,0,0,0,0,0,0,0.187360783166318,0,0,-0.130424479319977
X2881.TT.EQUITY,-0.325364154226815,0,0,0,0,-0.0320944577835065,0,0.133795195746244,0,0,0,0,0,0.296025461421521,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0341072661446708,0.281824843295068,0.0042483564664523,0,0,-0.181902603115767,0,0,0,0,0,0,0,0,0,0,0,0.278723214074472,-0.0504399610046496,-0.0421782527690477,0,0,0.491208511816608,0,0.0601097995359252,-0.0743406103790275,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589604479406857,0,0,0,0,0,0,0,0,0,0,0,0,0.0103873638167136,0,0,0,0,0,0.0217673493399426,0,0,0.0296940719317599,0,0,0,0,0,0,0,0.100443673322113,0,0,0.350415080314109,0,0,0,-0.0631885540026332,0
X267.HK.EQUITY,0,0.160501655888015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475780996458356,0.633258679953191,0,0,0,0,0,0.0485158978229664,0.23429865251009,0,0,0.0776069571569064,0,-0.172567378620672,0,0,0,0,0,0,0,0,0,0,0.0198946098202031,0.0641509731983264,0.0609513966995698,0,0,0,0,0,0.00335559405161139
MKRturn,0,-0.433379688486757,0,0,0,0.421203817501616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243815176133806,0.252561684774631,0,0,0,0.414580956106956,0,0,0,0,0,1.73472347597681e-18,-0.418749778572465,0,0.0550382959382574,0,-0.281570054880073,0,0.109844831397934,0,0,0,-0.0586083742848196,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0.0438223467671409,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0582988547793709,0,0,-1.73472347597681e-18,0,0,-0.0917902464994743,0,0,0.103804168948941,0,0,0,0,0,0,0,0,0,0,-0.103401920204601,0.0310536793907799,-0.00441085522427807,0,0,0,0,0,0,0,0.00278289835700659
RealEstateDiff,0,0,0,0,0,0,0,0,0,0,-0.394265833401452,0,0,0,0.103267960047077,0,-0.111427701517638,0,0,-0.059019364600941,0.034207114983901,0,0,0,0.0514479315933963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191543313603569,0.0533644277021702,0,0,0.0924992101967121,0,0.138224871949239,0,0,0,-0.0616898145105107,-0.0983824042988782,0.0200925801859491,0
