,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.00403922340834077,0.371289440743218,0,0,0,0.139187734336918,0,0,0,0,0,0.0582532666063505,0,0,0,0.06553491594745,0,0,0,0.180049752347029,0.0309994752782401,0,0,0,0,0,0,0,0,0,0.0354738339479716,0,0,-0.0531394342817453,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070983518613555,0,0,0.00955068252868769,0,0,0,0,0,0,0,0,-0.0664783653206894,0,0,0,0,0,0,0.412972235266014,0,0,0,-0.0150110194726931,0,0,0,0,0.0382989652234959,0,0,0.203837358414391,0,0,0.311370741051614,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336997053872225,0.0608747033726074,0,0,0,0,0,0,0.0660019934250727,0,0,0,0,0,0,0,0,0,0,0.23083578663254,0,0,0,0,0,0,0,0,0,0,0,0,0.0392728451793329,0,0,0.151354790158601,-0.17898294495858
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.328753755220024,0,0,0.288209975097839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151980900789483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043905702145467,0,0.248101531724603,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00911397040216482,0,0,0,0,0,0.0482378481070916,0.239093705418886,0,0,0,0,0,0,0,0,0,0.0589112087495459,0,0,-0.0553233717499286,0,0,0.457986103927992,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-6.93889390390723e-18,0,0.144751946575411,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0.1610900010347,0,0,0,0,0.166547038616754,0,0,0,0,0,0,0.00522540583116865,0,0,0,0,-0.15470400708075,0,0,0,0.0292496172691846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707488688054791,0,0,0,0,0.660036079600187,0.0594080287880694,-0.110965782573261
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586657553210771,0.0461811320691638,0.109947425788959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301560474094356,0,0,0.222664503004443,0,0,0.0279769233344232,0,0,0,0.108351599232304,0,0,0.337021224795609,0,0.0442620581824616,0
X601336.CH.EQUITY,0,0,0.11929436210032,0,0,0,0,0,0,0,0,0.0735593185196076,0,0,0,0,0,0,0,0.147947332807337,0,0,0.122649388942814,0,0,0,0,0,0,0.0106719576960059,0,0,0,0,0,0,0.074741739517462,0.202703986902629,0,0,0,0,0.108381151136713,0,0,0.0927279765456488,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.00550310239257891,0,0,0,0,0,0,0,0,0.165805039348593,0,0,0,0,0,0,0.0341474095388964,0,0,0,0,0,0,0,0,0,0.0214525595121727,0.177065521806686,0.0374528894817306,0,0.25204321764061,0,0,0.197916556668276,0.00546088700760522,0.169830405093576,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0552677267422945,1.73472347597681e-18,0,0.189619423246051,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.218070898819502,0,0,0,0,0,0,0,0,0,0,0.0286749970773847,0,0.091505427898183,0,0.030288491753126,0,0,0,0.156246114096156,0,0,0.260535074429897,0,0,0,0
X600015.CH.EQUITY,0,0.0775945127774569,0,0,0,0,0,-0.0923893768064177,0.0563195812446475,0,0,0.299659880189747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330068205954357,0,0,0.298105307138453,0,0,0.00424135856274072,0,0.00384626973183919,0,-0.0272741920905238,0,0,0,0,0,0,0,0,0.045348074483372,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0.000680748948219824,0,0,0,0,0,0,0,0.017336294931386,0,0,0,0,0,0,0,0,0,0.0698673866910581,0,0,0,0,0,0,0,0,0.0889724311023775,0,0.65894768546184,0,0,0.0461047196942668,0,0.0861484719279623,0,0.0288150781098147,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.162838107076053,0,0,0,0,0,0,0,0,-0.113238002303035,0,0,0,0,0,-0.00248974534963092,0.157883582973285,0,0,0,-0.0110808732929375,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.188910664990746,0,0,0,0,0,0,0,0.46217185170502,-0.106386934311214
X2886.TT.EQUITY,0,0,0,-0.262488861832447,0,0,0,0,0.0375231046377522,0.30226052918894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370976898206856,0.0536336914142581,0,0,0.188860423708905,-0.226610703980353,0,0,0,0.115285971143684,0,0,0,0,0,0,0,0,0,0,0,0.801815441379687,0,0
macro_return_add,0,0,0,-0.0748298710567743,0,0,0,0,0,-0.449941066846239,0,0,0,0.184604154463436,0,0,0,0,0,-0.292815556449518,0,0,0,0.344677773849196,0,0,0.876048261837789,-0.209180030618938,0,0,0,0,-0.158325279455565,0.0585975151055396,0,0,0,0,0,0,0,-0.418417508768895,0,0,0,0,0,0,0,-0.278176443365308,0
