,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.110671654192394,0,0,0,0,0,0,0,0,0,0,0,0,0.275877560587123,0,0,0,0,0,0,0,0,0.124672692659534,0,0,-0.0263153567257193,0,0.0186684765686504,0,0.0137232318244151,0.321733074965434,0,0,0,0.193280697489744,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0338244044516132,0.00637885640654208,0,0,0,0,-0.00913036441701573,0,0,0,0,0.0905100616001352,0,0.107470009812222,0,0,0,0,0,0,0,0,0,0,0,0.0659326141898533,0,0.162718467493583,0.0373220357425989,0.113754896780687,0,0,0.0792606041576082,0,0,0,0,0,0,0,0,-0.0426338075701133,0.0483244160596073,0.017922126404603,0.0896938861082856,0,0,0,0,0
X1109.HK.EQUITY,0.121390084938256,0,0,0,0.0246054744383701,0.0159435529430476,0.085095700315697,0,0,0,0,0,0,0,0,0,0.139197189868948,0,0,0,0,0,0,0,0.22207952037944,0,0,-0.0947856176263218,-0.183046857753723,0.0729295188769327,0,0,0,0.288975120722564,1.73472347597681e-18,0,0,0,0,0.0626556741666993,0,0,0,-0.235649726523846,0,0.369892225718444,0,0,0,0,0.187213356000644,0
X601998.CH.EQUITY,0.237565889645736,0,0,0,0,0,0,0,0.0097998047606547,-0.0659428054015963,0,0,-0.00333685617720963,0,0,0,0,-4.33680868994202e-19,0.0757503427617843,0,0,0,0,0,0,0,0.00643262163016309,0,0,0,0,0,0,0,0,0,0.0838425221319336,0,0,0,0,0,0,0,0,0,0.106879248212335,0,0.549221306035102,0,-0.0560425618473567,-0.0820600154502368
X688.HK.EQUITY,0.257095191255507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305509816890158,0,0.149278927291612,0,0,0.0226279190716706,0.0535457329547256,-0.138695544682009,0,0.132599811233243,0.488858036695133,-0.0732405121311041,0,0,-0.149400803405645,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0878802395026489,0,0,0,0,0,0,-0.00157059918946533,-0.151608962144591
X300059.CH.EQUITY,0,0,0,0,0,-0.0465137360377485,0,0,0,0.244331815104866,0,0,0,0,0,0,0,0,0,0,0,0,-0.060242227268032,0,0,0,0.00910578769486997,0,0,0,0,0,0.212599635238974,0,0.0449320338184165,0.113620240578925,0.0232740789936208,0,0.0104797487668269,0,0.00259489537894566,0,0,0,0,0,0.174467232595287,0,0.0418316743816954,0.155024432028866,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.11682309454178,0,0.524124497570021,0,0,0.0743421431799562,0,0,0,0,0,0,0,0,0.0822589287380418,0.0372567086299531,0,-0.140370626782372,0,0,0,0.170610123573323,0,0.00811096687099516,0,0,0,0,0,0,0,0,0.022488611176587,0,0,0,0,0,0,-0.086559121767577,0,0,0,0.118405393320738,0,-0.0289374816727133
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.306291279075043,0,0,-0.159678972495594,-0.0391098214179937,0,0,0,0,0.108843687735341,0,0,0.369976863694104,0.191349864287436,-0.22403576150766,0,0,0,0,0,0,0,-0.312080163022865,0,0,0.421725776860913,6.93889390390723e-18,0,0,0,0,0,0,0.127134216842867,0.23290712940654,0,0,0,0,0,0,0,-0.203353297136072,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681647498634724,0.027071106094033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12124704069757,0.0977636856814518,0,0,0,0,0,0,0,0,0,0.0830505868459508,0,0,0,0,0,0,0,0,0,-0.178389969411101,0
X002142.CH.EQUITY,0,0,0,0,0,0.447856664110263,-0.235630812924462,0,0,0.222665104030012,0,0,0,0,0,0,0,0,0,0,0,0.103968304488722,0,0,0,0,0,0,0.158117033122333,0,0,0,0,-0.0758844515231272,0,0,0.294443013697304,0,0,0.0841407554117582,0.192405247798815,0,-0.0627773494427744,0,0,0,0,0.0650762743944537,0,0,0.0613734742753622,0
X2007.HK.EQUITY,0,0,0,0,0,0,0.189768684860226,0,0,0.0488055782173205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169260644960114,0,0,0,0.150925977719659,0,0,0,0,0.359515976945866,0,0,0,0,0,0,0,0,0,0.117706442806197,0,0.0900155421883926,0,-0.168017073399068,0,0,0,0
X601818.CH.EQUITY,0,0.13804294939187,0,0.164307948603528,0,0,0,0.0681950315191806,0,0,0,0,0,0,0,0,0,0.0654126087039598,0.0744844470993422,0.0903591940492007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150872600183749,-0.0268210048169264,0,0,0,0,0,0,0.0529750085977468,0.0980089592135087,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.169835180489355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150998570015872,0.00368614060735172,0,0,0,0,0,0,0,0,0.285263731102103,0,0.123446940407264,0.0571414108563867,0,0,1.73472347597681e-18,0,0,0,0,0.166769903256024,0,0,-2.16840434497101e-19,-0.00119040938786068,-4.33680868994202e-19
X267.HK.EQUITY,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0488026542522472,0,0,0.368626437989939,0,0,0,0,0,0.0436498064657972,0,-0.120094364032419,0,0,0,0.341763412557578,0,0,0,0,0,0,0.0624689798692495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685369850836132,0
