,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X001979.CH.EQUITY,-0.113268154131127,0,-0.139241412438565,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.168874026844266,0.105540154398982,0,0,0.0419739216636097,0,0,0,0,0,0,0,0,0,-0.136212986273793,0,0.288038631341194,0.10804987650922,0,0,0,0,0,0.0770266776228659,0,0,0,0,0,0.515783340252209,0.209740260347618,0,0,0,0,0,0,0,0.0710422185114812
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243771542079439,0,0,0,0.218087354567667,-0.194706709954292,0,0,0,0.405222850606966,0,0.0436738940393821,0,0,0,-1.73472347597681e-18,0,-0.0246029440890118,0,0,-0.0354070276929334,0,0,0.0971825353368272,0,0,0,-0.0792824682110685,0,0,0
X002142.CH.EQUITY,0,0.22101765141708,0.354954150833072,0,0,0,0,0,0,0.0142229741049619,0,0,0,0.174952981712568,0,0.0862545640364204,0,0,0,0,-0.151375970176448,0,0,0,-0.111782976853228,0,-0.0774414841334684,0,0,0,0.0333015173855878,0,0,0,0,0,0,0,0,0.0770438441170844,0,0,0,-0.051798129430127,0,0,0.146924946851812,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.158439749774914,-0.0698025342652774,0,0,0,0,0,0,0.0358121794445794,0,0.181886511473628,-0.0164149731770621,0.00201787749446027,0,0,-0.0318028310145178,-0.0785685519774443,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0806575301808571,0,0,0.468234602204123,0,0.117788342841332,0,0.0702978453749742,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.108955374242209,0,0,0,0.0714168656202611,0,0,0,0,0,0,0,0,0,0.0490895313153925,0,0,0,-0.0147916267399632,0,-0.168043228945633,0,0.0337690740927464,0,0,0,0,-0.083527103848546,0.233622346789774,0,0,0,0,0,0,0,0,0,0,0.220103655821539,0.256909233960358,0,0
X601229.CH.EQUITY,0.0638085143918101,0,0,0,0,0,0,0,0,0,0,0.0768295793430095,0,0.0929113064487033,0,0,0,0.112872403091553,0,0.110664592017249,0,0,0,0,0,0.0411114704705236,0,0,-0.089577730660204,0,0,0,0,0,0,0.412370538812585,0,0,0,0,0.0930710773077768,0,0,0,0,0,0.182067717871662,0,0,0,0
X601336.CH.EQUITY,0,0,0,0.129484812171709,0,0,0.129357835417826,-0.0929894744359628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184601799273019,0,0.0195110619727841,0,0,0.275806787644895,0,0,0.196682199027966,0,0,0,0,0,0.0200749048615118,0,0.135684991497774,0,0.184952640411023,0,0,0,0
X600015.CH.EQUITY,0.0910925143989573,0,0,0.0989075137676561,0,-1.35525271560688e-20,0,0,0,0,0,0.0427818125231401,0,0,0.0408382521024627,0,0,0,0.0050429414697772,0,0,0,0,0,0,0,0,0,0,0.0367570316658052,0,0,0,0,0,0,0,0,0.0287148965475056,0,0,0.440584249226175,0,0,0,0.0804361766862804,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,-0.368546040594438,0,0,0,0,-0.0172187607906541,-0.0354404841300217,-0.115646562444535,0,0,0,0,0.0344302916127306,0,0,0,0.112571359221628,0.174404678758964,0,0,-0.0280450665584574,0,0.106497168215208,0,0,0.354522588253585,0,0,0,0,0,0,0.849223001812815,0,0,0,0,0,0,0,-0.115265684070722,0,0
X2882.TT.EQUITY,-0.0306860594029502,0,0,0,0,0,0.104871736097065,-1.38777878078145e-17,0,0,0,0,0,0,0,0.106006460565303,0,0,-0.0288507792722086,0,0,0,0,0,0,0,0,0,0.0470951090734478,0,0,0,0,0,-0.0784138738260483,-0.049677600588429,0.0126596056268311,0,0,0,0,0,0,0,0,0.188912192294731,0.272042401151965,0,0,0,0
X1997.HK.EQUITY,0.141911004601593,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0783801249341438,0.0772539861026359,0,0,0,0,0,0,0,0,0.0176138066229988,0,0,0,0,0,0,0.24093233689323,0.13332323960851,-0.248676066489401,0.27359768650451,0,0,0,0.192885652436534,0,0,0,-0.063659178203975,0,0,0,0,0,-0.0324257750977169,0,0
X000166.CH.EQUITY,0.1031217181084,0,0,0,0,0,0,0,0,0,0,0,0.0374507007505523,0,0,0,-0.0153738212252267,0,0,0,0,0.00253665261783025,0,0,0,0,0.0188108984427225,0,0.0661570062096073,0,0,0,0,0,0,0,0,0,0,0.0773739230133496,0,0,0,0,0,0.368774560206544,0,0.254817788946657,0.244080881131016,-0.0374279304575876,0
X600999.CH.EQUITY,0,0,0,0,0.133139317565104,-0.00877836452435665,0,0,-0.0164979765536022,0,0,0,0,0,0.0525617358238518,0,0,0,0.188998766142585,0,0,0,0.123968082377162,0,0,0,0,-0.0994243389140836,0,0,0,0,0,0,-0.0771802377924995,-0.0104224731666512,0.273012602391401,0.232122665906233,0,0,0.0737621697798148,0,0.00276346988549414,0,0,0,0,0,0.0871781451543841,-0.00107958659824047,0.0561173501081723
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.292193081171628,0.223960590396378,0,0,0,0,-0.171491262685503,0,-0.305583581776174,0,0,0,-0.479625329043065,0,0,-0.0448361021988223,0,0,0,0,0,-0.119735285480073,0,0.442272093358246,0,0,-0.170953041499862,0,0.14731061013194,0,0,0.366611183492492,0.392717832340763,0,0,0,0,0,0,0,0,0,0.0966318777963777,0
X300059.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0.217783629762639,0,0,0,0,0.0438683394595874,0,-0.00616643968798878,0,0.184590213608141,0,0,0.0270774191567024,0,0,0.334158098857512,0,0,0,-0.0502213585101387,0,0,-0.178590817870009,0.0993825976375216,0,0,0,0,-0.030896126566938,0.00303289221096298,0.037980288859875,0,0,0,0,0,0,0.230343146316078,0,0,0,0,-0.11036837006848,0
X002736.CH.EQUITY,0,0,0.0143784670014203,0,0,0,0,0,0,0.132906911136438,0,0.00073501224369453,0,0,0,0,0.0805583152072791,0,0,0.0883524772222661,0,0,0,0,0,0,0,0,0,0,0,0,0.130968215289942,0.320209589947157,0,0.029304728145888,0,0,0,0,0,0,-0.117671581376101,0,0.274697140641361,0.136520745223596,0,0,0,0,0.164017637526045
FXI.US.EQUITY,0,0,0,0,0,-0.0258854800765394,0,0.0254656595376925,0,0,0,0,-0.0197924654136569,-0.0242714751026858,0,0,0,0,0,0,0,0.422388179256503,0,0,0,0,0,0,0,0,0,-0.0777232111107541,0,0,0,0,0,0,0,0,0,0,0,-0.0320425555141191,0,0,0,0,0,0,-0.54433591461185
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.155513817213723,0,0,0,0,0,-0.0492778062076743,0,0.0478408532430986,0.0779075331594624,0,0,0,0,0,0,0,0,0,0,-0.0530813237044404,-0.0900513721147467,0.0985272768668452,0,0,0,0,0,0,-0.0329767578810646,0,0,-0.204204580665026,0,0,0,0,0.0841683266640853,-0.946090934004619,0
