,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140424010093156,0,0,0,0,0,0,0,0,0.125502491837566,0.0311464231830862,0,0,0,0,0,0,0,0.188092614980043,0,0.0710133891178449,0,0,0,0.160864859418009,0.134780153627703,0.0218591586132183,0,0,0,0.0907384657883932,0,0,-0.0658433861490593,0
X600837.CH.EQUITY,0,0,0,0,0.110405060288826,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657776018963255,0,0,0.025583385774854,0,0.00324064088893321,0,0,0,0,0,0,0,0,0,0,-0.0919431226435616,0,0,0.0830442568609271,0.478010233233892,0,0,0.204071064816676,0.133308369079779,0,0,0,-0.00735052512427603,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.110739277668104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685609212250165,0,8.67361737988404e-19,0,0,0,0,0.000182138465677519,0,0,0,0,0,0,0,0,0,0.620106871373672,0,0,0,0,0,0,0.114396672833384,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159484174731505,0,0,0,0,-0.0169751869880878,0,0.00556983692031886,0,0,0,0,0,0,0,0,0,-0.0511179540627826,0,0,0.236950561417547,0.0202948253685228,0.74155752400079,0,0,0,-6.93889390390723e-18,0.0532423096222525,0,0,0,0,0.0464084893706914,0,0,0,0,-0.188052979445655
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,-0.00802047717217674,0,0.0683368290730968,0,0,0,0,0,0.043352815456308,0,0,0,0,0,0.102510767507514,0,0,0,0,0,0,0,0,0,0,0.0402101578580874,0,0,0,0,0,0,0,0,0,-0.0393295597650826,0,0.0991072743503501,0.149680214042916,0.418168738258779,0,0,0.0131890270146857,-0.111445811038723
X601318.CH.EQUITY,0.0272607440521037,0,0,0.0161718444965957,0,0,0,0.00943337738510414,0,0,0,0,0,0,0,0,0,0.0271097596651996,0,0,0,0.00269117207312035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602316684415095,0,0,0,0,0,0.0152476392149249,0.582608449970965,0.16195757006059,8.67361737988404e-19,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0.0547153256913616,0,-8.67361737988404e-19,0,0,-0.0286040023229957,0,0,0,0,0,0,0,0.0193639918532904,0.252773029606161,0,0,0,0,0,0,0.0296388379472487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134199365885117,0,0,0,0,0.0613989832269373,0.400861906507993,0.0209149591696719,0,0,0,0,0,0,0
X601336.CH.EQUITY,0.030116703447866,0,0,0,0,0,0,0,0.0517048133152255,0,0,0.0858786109426324,0,0,0,0,0,0,0,0,0.184207384712117,0,0,0,0.162173433724895,0,0.0810483550798206,0,-0.0687798440581731,0,0,0,0,0,0,0.35970537659249,0,0.419584610565858,0,0,0,0,0,0,0,0,0,0,0,0.218048861341398,0,0.059645238476672
X601601.CH.EQUITY,0.166940002270893,0,0,0,0,0,0,0.0792073181548652,0.0259623638385756,0,0,0.0988779276356522,0,0,0,0,0.0695237626718093,0,0,0,-0.0466361956337803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380656927515388,0,0,0,0.148116251822766,0,0,0,-0.0472172889108728,0,0.183128779296151,0,0
X601628.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.242819859392779,0,0,0,0,0,0.00419055133126237,0.206813811012975,0,0,0,0,0,0,0,0,0,0,0.10481678811207,0,0.159497519049516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.343079886522278,0,0,-0.0621110047730278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107548644410183,0,-4.33680868994202e-19,0.0495968809150436,0,0,0.0328203516395657,0,0,0,0,0.0769158464360381,0.210495115438706,0.0577791482499633,0.191250978018971,0,0,0,0,0,0,0.0437454349480012,0,0,-0.0325546033772373,0,0
X2881.TT.EQUITY,0,0,-0.0349769949663741,0,0,0,0.398695062071257,0,0,0,0,0,0,0,-0.131955563449818,0,0,-0.0275957012768693,0,0,0,0,0,0,0,0,0.191641475534532,0,0,0,0.0261534588834511,-0.107975444386365,0,0,0,0,0,0,0,-0.111848181767987,-0.0220598983171319,0,0,0,0,0,0.707637087574939,0,0,0,0.165814805137941,0.0631812458419131
X2882.TT.EQUITY,-0.0380132138973048,0,0,0,0,0,0,0,0,0,0,0,0.0198659352981549,0,0.0733473942077338,0,0,0,0,0,-0.0872962706056795,0,-0.135276110314942,-0.0173879772427528,0,0.0850987397578238,0,0,0.034365359914256,0,0,0,0,0,0,0,0,0.167229224026776,0.220171494866095,0,0,-0.098676935194353,0,0,0,0.676787621604804,0,0,0.128436566405653,0,0.0466763125509463,-0.0505350592280572
X2883.TT.EQUITY,0,0,0.0463080451674934,0,0,0,0,0,0,0,0.225057181905754,0,0,0,0,0.0191532842384182,0,0,0,0,0,0,0,0,0,0,0.111416322507088,0,0,0,0,0.316144229078164,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.205542385079209,-2.77555756156289e-17,0,0.14279937141628,0,0,0
X2888.TT.EQUITY,0,0.00760944871541372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207033132150621,0,-0.0799666214406981,0.119776441370275,0,0,0,0.027490505706066,0,0.10996538399358,0.233801885982387,0,0,0.016848652601472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.3753117399577,0,0,0,0
X267.HK.EQUITY,0,0.0435691270383993,0,0,0.0857361893297235,0,0,0,0,0.210506339278564,0,0,0,0,0,0,0,-0.148172814353859,0,0,0,0,-0.123330016371194,0.42860086093362,0,0.0852927702803014,0.15824704056917,0,0,0,-0.14265073880565,0,0,0,0,0,0,-0.115149907936652,0,0,0,0.0351334138970846,0.145782130680238,0,0,0,0,0,-0.123047568944139,0,0,0
MKRturn,0,0.18800043427839,0,0,0,0,0,-0.102103079490701,-0.154508626526355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145689163764243,0,0,0.0613317203175892,0,0,0.149293173496698,0,0,-0.0732745031442985,0.129393430359115,0,0.158774919954047
TED,0,-0.166779076726807,0,0,-0.11976420429464,0,0,0,0,0,0,0,0,0.0325423313277833,0,0.0601425797604633,0,0.0107432430269797,0,0,-0.0837309077136551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078934067660597,-0.111840483113396,0,0,0,0,0.175430585883543,0.027360110711297,0,0,0,-0.0153914707671724,-0.0410156759057149,0
