,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617782305812315,-0.129603386572556,0,0,0.0345897586986873,0,0.0480909313573186,0.373507314848892,0,0,0.218123839078959,0.0450454097806415,0,0.00401949332016876,0,0.201093683953457,0,0,0,0,0,0,0,0,0,0,0,-0.000378989745354201
X600958.CH.EQUITY,0.0166154690107337,0.0334681920822075,0,0,0,0,0.00668568809725338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427339268701937,0.0425168736563472,0.335020302720832,0,0,0,0,0.216202403515596,0,0,0,0.18238482754647,0.079663152858753,0.109980605945748,0,0,0,0,0,0,0,0,0,0,0,0.0307564515209989
X600999.CH.EQUITY,0,0,0.17130509608148,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569699769085719,0,0,0,0.0538223255350991,0,0,0,0,0,0,0,0.0476272890196534,0,0,0.225856990318252,0,0,0,0.428629007646219,0,0.0269371335597058,0.112332502968725,0,0,0,0.168563755877741,0,0,0,0,-0.096716608480038,0,0
X601066.CH.EQUITY,0.0581717628948622,0,0,0,0,0,0.0290826807420023,0,0,0,0.113084939993434,0,0,0,0,0,0,0,0,-0.0461722341487682,0,0,0,0,0.122846806280137,0,0,0,0.127846373730446,0.249760166227361,0,0,0,0,0,0,0,0.197563605658836,0,0,0,0,0,0,0,0,-0.187935847639303,0,0,-0.0285661793620546
X601211.CH.EQUITY,-0.0564246884670508,0,0,0,0,0,0,0,-0.011555083454906,0,0,0,0,-0.040511232742124,0,0,-0.0327796045118981,0,0,-4.33680868994202e-19,1.73472347597681e-18,0,0.0338480828695528,-0.0690943932944395,0,0,0,0.0280225902768025,0,0.107728837791546,0.216099036800505,0.0555027162534335,0.212776889171697,0.332213190151038,0,0,0,0.0797484984231234,0,0,0,0,0,0,0,0,0.0154372557420768,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.118216480049369,0,-0.0606596528019197,0,0,0,0,0,0,-0.0716993637840045,0,0,-0.452520832084302,0.0584953620902592,0,0,0.0709258253262095,0,-0.0248831575735551,0,0,0.0350451503599852,0.557830703663064,0,0.401915979463395,0,0,0,0,0,0,0,0.307540051296613,0,0,0,0,0,-0.173213694560264,0,-0.122663498207438,0,0,0,0
X601881.CH.EQUITY,0,-0.00350031873479553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417976677699387,0,0,0,0,0,0,-0.0199218512826337,0,0,0,0.0356686679159603,0.257591668771684,0.35102229767069,0,0,0,0.0537792305658318,0.089387174804851,0.0655185238546087,0,0,0,0.00791017945134864,0,0,0,0,0,0,0.170479718769202,-0.0796006464077881,-0.0666042600346554
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139027778540973,0,0.020074238683384,0,0,0,0,0.0296586604064568,0,0,0,0,0,0,0,0,-0.455249708149351,0,0.46517915413809,-0.00789806772110898,0,0,0,0,0,0,0,0.114361041801416,0,0.517262338198256,0,-0.0550701302334896,0,-0.0463764087514241,0.0228696837458826
X601318.CH.EQUITY,0.0648129826464792,1.73472347597681e-18,0.130409615174452,0,0,0,0,0.042137189445551,0,0,0,0,0,0,0,0,0,0,-0.00895333136882076,0,0,0,0,0.0526103689601154,-0.0368615216006358,0,0,0,-0.00441042812549134,0,0,0,0,0,0,0,0,0,0,0,0,0.441079692065534,0.224305875676591,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.0529991780254868,0,0.0783499940909178,0,0,0,0,0,0,0,0,0.00298152520034736,0,0,0,0,0,0,0,0,0,0.39971369929311,0,0,0,0,0,0.0273255163691537,0,0,0,0.119710717835082,0,0,0,0,0,0,0.0707494040201205,0,0,0,0,-0.13575189938022
X601336.CH.EQUITY,0,0,0,0,0,0.0770479398529165,0,0,0,0,0,0.321644028236804,0,0,0,0,0,0,0,0.0677793516336771,0,0,0,0,0,-0.149066110893268,0.087670381594458,0,0,0,0,0,0.0310363733607594,0,0.0611978854908128,0.00284268733933392,0,0,0,0,0,0,0,0,0,0,0.164144997917629,0,0,0
X601601.CH.EQUITY,0.41180646367209,0.107210255280134,0,0,0,0,-0.159325984433587,0,0,0,0,0,0,0,0.0881176655592865,0,-0.191269600870845,0,0,0,-4.33680868994202e-19,-0.0549083152128449,0,0.201271147356649,0,0,0,0,-0.0371771078564768,0,0,0,0,0,0.0781897124588232,0,0,0,0,0,0,0,0,0.278186780637803,0,-0.00513957000218247,-0.0627031696659997,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.0164457189707106,0,0,0.0518255697057551,0,0,0,0,0,0,0,0.0226324243520036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109420593342667,0,0,0.0193379105340699,0.346674693284315,0.182942650678819,0,0,0,0,0,0.16335078056527,0
X1299.HK.EQUITY,-0.0622102803692343,0,0,0,-0.00210813447356935,-3.46944695195361e-18,0,0,-0.130422135842813,0,-0.221757998463828,0,0,0,0,0,0,0,0.284579626275405,0.112632552030861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.364155434585949,0.215949738084162,0,0,0,0,0,0.0541385218958541,0,0.1543095567595,0.0560451017827359,0
X2881.TT.EQUITY,-0.147946197244086,0,0.197450461990206,0,0,0,0,0,0,0,0,0.0155448925932056,0,0,-0.0335731172090796,0.0375710560938286,0,0,0.187745028901932,0,0,0.170839599888602,0,3.46944695195361e-18,0,0.0509478965061688,0,0,0,-0.152501165478116,0,0,0,0,0,0,0,0,0,0,0,0.151810054075828,-0.218175875200967,0.214022172610632,0.0311749238326353,0,0.315528544197224,0,0.109485864402858,-0.035725949491312
X2882.TT.EQUITY,0,0,0.235800048371963,0,0,0,0,0,0,0,0,0,0,-0.19319645657316,0,0,0,0.00966624877082412,0,0,0,0.0698714193479162,0,0,0,0.0806188409714109,0,0,0,0,0,0,0,0,0,0.0383898777030298,0,0,0,0,0,0.0580935761379573,0,0,0,0.294037691592919,0,0,0.0955524141334121,-0.00503220505590809
X267.HK.EQUITY,0,0,0.0920816480999984,0,0,0.0316897429439932,0,0,0,0.00284798107301904,0,0.0290256474174645,0,0,0,0,0,0.00694809088802166,0,0.0225649097984934,0,0,0.0246308377632686,0,0.177758463142625,0,0,0,0,0,0,0,0,0,0,0,0,0.103690341096881,0.273789240870577,0,0,0,0,0,0.0512320210808302,0,0,0,0,0.0881401766064048
MKRturn,0,0,0,0,0,0,-0.0678754754165535,0,0,0,0,0.474752964880598,0,0,0,0,0,0,-0.0612870450444548,0,0.0600702328013728,0,0,0.369168161452499,0,0.192672199415131,0.279792440271524,0,0,0,0,0,0,0,0,0,0.330331956048448,-0.556604106700732,0,0,0,0,-0.237078095255097,0,0,0,0.17395059379151,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551157698336896,0,0,-0.0573831556453849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612674635994866,0,0,0,0,0,0,0,0
