,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601288.CH.EQUITY,0.0456559527159985,0,0.099230833456676,0.00963234286950694,0.00995812306085593,0,0,0,0,-0.0564794684073762,0,0.249459638036193,0,0,0.4169252867849,0.176240765778232,0,0,0,0,0,0,0,-0.0571005156176747,0,0,0,0,0,0,0,0,0,0,0,0,-0.024093821010492,0,0,-0.0797983243119441,0,0,0,0,0,0,0.0484855074465633,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0475317894031371,0,0,0,0.0974832408378563,0.0426847633648461,0.32140185365656,0,0.300612240386766,0,0,0,0.150890570687458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626105254932759,0,0,0.0342979102052004,0,0,0,0,0,0,0,0,-0.0221281473621655,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,1.38777878078145e-17,0,0,0,0,0,0,0.0345924778321477,0,0,0,0,0,0,0,0.329745013004031,0,0,0.0223080250243561,0,0,0,0.0164788785620739,0.0674877310301911,0,0,0,0,0,0,0,0,0,0,0,0,-1.05485349486456,0.0208611520380597,0,0,0.0233510825021725,0,0,0,0,0,0.485290374871877,0,0.0375143583639393,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403372946568307,0,0,0,-0.0579136960381222,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243972417039848,0,0,0.220456401414172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00355288110133357,0
X601939.CH.EQUITY,4.33680868994202e-19,0,0.105757448104085,0,0,0,0,0.0679308571561027,0.112297959770652,-0.0173252125105379,0.42105058454515,0.110503966086527,0,0.077065741028867,0,0,0.0482059706975512,0,0,0,0,0,0,0,-0.130644684253701,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.150467235521366,0,0,0,0,0,0,0,0,0.00965866798667965,0,0,-0.101575873897626
X601988.CH.EQUITY,0.136217713777104,0,0,0,0,0,0.219399326134814,0.00718277913147547,0,0,0.315390620016552,0,0,0,0,0,0,0.458670731680488,0,-0.0582487385389058,0,0,0,0,0.0986696686567456,0,0,0,0,0,0,0,0,0.233700486186998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202173383750495
X601998.CH.EQUITY,0,0.0634375057707966,0.0556854840091559,0,0,0,0.0244197109366854,0.0326746815695684,0.137162426457387,0,0,0.124845855017487,0.30053756288303,0.156054047282004,2.77555756156289e-17,0.0650537671234507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264970342241311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0.0714173364239152,0,0,0,0,0,0.234540386484229,0,0,0,0.111115597766917,0,0,0,0,0,0,0,0.0397374191437826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120677886955823,0,0,0,0.275565100218651,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0.0095064610674753,0,0.156633023572059,0,0,-0.0223121474225876,0,0,0,0.327384952697625,0,0,0.243096429289769,-0.27211442982201,0.315016691560063,0,0,0,0.156068229458032,0,0,0,0,0.0280968780903366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,-0.0242017765045358,0,0,0.040918491229495,0,0,0,0,0,0,0,0,0,-0.0703069675715653,0,0,0,0,0.269093734471505,0.288999513244956,0,0.0151446703392729,0,0,0,0,0,0,0,0.0454735372812281,0,0.123526338422418,0,0,0,0,0,-0.00980453020530765,0,0,0,0.0155932612747839,0,0.236098477088474,0,0,0,0,0.015926948544215,0
X2388.HK.EQUITY,0.0633862058977703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483720946971421,0,0,0,0,0,-0.0552823795283658,0,0,0,0,0,0.00950853041959423,0,0.0801767550980649,0,0.0939188119641917,0,0,0,0,0.0688385511784029,0,0,0.053466652234972,0,0,0.279869630606359,0,0,0,0.0230343343263958,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0397067280312202,0,0,0,0,0,8.67361737988404e-19,0,0,0.621235028370066,-0.437297195806691,0,0,0.126814734132589,0,0,0,0,0.0116274200647605,0,0,0,0,0,0,0.103186519753701,0,0,0,0,0,0,0,0,0.00755430706844809,0,-1.38777878078145e-17,0,0.0804631674301605,0.603425594279372,0,0
X2884.TT.EQUITY,0,0.0851263644307309,0,0,0,0,0,0,0,0,0,0,0,0.0325283341511572,0,0,0,0,0,0,0,0,0,0,0,0.407083261880652,0,0,0,0,0,0,0.376913070596314,0,-0.000503055851814639,0.0620638592502887,0,-0.178312288234507,0,0,0,0,0,0,0,0,0,0,0,0.0385051269404128,0,0
