,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X002736.CH.EQUITY,macro_return_add
X600837.CH.EQUITY,0,0,0,0,0,0.029834736751055,0,0,0,0,0,0,0,0,-0.160210704300353,0,0,0,0,0,0,0,0,0,0.0673045213560112,0,0,-0.036473219299887,0,-0.0707739877772394,-8.67361737988404e-19,0,0,0,0,0,0.225483980244145,0,0,0,0,0,0,0,0.371615366050635,0,0.0396391263857014,0,0.321783609751517,0
X601229.CH.EQUITY,0,0,0.275055291478762,0.323265094505571,0,0,-0.0385804287587046,0,0,0,0,-0.182742721410412,0,0,0,0.240295498560661,0,0,0,0,0,0,0,0,0.15401982281982,-0.0156999389350676,0,-0.283930838521744,0,0.0952238001691975,0,0,0,0.00895250145688473,0,0,0.15914088881485,0,0,0,-0.125961637787707,0,0.313796127392296,0.0973103486025442,0,0,0,0,0,0
X601336.CH.EQUITY,-0.0875724507915858,0,0,0,0,0,0.22396598058984,0,-0.122636691512206,0,0,0,0,0.321273744287117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315389402602296,0,0.00993484977089792,0,0.00747019368414194,0.120322952859923,0,0,0,0,0,0.0461267373728696,0,0.0405964004767038,0,0.200011449033633,0.232776218855327,0,0,0,0.0166434315218605
X2882.TT.EQUITY,-0.0214944209375601,0,0,-0.0267886648435454,0,0,0,0,0,-0.00985875866010812,0,0,0,0.0685974789951243,0.13763839548737,0,0,0,0,0,0,0,0.0456306713826661,0,0,0,0,0,0,0,0,-0.0219276294015164,0,0,0,0,0.0715059359273101,0,0,0,0,0,0,0,0,0.33279440690315,0.0792934841276778,0,0,0
X601169.CH.EQUITY,-0.191569719333324,0.0476957966741803,0,0,0,0,0,0,0,0,0.404809494579501,0.0557246771292855,0,0,0,0,0,0,0.0024704874832049,0.0379358087507945,0.0700767374433649,0,0.126506572871852,0.0299169583806952,0,0,0.209719352378853,0,0,0,0,0,0,0,0,0,0,0,0,0.011700054211328,0,0,0.347722909773268,0,0,0,0,0.0115381662844268,0,0
X600015.CH.EQUITY,0,0,0.0997913360665505,0,0.00707879927029828,0,0,0,0,0,0,0,0,0.0413299391553222,0,0,0,0,0,0,0,0,0,0,0,0,0.257209285858873,-0.075006029002783,0,0,0,0,0,0,0,0,0,0.015333335645939,0.00303615408348888,0.132528928110419,0,0.302146804908818,0,0,0,0.0862451051414324,0.0545411197657933,0,0,0
X1997.HK.EQUITY,0,-0.136882526324221,0,0,0,0,0,0,0,0,0,0,0,0,0.245294512604094,-0.00247576591050877,0.212494226608317,0,0,0,0.123349982762516,0,0,0,0,0,0,0,0.149718478657857,0,0.275240467892882,0,0.0820232669902329,0,-0.201935738215578,0,0,0,0.00518718130172958,0,0,0,0,0,0,0.0339322233160465,0,-0.0102518281999856,-0.091980080582261,0
X000166.CH.EQUITY,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.00410487224175247,0,0,0.0197135353804011,0,0,0,0,0.12692109858507,0,0,0,0,0,0,0.0196150398345511,0,0.028442499402046,-0.0126807018956894,0,0,0,0,0,0,0,0.0248193073785304,0,0,0,0,0,0,0.152195846403977,0.00568846862516526,0.614773268341347,0
X2881.TT.EQUITY,0.161974271338919,0,0,0,0,-0.0584291196870486,0,-0.0720525487840833,0,0,0,0,-0.0875354690628601,0,0,-0.0622372218860099,0,0.216657084123113,0,0,0,0,0,0,0,0,0.134847231777021,0,0.0154845590384462,0,0,-1.38777878078145e-17,0,0,0.0963440601437229,0,0,0,-0.16431654812625,0,0.797041688014125,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0361572323457434,0,0.0745582274602902,0,0,0,0,0,0,0,0,0,0.109032820113023,0,0,0,0.00987509583366326,0,-0.137332754978456,0,0,0,0,0,0,0,0,0.380777047366603,0.159432657834557,0,0,0,0,0,0,0,0,0,0.119596943027117,0,0
X2891.TT.EQUITY,0,0.042112330506849,0.220922328654529,0,0,0,0,0,0,0,0,0,0.0899524379036744,0,0,0,0,0,0.172142188402341,-0.109136972068621,0,0,0,0,0,-0.079700958147995,0,0,0,0,0,0.233985464856057,0,-0.0850867916302532,0.0975238688442969,0,0,0,6.93889390390723e-18,0,0.0912629646664758,0.166742328281696,0,0,0,0.380907118651231,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,-0.0598151840983432,0,0.216376382576888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583481874536998,-0.108206551309042,0,-0.097181881924308,0,0,0.089287794158001,0,-0.0616206211739795,0.090530196121208,0.0299973566140416,0,0.104227846521122,0,0,0,0,0,0,0.314235039642912,0,0.0901696007673455,0,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,-0.291872639882251,0,0,0,0,-0.186080523921683,-0.229734526581085,0,0,0,0.11428681284275,0,0,0,-0.103483309336787,0,0,0,0,-0.0223296558043594,0,0,0,0,0,0,0,0,0,0,0,0.139013739451708,0,-0.0516095911159624,-0.361032683745611,0.027933762971036,0,0,0,0,0
