,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.043660121772542,0.261747460515199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809344277240044,0.69752643518754,0,0,0.0373871099025929,0,0.0287174409273299,0,0,0.0666088703642713,0,-0.0365875138128558,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651126717464888,0,0,0,0,0,0,0,0,0,0,-0.0969861407213872,0,-0.0241477917584561,0,0,-0.0405039480818225,0,0,0.156660433762481,0,0,0.127255369155116,-0.037215981960849,0,0,0,0,0,0.0880547070291911,0,0.0264548632571608
X1113.HK.EQUITY,0,0,0,0,0,-0.273189389610723,-0.122448845019015,0,0,0,0,0,0,0,0,0,0.305193139529634,0,0,0.0420105735977198,0.0550762707479833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523305854334171,-0.0502021399370614,0,0,0,0,0,0.653800926365169,0,-0.132790923549192,0.0535982211467366,-6.93889390390723e-18,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766508625053956,0,0,0,0,0.083735749816275,0,0,0,0,0,0,0,0,0,0,-0.242570804963065,0,0,0,-0.142685613115274,0,0.326093756097801,0,0.239999278404741,0,0,0,0.0574727729141649,0,0.10934822424328,0.244422511468459,0,-0.148090625641657,-0.0044492193642563
X16.HK.EQUITY,0,0.0545823762098706,0,0,0,0,0,0,0,0,0,0.0416359892648266,0,0,0,-0.168725896679972,0,0,0,0,0,-0.0213599777519288,0,0,0,-0.0108163786608819,0,0,0,0,0,0,0,-0.09299974950273,0,0,0,0.231904909373319,0,0,0.125933264757972,0.113520916750322,0,0.200868609672488,0.153999941715245,0,0.151378068066069,0,0.114153578251208,0.00449845825336117
X17.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104313760202378,0,0,0,0,0,0.132401295497103,0,0,0,0,0.0286082214394359,0,-0.128356243042648,-0.102956012027236,0,0,0,0,0,0,0,0.0276764743499129,0,0,0.0180179245305137,0,0,0.0405487092430199,0,0.23600659116649,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326218035426332,0,0,0,0,0.250725797970727,0,0,0,0,0,0,0,0,-0.135540179991377,-0.156358293424936,0,0,-0.0488816677416183,-0.115690496562294,0,0,0,0,0.0365782428001107,0.146473966689964,0,0,0,0,0,0.0949840523726348,0,0
X2007.HK.EQUITY,0,0,-0.237742882484735,1.38777878078145e-17,0,0,0,0,0,0.25074170502873,0,0,0,0,0,0,0,-0.0224201580796521,0,0,0,0,0,0,0,0,0,0.104900060140392,0,0,0,0,0.273726995691938,0,0,-0.173535003481158,0,0,-0.0200997146100869,0.432483878453212,0.169027841337208,0.00905867814131867,0,0.0117286681693962,0,0,0.112416009504256,-0.0161334288189524,0,0
X267.HK.EQUITY,0.202657254805566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482377527001706,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0578025252297696,0,0,0,0.0461958691228327,0,-0.536219221019873,0,0.222784893796376,0,0.492044882043157,0.118796707627755,0,-0.0883226150821336,0.179417354442501,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.235285147077052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551308170888506,0,0,0.0670602652533586,0,0,0,0,0.263506618714752,0,0,0.156808580289981,0.207640638389595,0,0,0.0304498749031059,0,0,0.0383204553345923
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393690409550815,-8.67361737988404e-19,0,-0.0677592713652151,0,0,0,0,0,0,0,0.0676870779126991,0.0707682865997353,0,0,0.122764107382068,0,0.0225373515072537,0,0,0,0,0,0,0,0,0.0240218378342056,0,0,0.214542412796979,0,0,0.201569700850762,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,0,0.0189023586055565,0,0.0687109532877659,0,-0.183696000989682,-0.0834210711963234,0.621936385638004,0,0,0,0,-0.0118138010304975,0,0.0655329457465451,0,0,0,0,0,0,0,0,0,-0.0611863590223333,0,0,0,0,0,0.164556247060378,0,0,0,0,0,0.133472735763494,-0.661700034387057,0
