,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X002736.CH.EQUITY,-0.0528703455035076,0,0,0,0,0,0,0,0,0,0,0,0.0280717020358863,0.0346026329863057,0,-0.134609779654386,-0.0159783322980885,0,0.10635761782148,0,0,0,0,0,0.153636322820152,0.0178631406420819,0.201648074253916,0,0.202049425377263,0.16889477650483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218175209511352,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,-0.041363765567101,0,-0.0149110857210828,0,0,0,0,0,0,0,0.0283071601875547,-0.122273424278355,0,0,0.13780820944678,0.176542071598276,0,0,0.267830006796696,0,0,0.0547625531033703,0,0,0.276450606677565,0.0522118527603564,0,0,0,0.0930105216322265,0,0,0,0,0,0,0,0,0,0,0,0.133306078354393,-0.00374544951545365,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,-0.0112914367247371,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.35058325167949,0,0,0.147188059292511,0,0,0.0519314442960237,0.174765052475042,0,0.29678743267716,0,0,0,0,0.0489519101101923,0,0,0,0,0,-0.0286740735182146,0.00216733544334572,0,0,0,0,0,0,0,0.049567841333779,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0.125065391812944,-0.0164615385487248,0.0392762324520499,0,0,0,0,0,0,-0.0582370233372604,0,0,0,0.220242772363877,0,0,0,0,0,0,0,0.13329743014596,0.176355487868359,0,0.0645936207027134,0,0.0203788278636034,0,0,0.129023688151538,0,0,0,0,0,-0.0879633601737736,0,0,0,0,0,0.0693569291060142,0.021862600466933,0.0736707767603279,0.134518688293443
X600999.CH.EQUITY,0,0,0,0,0.051583460318346,0,0.0960202342890098,0,0,0.0792869894888815,0,0,0.0742688474620167,0,-0.122692363396389,0,0,0,0,0.0730008962859027,0.0876424170178541,0,0,0,0,0.0723754346110305,0,0.240789831012764,0.0976075520415464,0,0,0,0,0,0,0.176791220090763,-0.0279503434764627,0,-0.0511525596846946,0.0652864505850564,0,0,0,0,0,0,0,0.0869057651554369,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.145701498574938,0,0.00173134670634842,0,-0.151924847249252,0,0,0.0622721625018418,0,0.26332204546263,0.00649250154678191,-0.0725234201486563,0,0,0,0,0.214511333799966,0,0.677536946143267,0,0,0,0,0,0,0,0,0,0,-0.0435349908582299,0.0661428007240683,0,0,0,0,3.46944695195361e-18,-0.0126570953478505,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,6.93889390390723e-18,0,0.0405440480696736,0,0,0,0.222695053097057,0,0,0,0,0,0,0,0,0,0,0.147144124434015,0.0565275322138107,0,0,0,0.0015576062108895,0,0,0.343232302343941,0.0363480539871629,0,0,0,0,0.0063126273028827,0,0,0,0.0261424667495004,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0.319876759139938,-0.0295949244469714,0,0,0,0,0,0,0,0,0,-0.116615019358748,0,0,0,0,0,0,0,0.292638253717997,0,0,0,0.45322673803808,0,0,0,0,0,0.0709952955278275,0,0.0480451719075998,-0.0550859706564648,-0.0112328366051383,0,0,0.0294230868298069,0,0,0,0,0.0101469134286212,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,-0.0426284605285132,0,0,0,0,0,0,0,0.0296765523962422,0,0.0649639398716953,0,0.361776658343391,0,0.175356208094032,0.0710712636880153,0.0868341035065938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362153889540699,0
X388.HK.EQUITY,0,0,0,0,-0.14270113180909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13979089745664,0.443004024303076,0,0,0,0,0,0,0.0331187371450495,0,0,0,0,-0.0938485465064777,0,0.337388925483969,0.0305428425540149,0,0,0,0.0898844330748664,0,0,0,-0.156556277044828,0,0,0,-0.104407778650898,0,0.166925706272294
