,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X2886.TT.EQUITY,-1.38777878078145e-17,0.240639517318466,0.0270048938093613,0.165272175528097,0,0,0,0.0549790653403417,0,-0.175814290873747,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.406349647361995,0,-0.0519892231362779,-0.0379368281932891,0,0,0,0,0,0,0,0,0,0,0,0,0.0751837464779278,0.0186515578953765,0,0,0,0,0,0,0,0.170361830002852,0,0,0,0
X2891.TT.EQUITY,0,0,-0.115711935120224,0.139799821837198,0,0,0,0,0.00433623990896514,0,0,0.227962070641039,0,0,0,0,-0.0677815612835504,0,0,0,0.586696615651199,0,0,-0.0488137855117159,0,0,0,0,0,0,0,0.0228356446535517,0,0,0,0.0229075839786664,0,0,0,0,0,0,0,0,0.107036740680993,0,0,0,0,0.0717737403535142,-0.0478780808543033
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.195604634017553,0,0,0,0,0,0.0391536280158848,0,0.122624772203217,0,0,0,0,0.722254569573572,0.0884052973383325,0,0,0,0.189660485197813,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0293100532074017
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.723847862225259,0,0,-0.133486367753071,0,0,0,0,0,0.130407800151152,0,0,0,0,0,-0.137630105843769,-0.0271327757701866,0,0,0,0,0,0.112042789035047,0,0,0,0
X600030.CH.EQUITY,0.00516081462462879,0.0440211116904003,0,0,0,0,0,6.93889390390723e-18,0.0139765559532087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731335288259595,0,0,0,0.25713857001009,0.207618103793207,0.298734097288869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820517820874044,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0408783500182599,0,0,0,0,0,0,0,0,0,0,0,0,-0.134829849071221,0.0223272970792491,0,0,0,0,0.305774549166022,0.00600253296754743,0.294257599007889,-0.0523298143618808,0,0.12833640983519,0.281845808145319,0,0,0,0,0,0,0.0239495032710156,0,0,0,0,0,0,0,0,0.0220077988530588,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357299805774981,0.124968897490611,0,0,0,0,0,0,0,0.115458769526339,0,0,0,0,0,0.106574237885795,0.492042803196619,0,0,0,0,0,0,0,0,0,0.0439402344544412,0,0.0704397259613972,0,0.0868249395640707,0.0167168067389252,0.136696077121334,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0562850781872026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827620845643842,0,0,0.394465569956071,0,0,0,0.533358828203846,0.0156080576089061,0,0,0,0,0,0,0,0,0,0,-0.209966696926433,0,0,0,0,0,0,0,0,0,-0.114570584083668
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.150031127798181,0,0,0.126952520884737,0,0,0,0,0.0147839959943149,0,0,0,0,0,0,0,0,0.259896309512211,0.0382623508616732,0,0.033289044961926,0,0.25386366738866,0,0,0.100241092105866,0,0,0,0,0,0,0.0828278135734505,0,0,0,0,0,0,0,0.10428709974794,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.0571515082621154,0,0,0,0.285809306608507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588956516606697,0,0,0,0,0,0,0,0,0,0,0,0.0429462063927618,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.0282105325476773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179600008930452,0,0.0114648139393351,0,0,0,0,0,0.0546324200885611,0,0,0,0,0.294531280924311,0,0,0,0,0,0,0,0,0,0,0,0.0943214218182944,0,0.0323877479029331,0,0,0.0945608918390565,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.133867200040975,0,0,-6.93889390390723e-18,0,0,0,0,0.2059524258561,0,0,0,0,0,0,0,0,0,0,0,0.190158076239106,0,0,0,0,0,0,0,0.154318583806683,0,0,0,0,0.0161119581469333,0,0,0,0,0,0,0,0,0,0.0480662921150057,0
