,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705772573791568,0,0.0144066715309155,0,0.093735637067882,0,0,0,0,0.606856418158171,0,0.0991644171880665,0,0,0,0,0,0,-0.0653012893061801,0,-4.33680868994202e-19,0,0,0,-0.0629742219384756,-0.258958187921574
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00693409796369929,0,0,0,0,0,0.169047731762457,0,0,0.269894864168761,0,0.0096515787810267,0,0,0.102645526628764,0.0371278608425827,0,0,0,0,0,0.0856266662966784,0,0
X600837.CH.EQUITY,0,0.00972917452915922,0,0.0190425110965918,0,0,0,0.0102727684237572,0.00587541528177367,0.00574623477420701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753025938331081,0,0,0,0,0,0,0,0,0.0742664643544756,0,0,0.634378873190976,0,0,0,0.130152628033579,0.0388300647035683,0,0.0887469456759991,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0.0142841971434096,0,0,0,0,0,0,0,0,0,0.217736089726859,0,0,0,-0.0166749475328484,1.73472347597681e-18,0.105368249266246,0,0.05930127582937,0,0,0,0,0,0,0,-0.0201963236545365,0,0,0,0,0.210329077064208,0.344682000259372,0,0.159754491412888,0,0,0.025093226117615,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,-0.274531735469803,0,0.0531306668795285,0,0,0,0,-0.0786234571521356,0,0,0,0,0,0,0,0,0,0.0332382889514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780740295605382,0,0.0694623265175849,0.525841225818942,0,0.210668820794168,0,0,0,0,0.268866701735728,0,0,0,0,0,0,-0.0240810169074299
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0371796761296845,0,0,0.135089120990983,0,0,0,0,0,0,0,0,0,0,0,0.183518739995881,0,0.144595329740054,0,0,0,0,0,-0.0453710585382892,0.174811468552529,0.0898891792052806,0,0,0.165129316679439,0,0,0,0.198004530763399,0,0,0,0,0,0.0321114921401802,0,0,0,0.012060843418359
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047281341852417,0,-0.427537901153541,0.00878249378784697,0,0,0,0,0,0,0,0,0,-0.0939380329129958,0,0,0.0447216041408901,0.202867676921404,0.0848260442797292,0,0,0.286034853057194,0,0,0,0,0,0,0.0237545117042196,0,0,0,0,0,0.0917100623697149,0,0.0726293191318069,0
X601318.CH.EQUITY,0.306977367699238,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116332574772597,0.121770993201876,0,0,0,0,0,0,0,0,0.162302579568038,0,0,0,0,-0.028071190493688,0,0,0.0753873697849249,0.0537706442747874,0.239467497164516,0.0277232422246934,0,0,0,0,0
X601319.CH.EQUITY,0,0.00733475043324369,0,0,0,0,0,0,0.088237154101147,0.278434347863737,0,0,0,0.0617498597782956,0,0,0,0,0,0,0,0,0,0,0,0,-0.0936740601174513,0.269503193686063,0,0,0,0,0,0,0,0.0933376774393903,0,0,0,0,0,0,0,0.0836021954400723,0,0,0.0523641293726347,0,0,0,0.0212222174300706
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522590350749474,0,0,0,0,0,0.0788298019902371,0,0,0,0,0,0,0,0,0,0,0.497172840864577,0,0,0,0,0,0,0.106129526599553,0.136244753576135,0,0,0.258403870233463,0,0,0,0.0757778741016666,-0.232696631372069,0
X601601.CH.EQUITY,0,0,0,-0.0826958063300817,0.247065548315653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463963332435222,0.122528239495221,0,0,0,0,0,0,0,-0.0853336555313281,0,0,0,0,0,0,0.11515852792452,0.0214679285877483,0,0.10473485877356,0,0.370094688441704,0,0.06032766327143,0,0,0,0,0,-0.00403763565659161
X601628.CH.EQUITY,0,0.0319384409710865,0,0,0,0,0,0,0,0,0,0,0.0344023808951802,0,0,0,0,0,0,0,0,0,0.175528182090732,0,0,0,0,0,0.085602545239364,0.00823992555345793,0,0,0,0,0,0,0,0,0,0,0.175595101072426,0.138867314297333,0.137625815177327,0.0329715697729622,0,1.73472347597681e-18,0,0,5.73451911830056e-05,0,-0.203300686159596
X1299.HK.EQUITY,0,0.10807966629944,0,0,0,0,0,0.294980431266925,0,0.213564855707285,0,0,0,0,-0.0888740001412831,0,0,0,0,0,0,0,0,0,0,0.403917668198237,0,0,0,0,0,-0.155404761274852,0,0,0,0.0468315349050278,0,0,0,0,0.0148351404505012,0,0,0.065184017141597,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,-0.0850754473880436,0,0,0,0,0,0,0,0,0,0,0,-0.0372066216167648,-0.102743082170833,0,0,0,0,0,0.00908988255991302,0,0,-0.016285342838834,0,0,0,0.300428192048741,0,0,0,0,0.0458930600893864,0,0,0,-0.172144507965404,0,0.0166066970232891,0.0515069549640463,0,0,0,0,0.717036651043492,0,0,0.197207607687323
X2883.TT.EQUITY,0,0,0.319417728269613,0,0.0962083336739269,0,0,0,0,0,0,0,-0.130904140387924,0,0,0,0,0,0,-0.0173820862465959,0,0,0,0,0,0,-0.0593954042747333,0.207307134651073,0,0,0,0.0365366703975677,0,0,0,0,0,0,0,0.201138887749922,0,0,0,0,0,0,0.490929589152537,0,0,0,0
X000002.CH.EQUITY,0,3.46944695195361e-18,0.0302820991010026,0,0,0,0,0,0,0,0,0,0,0,0.16112091857517,0,0,0.0971208855967893,0,0.0445899253997517,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207482546334985,0,0,0,0.0996192777542083,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185796835824709,0,-0.104162381850743,0,0.0498336846791472,0,0.0764091896824607,0,0,0.0424586055098821,0,0,0.122778187924706,0,0,0.064640992558463,0.189777385161583,0.0544478412247311,0.0962974724001615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244338329117547,0,0
macro_return_add,0.239871020373198,0,0,0,0,0,0,0,-0.107932232153344,0,0,0,0,0,0,0.161285002360214,0,0,0,0,0,0.184534590923135,0,0,0,0,0.0736157364400194,0,0.058432870145142,0,0,0.043045622261945,0,0,0,0,0,-0.296934366726457,-0.178609925109998,0,0,0.101503049730211,0,0,0,-0.076737849490817,0,-0.0421296422400314,0,0,0
