,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X2886.TT.EQUITY,0,0.225839056858326,0,0,0.128455671156935,0.161813303744556,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0449285739014549,0,0,0.00417531249391662,0,0,0,-0.0426308423027775,-0.0241971218276158,0,0,0,0,0,0,0,0,0,0,0,0,0.434003212070503,0,-0.00951710976190032,0,0,0,0,0,0,0,0,0,0,0.329338740219451
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.205982086362004,0,0,0,0.137421333869239,0,0.568557863250687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112875246890452,0,0,0,0,0,0,0,0,0.0219915813357818
X000776.CH.EQUITY,0,0,2.16840434497101e-19,0,0,0,0,0,0.034744538535036,0,0,0,0,0,0,0.0735330445343989,0,0,0,0,0,0.237346472123213,0,0,0.059255688125444,0.374440750441175,0,0.0266952813464817,0,0.149288572475364,0,0,0,0,0,0,0,0,0,0.00327646585949106,0,0,0,0,0,0,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.293694114727321,-0.00653072063585415,0.0479941115287904,0,0,0,0,0,0,0,0,0,0,-0.0425544809864443,0,0,0,0,0,0,0,0.802691786253222,0,0,0,-0.136595319053132,0,0,0,0,0.123477122032305,0,0,0,0,0,-0.125214168099105,0,0,0,-0.228407952269114,0,0,0.359466807945471,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168724433174268,0,0,0,0.0317751733090706,0.253995577609926,0.152236714754844,0.0711344092208605,0,0,0.0729296366415582,0.236166736345681,0.160443433644609,0.0396284779468036,0,0,0,0,0,-0.00868608322081235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0.110031157499611,0,0,0,-0.193207243967795,0,0.0179462708664915,0.00866463153334844,0,0,0,0,0,0,0,0,0,0,0.811405099575547,0,0,0,0.0815584712064141,0.0654575930998729,0.00800535849169412,0.0644786454679105,0,0,0,0.054334584108704,0,0,0,0,0,0,0,0,-0.112852219899375,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522026569276361,0.16473766552157,0,0,0,0.0245696346589599,0,0,0.0552655651314442,0.239582884753159,0,0,0.29473069717467,0,0,0.203568781145038,0.0280025557559003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865671345934698,0,0.0651691143785924,0,0,0,4.33680868994202e-19,0
X601066.CH.EQUITY,0,-0.155203087368723,0,0,0,0,0,0,0,-0.139955591409003,0,0,0,0,0,0.192396188173102,0.0440037584834929,0,0,0,0,0,0,0,0.667362917259792,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,-0.0598342019715244,0,0,0.19115339808764,0,-0.0333660734390283,0,0,0,0,0.141265341804609,0,0,0,0,-0.0264338121610152
X601211.CH.EQUITY,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.218453600548659,0,0,0,0,0,0,0,0,0,0,0,0.4358599826711,0,0,0,0,0,0,0.204329595471687,0,0,0.00535072926041814,0,0.00795905938275144,0,0,0,0,0,0,0,0,0,0,0,0,0.0731249017188344,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.0710728206911488,0,0,0,0.0812004989517405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966429744506913,0.0768088822564768,0.156311616629821,0.315027573140509,0.013610049666606,0,0,0,0,0,0,0,0.142352185510117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000295606911773915,0.00620369611659196
X388.HK.EQUITY,0.0298571237944102,0,0,0,0.0122030303411331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821505827029856,0,1.73472347597681e-18,0,0,0,0,0,0.0242149088069909,0,0,0,0,0.349938843298787,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.116823067465775,0,0,0.0912771804115454,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.220642153396673,0,0,0,0,0,0.214937257617206,0,0,0,0,0,0,0,0.105108921114502,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.18563015233329,0,0,0,0,0.0306320295441872,0,0,0,0,0,0,0,0,0,0.260105584053946,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0934780175642232,0,0.0963843364887474,0,0,0,0,0.00506742938852097,0,0,0,0,0,0,0.176616066793594,0,0,0,0,0,0.23436736597189,0,0,0,0,0,0.174302268817768,0,0,0,0.0135613366556504,0,0,0,0,0,0,0,0,0.0121100490444188,0,0,0
X601336.CH.EQUITY,0.233922480294508,0.0308864790866708,0,0,0,0.144879737458496,0,0,0,0,0,0,0,0,0,0,0.0625603085594817,0,0,0,0,0,0,0,0,0.202353355637824,0.0799309391898172,0,0,0,0,0,0,0,0.251566168437734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101108815450378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74094195187952,0,0,0,0,0,0,0,0,0,0,0.000341617803546842,0,0,0.107464928722746,0,0,0,0.0220154505556861,0
X601628.CH.EQUITY,0.161368728920598,0,0,0,0,0,0,0,0.0925723154758876,0,0,0.0540224963398089,0,0,0,0,0,0,0,0,0.0354267775146392,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0269525384976768,0,0.0982264561424769,0.169866238544465,0,0,0,0,0,0,0,0,0,0,0,0.13262690520406,0,0,0,0.0861818129735887
X1299.HK.EQUITY,0,0,0.0784305481535234,0,0,0,0,0,0.0104635647455699,0,0,0.0910987081624571,0,0,0,0,0,0,0.00879053638925938,0,0,0,0,0,0,0,0.0237242304917152,0,0,0,0,0,0,0,0,0.191395045911422,0,0.0840868533480746,0,0,0,0,0,0.0385071576431616,0.126867058028474,0,0.260356479812545,0,0,0,0
