,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X001979.CH.EQUITY,0,0,-0.195343321204626,-0.0653094043528381,0,-0.0102292545275155,0,0,0,0,0,-0.107389130387458,0,0,0,0.0733084545474904,0,0,-0.070467196565376,0,0,0,0,0,0,0,0,0,0,0,0.193923186333604,0,0,0,0,0,0,0,0,0,0.237892976493374,0,0.167059990955009,0,0.0884455812963534,0.411461415907868,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0348957729450179,0,0,0,0,0,0,0,0.087841962155879,0,0,0,0,0,0,0,0,0,0,0.0167098785354621,0,0,0,0.011549202959181,0.0568304190568633,0.0231396819341142,0,0,0.139987142495837,0.260327017676355,0,0,0,0,0.327036699971255,0,0,0.0361681973270601
X601336.CH.EQUITY,0.0176928788902997,0,-0.243192568524664,0,0,0,0,0,0.281637180702059,0,0,0,0.176530451980746,0.021100922922474,0,0,0,0.190336247069245,0,0,0.0591654010460659,0,0,0,0,0,0,0,0,0,0,0.0872139665871794,0,0,0.123423876886914,0,0,0,0,0.236077014324405,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0.00528154361453201,0,0,0,0,0,0,0,0.20760927165307,0,0,0,0,0,0,0,0,-0.0602483000571101,0,0,0.177469384129733,0,0,0,0,-4.33680868994202e-19,0,1.73472347597681e-18,0,0,0,0,0.0768875596189006,0,0.00276110849116322,0,0,0,0,0,0.135277371689082,0.133899548155428,0.0506798086773009,0,0,0,0,0.17674274984728,0,0
X601229.CH.EQUITY,0.403125420039659,0,0,-0.0958265337756174,-0.0902354521313579,0,0,0,0,0,0,0.014359380285617,0,0,0,0,0,0,0,0,0,0,0,0.127447052816524,0,-0.0231376622751227,0,0,0,-0.193302718681157,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.293888398232269,0,0,0,0,-0.00352305912335342,0,0.327198415898599,0,0.125800269581169,0
X1997.HK.EQUITY,0.357828722049705,0,0,0,0,0.0850817496925013,0,0.210329531663033,0,0,0,-0.00426031962593358,0,0,0.032129805372876,0,0,0.254874060667606,0,0.118613935446144,0,0,0,0,0,0,0,0.00788690237129959,0,0.53791714381123,0,0.00687527042107538,0,-0.185463740401662,0,0,0,0,0,0,0,0,-0.144230135834201,0,-0.128493424063464,0,0,0,0,0
X002142.CH.EQUITY,-0.0190114080018191,0.437651440303306,0.262496548074465,0,-0.0616712926123264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368699697643959,0,0.0372125042172513,0,0,-0.0424665785737997,-0.18117158501796,0,0,0,0,0,0,0,0,0,0.0580293868522817,0,0,0,0,0,0,0,0,-0.109533819925192,0,0,0,0.0245894260020678,0
X601066.CH.EQUITY,0,0,0,0,-0.218355169683657,0,-0.248043090779478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419651481206186,0,0.0481042497589871,0,0,0.0847237662030892,0,0,-0.0328480390141953,0,0,0.00668767785334752,-0.315741582230888,0,0,0.188231566325816,0,0,0,0.0974081872103319,0,-0.0919224865561374,0
X000166.CH.EQUITY,0.0310401194392378,0,0.0215221955129656,0,0,0,0,0,0,0,0,0,0.126008773980327,0,0,0,0,0,0,0,0,0,0,0,0,0.0513507934730211,0,0.041844011873199,0,0,0,0,0,0,0.0838520612934129,0,0.062060893964502,0,0,0,0,0,0,0,0,0,0.292888866306616,0.347444769845547,0,-0.0390552187020703
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0621614600933075,0,0,0.301482320121466,0,0,0,0,0,0.0256368396897608,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0522820282543051,0,0,0,0,0,0.11706165232487,0,0,0.128223433832977,0,0.0328342842971033,0,0,0,0,0,0.19216781009184,0,0
X600015.CH.EQUITY,0.022663062285684,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.199308847112938,0,0,0,0,0,0,0,0,0.212362186042693,0,0.0384138463326066,0.088746589050727,0,0,0,0,0,0,0.10970794324052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455702507222598,0.0768726674698152,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0383536778393171,0,0,0,0,-0.0173898663088007,0,0,0,0,0,0,0,0,0,0,-0.105634718235963,0,0.1136779149749,0,0,-0.0470447446092252,0.177235973903178,0,0,0,-0.146333500661829,-0.0856075649800281,0,0.107885623778052,0,0,0,0,0,0.0800266340608962,0.233700157478261,0
X601169.CH.EQUITY,0.0102384465945752,0,0,0,0,-0.0708611113900606,0,0,-0.506528318531186,0,0,0,0,-0.170733099962373,0.016791708331405,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.192362140218704,-0.0574220263112584,0,0,0.287163988949029,0.0303519471452839,0.306516299929643,0,0,0.0344743255184814,0,0.0308419546684985,0,-0.176144568059632,1.00974499163971,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979463511978309,0,0.0722314696343845,0,0.0592867091194483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428782152591564,0,0,0.0935544089690617,0,0,0.111273956288186,0.0400997392179184,0.201443938810754,0,0.0214938428629286,0,0,0.151153497658454,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.204250213159688,0,0,0,0,0,0,0,0,0,0,0.0566526189394414,0,0,0,0,0,0,0,0.0273241357664712,0,0.0113759475820019,-6.93889390390723e-18,0,0.130744550355111,0,0.0929526413640409,0,0,0.11544950394804,0,0.00318443837790175,0,0,0.0989087618374473,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.0234277823297931,0,0,-0.106541272441005,0,0,-0.220577104555761,0,0,0,0,0,0,0,0,0,0,-0.33748453633404,0.0372596146009455,0,-0.128113647038808,0,0,0,-0.195085376387956,0,0,-0.15406953895212,0,0.406618843407475,0,0.318047958974385,0,0.311478817047928,0,0,0.160117042355874,0,0.0318314786951032,0,0,0,0,0.0174791453330845
macro_return_add,0,-0.0608356676932661,0,0,0.0517899144792535,0,-0.0193731981797597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239546054972983,0.64057624822635,0,0,0,0,0,0,0,0.243820208285772,0,0,-0.258736523290589,0,0,0,0,-0.0131275995982678,0,0,0,0,0,0,0,0,0,0,0
