,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X600999.CH.EQUITY,0,0,0,0,0,0,-0.0310245576414605,0,0,-0.0828475724651069,0,0,0,0,0.324727482430529,0.434371282991919,0,0,0,-0.160210494634303,0,0,0,0,0,0,0,0,0,0.0460113191314919,0.0460224718738459,0,0,0,0,0,0,-0.538256341519999,0,0.104577275258967,0,0,0,0,0,0,0.0792386809077116,0,0,0,0.147548809151828,-0.297603938980428
X12.HK.EQUITY,-0.129474807519366,0,0,0,0,0,0,0.121606441478434,0.0091191678606933,0,0.508018537745013,0,0,0,0,0,0,0,0,0,0.31785365878628,0,0.116969699774421,0,0.247089007325588,0,0,0,0,0,0,0,0,-0.116600306931563,0,0,0,0,0,-0.106509429659877,0,0,0,0,-0.0659762875802733,0,0,0,0,-0.0703743949370997,-0.126091514527643,0.0344458686040016
X2882.TT.EQUITY,0,0,0,0,0,0,0.0683186109654446,0,0.175891847034096,0,0,0,0,0,0,0,-0.33717273555205,0,0.141746205450425,0.122759109826078,0,0,0.267693685039464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114490182738523,0,0.555431018534558,0.0391337421143524,-0.0786146653900621
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363763215558673,0,0,0,0,-0.0774223087944616,0.0464676151172184,-0.144167345088702,0.1400225690632,0,0,0.166291271134806,0,0,0.103615640058578,0,0,0,0,0,0,0,0.23617013357037,0.081042878781456,0,0,0.0944689095222501
X601229.CH.EQUITY,0.853509455029775,0,-3.46944695195361e-18,0,0,0.052581431693425,0,0,0.529915663363511,0,0,0,0,0,0,0,0,0,0,0,0,0.0459191821096416,0,0,0,-0.346053051088884,0,0,0,-0.25133289336426,0,0,0,0.246630430010624,0,-0.00749650508641305,0,0,0,0,0,0,-0.0884948299408151,0,0,0,0,0,0,0,0.087771626598036,-0.0765435783566487
X823.HK.EQUITY,0,0,0,-0.0381885520087573,0,0,0,0.0406831463998468,-0.0795323045258988,0,0,0,0,0,0,0,0,0,0,0,0.432789980391547,0,0,0,0,0,0.341376355897109,-0.0627920128630686,0.0477497144800197,-0.0678002995540227,0,0,-0.113182273008264,0,0,0.106634854718285,0.169404006607892,0,0,0,0,0,0,0,0,0,0,0,0.246645323310926,0,0,-0.144117075707988
X002736.CH.EQUITY,0,0,0,0,0.173803738085763,0,0,0,0,0,-0.0780614163364062,0.476491801895692,0.103952831890751,0,0.129763026295207,0,0,0,0,0,0,0,0,0,0,0.0483647320290209,0,0,0,0,0,0,0,0.263856513750068,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0284434080385715,-0.0269985435727434,0,0,0,0,-0.0927855574638788,0,-0.0610597206796407,0.10816817527564
X000776.CH.EQUITY,0,0,0,0,0,-0.0648748691679589,0,0,0,0,0,0,0.0262871236320094,0,0,0,0,0.263698291772462,0,0,0,0.290708499966256,0,0.0344581369329573,0,0,0,0.0357280611961595,0,0,0,0,-0.0896199747416169,0.211578330870005,0.0326741668861275,0,0,0,0.144151019893375,0.147100768407394,0.0411906465257293,0,0,0.0231263979650191,0,0,0,0,0,0,-0.126005461989505,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.16762784043463,0,0,0,0,-0.286534196184219,0,0,0,0.161226756345971,0,-0.0344621466352567,0,0,0,0,0,-0.0178733731254717,0.0791945188690823,0,0,0,0,0.182134583809936,0,0,0,0.156820521779415,0.147653499054145,0,-0.23340521431815,0,0,0.234519727357048,0.0849529527043176,0,0,0,0,0,0.319975608328768,-0.112257525522345,0.0506354046252014
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423105586553848,0,0,0.246807723319604,0,0,0.039987926085996,-0.0464376982491949,0,0,0,-0.0831904277993932,0,0,0,0,-0.0601742642138563,0,0,0,0,0.0216143301105593,0,0.792200625850038,0,0,0,0,0,0.107462722924862,0,0.0182363573477098,-0.0663520275556785
VXFXI.INDEX,-0.115867278022479,-0.134302578183783,0,0,0,0,0,-0.134847896413829,0,-0.0827973199142463,0,0.0237232774805659,0,0,0.0187832965736716,0,0,0,0,0.0649647930826356,0,0,0,0,0,0,0,0,0,0,0,0,0.120718825335978,0,0,0,0,0,0,0,0,-0.170285335590093,0.0420910185345166,0,0,0,0,0,-0.330364066910608,-1.73472347597681e-18,0,0.222398775589808
CN2YR,0,0.184848382401515,0,0,0.106806602123663,0,0,0.135594922685572,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.113598745141211,0,0,0,0,-0.0615405704110866,0.40619912014879,0,-0.111995704542719,3.46944695195361e-18,0,-0.181959798497077,0,0,-0.0491317545532209,0.0446656591395221,0,0,0,0,0,0,0,0,-0.0819649088916363,0,0,0,0,0,0.0876758410647977,0,0,0
