,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601211.CH.EQUITY,0,0,0,0,0,0,-0.0408329085565016,-0.0310442055569231,0,0,0,0,0.00136609860112844,0,0,0,0.13119754630683,0,0,0,0,0,0.0499963762162486,0,0,0,0,0,0,0.00610039833004243,0,0,0,0,0,0,0,0,0.163388260085343,0.033591555761871,0,0,0,0.0945826781894799,0.169863218267045,0.0844905120786436,0,0,0.35282607570332,0,-0.020957815231298,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.155630530596322,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0739371448342682,0,0.00383576908576395,0,0.145273585401354,0.15141684002312,0,0,0,0,-1.38777878078145e-17,0,0.0897434341067432,0,0,0,0,0.0782851850451704,0,0.104076642544917,0,0,0,0,0.244179490296709,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179066002541638,0.216972420999271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235062895102935,0,-0.0194662070822674,0,0,0,0,0,0,0,0,0,0,0.0198216170016462,0,0,0.149788930251125,-0.210279118036374,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.098564888210124,0.537789403506336,0,0,0,0.181879329805718,0,0,0,-0.039725209808804,0,0,0,0,0,0,0,0,0.142057739927074,0,0,0,0,0,0,0,0,0.100480300772254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210871049349691
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0640344459932572,0,0,0,0,0.266400636070033,0,0,0.0091093638855733,0,0,0,0,0,0,0,0,0.269168116512445,0.0105914883546996,0,0,0.448992436140043,0,0,0
X300059.CH.EQUITY,0,0,0,0,-0.0074885485311303,0,0,0.219248387465786,0,0,0,0,0,0,0,0.203631313649862,0.757936313545846,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836083705215337,0,0,0,0,0,-0.203785202856314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01455796974044
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0.150574795301144,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0617391459053082,0,0,0,0,0,0,-0.0748054721925152,0,0.134797401947363,0,0,0,0,0,0,0,0,0,0,0,0,0.00344360982914467,0,0,0,0,0.60719712857065,0,0.0500033060835758,-0.0806724520603403,-0.0296539093107286
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.315478181331307,0,0,0.226438817667139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17172961462595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122868649855286,0,0.221266050295966,0,0,-0.0124732111052514,0,0
X601336.CH.EQUITY,0,0,0.13359396007815,0,0,0.0153574770574724,0,0,0,0,0,0.0829676565359609,0,0,0,0,0,0,0.136680096625156,0,0,0.124943742662227,0,0,0,0,0,0,0,0.018005776264863,-1.73472347597681e-18,0,0,0,0,0,0,0.0678509031604427,0.198507275001595,0,0,0,0,0.106433161542591,0,0.069396887377097,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530054204037157,0.0541110631691303,0.164041833849159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150498605786113,0,0.185863777385914,0.0156054399450194,3.46944695195361e-18,0,0,0,0.109444894669636,0,0,0,0.351114806552352,0.0402072410495356,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322373056338766,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148613787210027,0,0,0,0,0.0249862126136225,0,0,0,0.335441673035698,0.150532448693459,0.0888509761005077,0,0,0.148933822485013,0,0,0,0,0,0,0,0.007974561204642
X601169.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0134048505973229,0,0,0.0516972208522881,0,0,0,0,0,0,0.131835327724046,0,0,0,0,0,0.0745257154331627,0,0,0,0,0,0,0,0,0.0175624710338577,0.0807697807917726,0,0.0402004990746906,0.215082419766705,0,0,0,-1.73472347597681e-18,0,0,0,0.400776642903935,0,0,0,-0.0148258503267383,0
X600015.CH.EQUITY,0.205853977043743,0.116721281775647,0,0,0,0,0,-0.0613455640314295,0,0,0,0.393177855114374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326449747762265,0,0,0,0.0455478992862793,0,0,-0.0383996022619092,0,0,0,0,0.0174811510316592,0,0,0,0.00694793308653979,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0.225088777936243,0,0,0,0,0,0,0,0,-0.11933641586981,0,0,0,0,0,0.112018633482274,-0.00958791039984276,-0.0127662070134498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206186359357952,0,0,0,0,0,0,0,0,0.414490342783614,-0.0957789240158588,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110242071987354,0,0.0260115147131173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581181520798375,0,0,0.0678610127978908,0,0.125256822105459,0,0.00770411076032138,0,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,-0.0771143246530366,-0.0618918476431002,0,0,0.0210233025144883,0,0.346086728668623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102123664785584,0,0,0,0,0,0,0,0,0,0,-0.0586169676746423,0,0,0,0,0,0,0.351255896990049,0.557536977345828,0,0,-0.239239477437545,0.0749111845912199
VXFXI.INDEX,0,0,0,0,-0.139809689721644,0,0,0.109550523256848,0,0,0,0,0,0,0,0.397766513040717,0,0,-0.554069263349912,0,0,0,0,0,0.332611153840932,0,-0.351377566007158,0,0,0,0,0,0,0,0,0,0,0.00319204601866144,0,0.158395483069179,0,0,0,0,0,0,0,0,0,-0.378885598969971,0,0.17036712085169
CN2YR,0,0,0,0,0,0.402909787351055,0,0,0,0,0,0,0,-0.39183612307724,0,0,0,-0.0738778519711721,0,0,0,0,-0.326342230638694,0,-0.208129953074139,0,0,0,0.634085308905943,0,0,0,-0.442553426186922,1.38777878078145e-17,0,0,0,0.10851531302932,0,0,-1.07023255904518,0,0,0,1.02657825804628,0,0,-0.260917194074049,0,0.251008780213082,0.442179702039083,0
