,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X002736.CH.EQUITY,0,0,0.090532243351587,0,0,0,0.199173257374124,0,0,0,0,0,-0.058026048353976,0,0,0.0623231194109765,0,-0.021299814371698,0,0.250219437655332,0,0,0,0.135391387392132,0,0,0.068984637138779,0,0,0,0,0,0,0,0,0,-0.119036774437879,0.200295715286468,0,0.19561251075595,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.130095152436781,0,0,0,0,0,0.042328918335428,0,0,0.133924145197431,0,0,0,0.136520762866262,0,0.266339433546883,0.139960362918152,0,0,0,0.136023088032393,0,0,0,0,0.0346589138559383,0,0,0,0,0,0,0,0,0,0,0,0.0428237732088993,0,0,0
X600837.CH.EQUITY,0,-0.0382311178190062,0,0,0,0,0,0,0.0163938100144861,0,0,0,0,0,0,0,0,0,0,0.409175382607333,0.239052170896912,0,0,3.46944695195361e-18,-1.38777878078145e-17,0.31868503885497,0,0,0,0,0,0,0,0,0,0,0,0,-0.101469017611271,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0512213117373661,0,0,0
X600999.CH.EQUITY,0,-0.0663884727983731,0.170432267623021,0.0401581756119378,0,0,0,0,0,0,0.15963509946855,0,0,0,-0.0322468232061948,0,0,0,0,0,0,0.0665552423566963,0.160184420835999,0,0,0.397372066160832,0,0.128618772664431,0,0,0,0.0939099497438547,-0.0559249624673089,0,0,0,0,0,0,0,0,0,0,0,0,-0.124713987240675,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.0635659956315205,0.0851000625375083,0,0,0,0,0,0,0,0,0,0,0,0.0967859363969647,0,0,0.0578171504746674,0,0,0.0926517873492646,0.281603592787525,0,0,0,0,0,0,-0.119483602404247,0,0,0,0,0,0,0,-0.0818640145936615,0,-0.15903332143537,0,0,0.164205557447168,0,-0.0743004542581578,-0.0293736546463195,0.0121348459458881
X601211.CH.EQUITY,-0.00323651688033693,0,0,0,0,0,0,0,0,0,0,-0.0438892560189533,0,0,0,0,0,0.0357084663614943,0,0,0,0.28531152520232,0.0780731110374104,0.42416975680665,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.0547263282631736,0,0,0,0.018221447600605,0,0,-0.0567925531351101,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0.0941254861482777,0,-0.3415196192795,0,0,0,0,0,-0.405688208374321,0.246078163223597,0,0,0.134543616758541,0,0,0.511967144886759,0,0,0.350980930317548,0,0,0,0,0,0,-0.0554788838363837,0,0,0,0,0,0,0.179157541848359,0,0,0,0.047870138587657,0,0.1229595266535,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.106564821686476,0,0,0,0,0,0,0,0.107868779674427,0,0,0,0,0.0182488569697744,-0.0996466836130868,0,0,-0.347947833572074,0.459126906933885,-0.0257382795594685,0,0,0,0,0,0,0,0,0.442642827250639,0,0,-0.0610882906445491,0,0,0,0,0,0,0,0.327696848642515,0,0,0,0,0,0
X601318.CH.EQUITY,0.130436326499945,0.0883808418326204,0,0,0,0.0583246495654752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378433967636309,0.160886088049101,0,0,0,0.0735725199818709,0,0,0.0508818050565823,0,0,0,0,0,-0.0236678083711276,0,0,0.0631379887651844,0,0,0
X601319.CH.EQUITY,0,0,0,0,0.0844987593101579,0,0,0,0,0,0,0,0,0,0,0.0714529593181584,0,0,0,0.340412862257769,0,0.0518639270212641,0,0,0,0,0,0,0,0,0,0,0.196176819018821,4.33680868994202e-19,0.15454310558226,0,0,0,0,0.101151984256408,0,0.0659547608481642,0,0,0,0,0,0,0,-0.0458870856094249,0
