,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X000776.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,macro_return_add
X601688.CH.EQUITY,0,0.137667007172756,0,0,0.00281743467338882,0.0306942918751736,0,0,0.0107691900737631,0,0,0,0,0,0,0,0,0,0.0256866405863192,0,0,0,0,0.283186814513082,0,0.0213036987149282,0,0.0338560339752676,0,0.0387007450363831,0,0,0,0,0,0,0,0,0,0,0,0,0.127880646219342,0,0,0,0,0.268330416214489,0,0
X823.HK.EQUITY,0,-0.0393690409550815,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0225373515072537,0,0,-0.0677592713652151,0.214542412796979,0,0,0.122764107382068,0,0,0,0,0,0,0.201569700850762,0,0,0.0240218378342056,0,0,0,0,0,0,0,0.0707682865997353,0,0,0,0,0,0,0,0,0,0,0.0676870779126991,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.620459495920732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788558861017176,0,-0.116478950780567,0.00138268187496498,0,0,-0.101235254656828,0.177879662333538,0,0,0,0,0,0,0,0,0,0,-0.0876683775371356,0.0463236770308386,0.0737438485402364,0,0.154548101233755,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,-0.0488829776121424,0,0,0,-0.135531417349962,0,0,0.326205878856548,0,0,0,0,0,0,0,0.0949993825512649,0,0,0,0,0.0365799290718094,0,0.146481084275458,0,-0.15636165650347,0,0,0,0,0,0,0,0,0,0,0,0,-0.115680564930222,0,0,0,0.25071532906458,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109045371017894,0,0,0,0,0,0.123118273686105,0,0,0,0,0,0,0,-0.0631329181953946,0,0,0,0,0,0,0,0.130037266945651,0,0,0,0.0171463818437741,0,0,0,0,0.224275523243649,0,0,0,0,0.222668305443288,0.138751093073752,-0.0219153764674137
X601229.CH.EQUITY,0,-2.77555756156289e-17,0,0,-0.0273876766067323,0,0,0,0,0.0233807527513198,0,0,0,0,0,0,0.0548875419627508,0,0,0,0,0,0,0,0,-0.0497107028163219,0.138903914685078,0,0,-0.0416118188000058,0.0990170308872747,0,0,0.34341821563122,0,-0.0348586106916105,-0.0846628062402188,0,0,0,0,0.415480899518964,0,0,0,0,0,0.0808660770039207,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.00782092452304547,0.258922695471872,0.0766174204125126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043862193095012,0,0,0,0.0210070083106978,0,0,0,0,0,0.0226869770270517,0,0,0,0,0,0,0,0.0845000366992803,0,0.259544610360292,0,0,0,0,0.202038034157014,0,0,0.0451898758245735
X600015.CH.EQUITY,0,-1.38777878078145e-17,0,0,0,0.375132765864514,0,0,0.00363411808536936,0,0,0,0,0,0,0,0,0,0,0,0,0.0404889875198017,0,0,0,0,0,0,0,0,0,0,0,0,0.0236359912071277,0,0,0,0,0.0555224876483816,0.379490136097347,0,0,0,0,0,0.0936779694796391,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945532078051317,-0.0300108228519842,0,0,0,0,0.24937673069857,0,0,0,0.0555881512926234,0,0,0,0.00429378267787478,0,0.198050930444931,0.220439880959348,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.200580917466186,0.0308908318733188,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0.0917224400010015,0,0,0,0,0,-0.06006872176079,0.0394226344913303,0,0,0,0,0,0,0,0,0.363954669421387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335421877350491,0.027429116532193,0,0.161064190564567,0,0,0,0,0,0,-0.106259715558161,-0.0398806054262336
X2882.TT.EQUITY,0,0,0.0891908354371122,0,0.167394302765283,0,0,-0.600339383512217,0.242014504497939,0,0,0,0,0,0.496128818348,-0.325380235107187,-0.086618815229414,0,0,0.371711757388278,0,0,-0.0553112072513557,0,0,0,0,0.146945365418133,0,-0.0483990839711665,0,0,0.0910682757681134,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.231869383160857
X17.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.128361150360387,0,0,0,0.0180180455154418,0.104304769208395,0,0.028605896611806,0,0,0,0.236006200283043,0,0,0.0405521078948629,0,0,0.0276797454144912,0,0,-0.102951717365422,0,0,0,0,0,0,0.132394111021388,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0.0789279274647382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628741104403307,0,0,0,0,0,0.0250254911210883,0,0,0,0,0,0,0,0,0,0,0,0.147143164699464,0.0353061278764076,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0143107341355719,0,0,-0.0117095299028163,0,0,0,0,0,0,0,-0.0140361678511379,0.404189109112739,0,0,0,-0.0458424966537789,0,0,0,0,0,0.294129141657784,0,0,0,0,0.0289414203427504,0,0,0,0.189059987541925,0,0,0,0.0547759608174616,0,0,0
X002736.CH.EQUITY,0,0,-0.0669050961804699,0.0160337388160554,0,0,0,-0.0795824144766111,0,0,0,0.199000424679832,0,0,0,-0.0509195929656931,0.0487360838234898,0,0,0,0,0,0,0.00122980419047521,0,0,0,0,0,0,0,0,0,0.33494721715076,0,0,0,0.105626355774491,0.472972126937223,0,0,0,0.00107227385627155,0,-0.0276243846118412,0,0,0,0,0
macro_return_add,0,0,0,0,0,0,0,-0.168978986103939,0,0,0,0,0,0,0,0.0310459530795953,0,0,-0.236420149651181,0.0213116613697917,0,0,0.441792534374331,0.309697969411235,0,0.123659944466969,0,0,-0.428861040500648,0,0,0,0,0,0,0,0,-0.175529877055354,0,0.131548800489439,0,0,0,0,-0.193248617218885,0.0242676410404456,0,0,0,0
